date,venue,race_no,pool,combination,dividend_hkd
2017-06-04,沙田,1,獨贏,3,11.00
2017-06-04,沙田,1,位置,3,10.10
2017-06-04,沙田,1,連贏,"3,6",19.00
2017-06-04,沙田,1,三重彩,"3,6,1",235.00
2017-06-04,沙田,1,單T,"1,3,6",112.00
2017-06-04,沙田,1,四連環,"1,3,4,6",38.00
2017-06-04,沙田,1,四重彩,"3,6,1,4",420.00
2017-06-04,沙田,2,獨贏,1,14.00
2017-06-04,沙田,2,位置,1,10.50
2017-06-04,沙田,2,連贏,"1,4",104.00
2017-06-04,沙田,2,位置Q,"1,4",40.50
2017-06-04,沙田,2,3揀1（組合獨贏）,A1,14.00
2017-06-04,沙田,2,三重彩,"1,4,3",552.00
2017-06-04,沙田,2,單T,"1,3,4",187.00
2017-06-04,沙田,2,四連環,"1,3,4,10",315.00
2017-06-04,沙田,2,四重彩,"1,4,3,10","3,024.00"
2017-06-04,沙田,2,第一口孖寶,3/1,17.00
2017-06-04,沙田,3,獨贏,5,50.50
2017-06-04,沙田,3,位置,5,18.50
2017-06-04,沙田,3,連贏,"5,10",130.00
2017-06-04,沙田,3,位置Q,"5,10",46.50
2017-06-04,沙田,3,3揀1（組合獨贏）,A1,未能勝出
2017-06-04,沙田,3,三重彩,"5,10,14","1,798.00"
2017-06-04,沙田,3,單T,"5,10,14",439.00
2017-06-04,沙田,3,四連環,"5,10,13,14","2,749.00"
2017-06-04,沙田,3,四重彩,"5,10,14,13","36,062.00"
2017-06-04,沙田,3,第二口孖寶,1/5,61.00
2017-06-04,沙田,4,獨贏,7,29.00
2017-06-04,沙田,4,位置,7,14.00
2017-06-04,沙田,4,連贏,"4,7",994.00
2017-06-04,沙田,4,位置Q,"4,7",239.00
2017-06-04,沙田,4,3揀1（組合獨贏）,A1,17.50
2017-06-04,沙田,4,三重彩,"7,4,1","5,523.00"
2017-06-04,沙田,4,單T,"1,4,7","1,175.00"
2017-06-04,沙田,4,四連環,"1,3,4,7","1,724.00"
2017-06-04,沙田,4,四重彩,"7,4,1,3","32,333.00"
2017-06-04,沙田,4,第三口孖寶,5/7,141.50
2017-06-04,沙田,4,第一口孖T,"5,10,14/1,4,7","100,784.00"
2017-06-04,沙田,5,獨贏,7,71.50
2017-06-04,沙田,5,位置,7,20.00
2017-06-04,沙田,5,連贏,"3,7",664.50
2017-06-04,沙田,5,位置Q,"3,7",175.00
2017-06-04,沙田,5,3揀1（組合獨贏）,A1,未能勝出
2017-06-04,沙田,5,勝出練馬師（組合獨贏）,B1,未能勝出
2017-06-04,沙田,5,三重彩,"7,3,1","11,459.00"
2017-06-04,沙田,5,單T,"1,3,7","2,793.00"
2017-06-04,沙田,5,四連環,"1,3,7,10","4,586.00"
2017-06-04,沙田,5,四重彩,"7,3,1,10","89,540.00"
2017-06-04,沙田,5,第四口孖寶,7/7,240.50
2017-06-04,沙田,6,獨贏,9,105.50
2017-06-04,沙田,6,位置,9,26.50
2017-06-04,沙田,6,連贏,"2,9",157.00
2017-06-04,沙田,6,位置Q,"2,9",57.50
2017-06-04,沙田,6,3揀1（組合獨贏）,A1,未能勝出
2017-06-04,沙田,6,三重彩,"9,2,11","3,201.00"
2017-06-04,沙田,6,單T,"2,9,11",377.00
