date,venue,race_no,place,horse_no,horse_name,jockey,gear,commentary
2026-04-29,跑馬地,1,1,4,滿洛城 (K374),班德禮,CP-/B1,無特別報告
2026-04-29,跑馬地,1,2,3,揚威四海 (K120),蔡明紹,B,無特別報告
2026-04-29,跑馬地,1,3,5,富裕君子 (H447),黃智弘,TT,無特別報告
2026-04-29,跑馬地,1,4,7,幸運同行 (J331),布文,B,無特別報告
2026-04-29,跑馬地,1,5,6,架勢奇爸 (G312),周俊樂,CP/TT,無特別報告
2026-04-29,跑馬地,1,6,11,鼓浪飛凡 (H018),鍾易禮,B/TT,無特別報告
2026-04-29,跑馬地,1,7,10,快樂之友 (K344),梁家俊,CP/TT,無特別報告
2026-04-29,跑馬地,1,8,1,悠悠乾坤 (K059),田泰安,XB,無特別報告
2026-04-29,跑馬地,1,9,12,同寶寶 (H386),黃寶妮,CP-/B2/TT,無特別報告
2026-04-29,跑馬地,1,10,9,皇金風速 (E448),楊明綸,--,無特別報告
2026-04-29,跑馬地,1,11,8,桃花多 (E488),何澤堯,B-/TT,無特別報告
2026-04-29,跑馬地,1,12,2,綻放的心 (K055),金誠剛,B/XB,無特別報告
2026-04-29,跑馬地,2,1,4,可靠大師 (K283),潘頓,B/TT,無特別報告
2026-04-29,跑馬地,2,2,12,友得盈 (K106),巫顯東,B/TT,無特別報告
2026-04-29,跑馬地,2,3,6,至合拍 (J253),周俊樂,TT,無特別報告
2026-04-29,跑馬地,2,4,1,驍將 (K567),鍾易禮,TT,無特別報告
2026-04-29,跑馬地,2,5,2,凱皇寶 (K396),梁家俊,V1/TT,無特別報告
2026-04-29,跑馬地,2,6,11,精益大師 (H134),班德禮,B2/TT,無特別報告
2026-04-29,跑馬地,2,7,3,廚神 (K264),奧爾民,P-/CP2,無特別報告
2026-04-29,跑馬地,2,8,9,皇帝英豪 (J247),何澤堯,SR/TT,無特別報告
2026-04-29,跑馬地,2,9,7,猶有心得 (K394),艾道拿,--,無特別報告
2026-04-29,跑馬地,2,10,10,金多囍 (K272),田泰安,PC/TT,無特別報告
2026-04-29,跑馬地,2,11,5,君至酷 (L008),楊明綸,SR1,無特別報告
2026-04-29,跑馬地,2,12,8,海鑽石 (L072),布浩榮,B/TT,無特別報告
2026-04-29,跑馬地,3,1,10,佰勝金龍 (K458),梁家俊,BO/TT,無特別報告
2026-04-29,跑馬地,3,2,5,雙贏 (H382),何澤堯,V/XB/TT,無特別報告
2026-04-29,跑馬地,3,3,8,富喜來 (H213),艾道拿,B/TT,無特別報告
2026-04-29,跑馬地,3,4,7,蜜蜜送 (J502),霍宏聲,B-/SR2,無特別報告
2026-04-29,跑馬地,3,5,11,夢照發 (H168),巴度,--,無特別報告
2026-04-29,跑馬地,3,6,9,禾道威 (J463),潘頓,CP/TT,無特別報告
2026-04-29,跑馬地,3,7,2,大千氣象 (H324),布文,TT,無特別報告
2026-04-29,跑馬地,3,8,6,包裝旋風 (H137),班德禮,B/TT,無特別報告
2026-04-29,跑馬地,3,9,3,八駿笑昇 (H296),田泰安,B/TT,無特別報告
2026-04-29,跑馬地,3,10,12,君智盛 (J213),金誠剛,CP/XB,無特別報告
2026-04-29,跑馬地,3,11,1,清雲龍駒 (K160),奧爾民,BO,無特別報告
2026-04-29,跑馬地,3,12,4,揀馬之皇 (K397),周俊樂,B/TT,無特別報告
2026-04-29,跑馬地,4,1,3,紅愛舍 (H110),布文,B/TT,無特別報告
2026-04-29,跑馬地,4,2,11,勝在當下 (K532),田泰安,B,無特別報告
2026-04-29,跑馬地,4,3,1,跨境駿馬 (L022),潘頓,B,無特別報告
2026-04-29,跑馬地,4,4,12,英雄豪邁 (G394),巴度,B/TT,無特別報告
2026-04-29,跑馬地,4,5,4,朗日自強 (J530),周俊樂,V/TT,無特別報告
2026-04-29,跑馬地,4,6,5,祥勝力駒 (J181),霍宏聲,B,無特別報告
2026-04-29,跑馬地,4,7,7,星威心得 (L074),班德禮,CP-/B2,無特別報告
2026-04-29,跑馬地,4,8,10,勇敢孖寶 (K421),何澤堯,B,無特別報告
2026-04-29,跑馬地,4,9,9,閃電星福 (K431),金誠剛,H-/TT,無特別報告
2026-04-29,跑馬地,4,10,6,悠然常勝 (L136),布浩榮,H/P/TT,無特別報告
2026-04-29,跑馬地,4,11,8,佳運發 (E435),黃寶妮,--,無特別報告
2026-04-29,跑馬地,4,12,2,笑盈喜 (K573),奧爾民,--,無特別報告
2026-04-29,跑馬地,5,1,8,電玩精英 (H356),班德禮,SR/TT,無特別報告
2026-04-29,跑馬地,5,2,2,巴閉王 (K479),黃寶妮,CP/XB,無特別報告
2026-04-29,跑馬地,5,3,12,銳高 (J375),蔡明紹,B-/TT,無特別報告
2026-04-29,跑馬地,5,4,5,雷神太保 (K017),潘頓,--,無特別報告
2026-04-29,跑馬地,5,5,4,你知我寶 (L132),布文,TT,無特別報告
2026-04-29,跑馬地,5,6,9,有盈勇士 (K271),鍾易禮,B/TT,無特別報告
2026-04-29,跑馬地,5,7,7,領袖勁力 (L034),梁家俊,XB1/TT,無特別報告
2026-04-29,跑馬地,5,8,3,方圓星 (K517),布浩榮,CP/H/TT1,無特別報告
2026-04-29,跑馬地,5,9,10,瑰麗人生 (H044),楊明綸,B/TT,無特別報告
2026-04-29,跑馬地,5,10,6,勁砲王 (K543),金誠剛,XB/CP1,無特別報告
2026-04-29,跑馬地,5,11,11,不勞而獲 (K377),田泰安,XB-/TT,無特別報告
2026-04-29,跑馬地,5,12,1,幸運大夫 (L225),奧爾民,XB-/B1/TT-,無特別報告
2026-04-29,跑馬地,6,1,4,暴風之子 (K176),蔡明紹,B,無特別報告
2026-04-29,跑馬地,6,2,1,勁進駒 (J384),潘頓,CP,無特別報告
2026-04-29,跑馬地,6,3,6,快搏 (E434),艾道拿,B,無特別報告
2026-04-29,跑馬地,6,4,5,越駿齊歡 (L079),梁家俊,H1/TT,無特別報告
2026-04-29,跑馬地,6,5,10,隨緣得勝 (K223),周俊樂,B/TT,無特別報告
2026-04-29,跑馬地,6,6,2,浪漫老撾 (G476),布浩榮,CP/TT,無特別報告
2026-04-29,跑馬地,6,7,3,爆出美麗 (K155),布文,CP1/TT,無特別報告
2026-04-29,跑馬地,6,8,7,定數 (H438),霍宏聲,B/XB/TT,無特別報告
2026-04-29,跑馬地,6,9,11,真叻仔 (K435),楊明綸,CP,無特別報告
2026-04-29,跑馬地,6,10,8,上浦福旺 (L102),鍾易禮,CP/TT,無特別報告
2026-04-29,跑馬地,6,11,12,大數據 (H230),田泰安,V,無特別報告
2026-04-29,跑馬地,6,12,9,快靚旺 (K027),黃智弘,TT,無特別報告
2026-04-29,跑馬地,7,1,3,天天同樂 (J316),霍宏聲,TT,無特別報告
2026-04-29,跑馬地,7,2,8,好評如潮 (L223),黃寶妮,TT,無特別報告
2026-04-29,跑馬地,7,3,2,顏色之皇 (K227),潘頓,CP1/TT,無特別報告
2026-04-29,跑馬地,7,4,10,燭光晚餐 (J468),巴度,H,無特別報告
2026-04-29,跑馬地,7,5,4,魔術控制 (J333),田泰安,B2/TT,無特別報告
2026-04-29,跑馬地,7,6,1,星際快車 (J186),艾道拿,B,無特別報告
2026-04-29,跑馬地,7,7,6,天星 (K234),班德禮,B,無特別報告
2026-04-29,跑馬地,7,8,5,勇敢巨星 (G268),楊明綸,XB,無特別報告
2026-04-29,跑馬地,7,9,7,小霸王 (G265),鍾易禮,B/TT,無特別報告
2026-04-29,跑馬地,7,10,9,年少多好 (J082),蔡明紹,SR/V/TT,無特別報告
2026-04-29,跑馬地,8,1,4,踏雪尋梅 (K451),潘頓,B/TT,無特別報告
2026-04-29,跑馬地,8,2,6,東來欣賞 (J290),周俊樂,TT,無特別報告
2026-04-29,跑馬地,8,3,11,泰泰精神 (K007),田泰安,--,無特別報告
2026-04-29,跑馬地,8,4,12,喵喵怪 (J487),巴度,CP/SR/TT,無特別報告
2026-04-29,跑馬地,8,5,9,合夥飛馳 (K342),楊明綸,XB,無特別報告
2026-04-29,跑馬地,8,6,8,香港仔 (L020),梁家俊,CP/TT,無特別報告
2026-04-29,跑馬地,8,7,5,高士威勁 (L196),班德禮,CP2,無特別報告
2026-04-29,跑馬地,8,8,3,川河動駒 (H456),鍾易禮,B/TT,無特別報告
2026-04-29,跑馬地,8,9,2,開心指數 (L152),布文,TT,無特別報告
2026-04-29,跑馬地,8,10,10,團結巴打 (L150),黃寶妮,XB-,無特別報告
2026-04-29,跑馬地,8,11,1,駿跑得 (K208),霍宏聲,--,無特別報告
2026-04-29,跑馬地,8,12,7,智勝一籌 (L249),蔡明紹,XB/TT,無特別報告
2026-04-29,跑馬地,9,1,6,穿甲金鷹 (K566),潘頓,B,無特別報告
2026-04-29,跑馬地,9,2,12,魅力知耀 (K428),田泰安,B/XB,無特別報告
2026-04-29,跑馬地,9,3,5,凡凡有餘 (J364),布浩榮,XB/TT,無特別報告
2026-04-29,跑馬地,9,4,7,加州活力 (J131),巴度,B/TT,無特別報告
2026-04-29,跑馬地,9,5,2,瑪瑙 (G306),梁家俊,V-/B2,無特別報告
2026-04-29,跑馬地,9,6,10,爆笑 (J079),黃寶妮,TT,無特別報告
2026-04-29,跑馬地,9,7,11,雙星報喜 (K126),班德禮,CP,無特別報告
2026-04-29,跑馬地,9,8,9,翠兒威威 (K084),周俊樂,CP/TT,無特別報告
2026-04-29,跑馬地,9,9,3,相映紅 (J426),黃智弘,PC1/TT,無特別報告
2026-04-29,跑馬地,9,10,4,我做到 (H381),鍾易禮,H/TT,無特別報告
2026-04-29,跑馬地,9,11,1,一定掂 (J225),布文,--,無特別報告
2026-04-29,跑馬地,9,12,8,椒椒醒 (H440),蔡明紹,--,無特別報告
