date,venue,race_no,place,horse_no,horse_name,jockey,gear,commentary
2026-05-03,沙田,1,1,13,城中勇士 (H430),袁幸堯,B/TT,無特別報告
2026-05-03,沙田,1,2,9,八里旺 (J243),梁家俊,CP/TT,無特別報告
2026-05-03,沙田,1,3,11,皇金合 (K099),金誠剛,B,無特別報告
2026-05-03,沙田,1,4,5,首駿 (K189),布文,XB/TT,無特別報告
2026-05-03,沙田,1,5,14,紅旺繽紛 (J255),巴度,CP/SR/TT,無特別報告
2026-05-03,沙田,1,6,10,本能 (K289),楊明綸,B-,無特別報告
2026-05-03,沙田,1,7,12,綫路光驊 (H487),黃寶妮,B/TT,無特別報告
2026-05-03,沙田,1,8,2,金風萬里 (K150),潘頓,H-,無特別報告
2026-05-03,沙田,1,9,6,陸小鳳 (K282),周俊樂,TT-,無特別報告
2026-05-03,沙田,1,10,1,果然僥倖 (H252),班德禮,B/H/TT,無特別報告
2026-05-03,沙田,1,11,7,飛雲 (H320),黃智弘,TT,無特別報告
2026-05-03,沙田,1,12,8,快活同盟 (K316),奧爾民,CP/XB,無特別報告
2026-05-03,沙田,1,13,3,五福星 (J099),霍宏聲,B,無特別報告
2026-05-03,沙田,1,14,4,同有運 (H349),潘明輝,B/TT,無特別報告
2026-05-03,沙田,2,1,9,賢知友您 (K545),奧爾民,P-/XB/TT,無特別報告
2026-05-03,沙田,2,2,11,嘉冠王 (K116),潘頓,CP/TT,無特別報告
2026-05-03,沙田,2,3,10,應龍飛影 (L083),袁幸堯,TT,無特別報告
2026-05-03,沙田,2,4,2,戀愛狂 (K118),霍宏聲,TT,無特別報告
2026-05-03,沙田,2,5,1,八仟好運 (K582),艾兆禮,--,無特別報告
2026-05-03,沙田,2,6,5,越駿聯歡 (L202),艾道拿,CP1,無特別報告
2026-05-03,沙田,2,7,6,駿馬之光 (K159),鍾易禮,CP/TT,無特別報告
2026-05-03,沙田,2,8,14,牛精豪情 (K181),巴度,--,無特別報告
2026-05-03,沙田,2,9,8,明德輝煌 (L298),潘明輝,TT1,無特別報告
2026-05-03,沙田,2,10,12,錶之無限 (L100),梁家俊,B1,無特別報告
2026-05-03,沙田,2,11,13,有你有我 (H057),希威森,H/P/TT,無特別報告
2026-05-03,沙田,2,12,4,潮州高球 (L216),班德禮,--,無特別報告
2026-05-03,沙田,2,13,3,領航多財 (L101),金誠剛,TT,無特別報告
2026-05-03,沙田,2,14,7,一舖掂晒 (L105),田泰安,TT,無特別報告
2026-05-03,沙田,3,1,4,觀萬物 (K101),潘頓,XB/TT,無特別報告
2026-05-03,沙田,3,2,3,順善寶 (K239),黃智弘,TT,無特別報告
2026-05-03,沙田,3,3,2,神駒馬靈 (J162),奧爾民,CP1,無特別報告
2026-05-03,沙田,3,4,1,手到再來 (H429),袁幸堯,TT,無特別報告
2026-05-03,沙田,3,5,7,知恩圖報 (K166),金誠剛,B/TT,無特別報告
2026-05-03,沙田,3,6,9,怡昌奇兵 (J176),希威森,CP,無特別報告
2026-05-03,沙田,3,7,10,劍無情 (J535),田泰安,B/TT,無特別報告
2026-05-03,沙田,3,8,11,問鼎巔峰 (K044),周俊樂,CP,無特別報告
2026-05-03,沙田,3,9,5,怪獸叉燒 (K415),巫顯東,TT,無特別報告
2026-05-03,沙田,3,10,8,鑽得勝 (K216),布文,E-,無特別報告
2026-05-03,沙田,3,11,6,旋風傳奇 (J152),潘明輝,B/TT2,無特別報告
2026-05-03,沙田,3,12,13,熊噹噹 (H002),艾兆禮,V/TT,無特別報告
2026-05-03,沙田,3,13,14,不假外求 (J493),黃寶妮,B/TT,無特別報告
2026-05-03,沙田,4,1,12,非凡時刻 (K275),金誠剛,--,無特別報告
2026-05-03,沙田,4,2,13,同喜 (J403),巴度,CP,無特別報告
2026-05-03,沙田,4,3,14,新力驕 (J223),班德禮,CP/TT,無特別報告
2026-05-03,沙田,4,4,2,團結戰靈 (K132),梁家俊,CP/XB/TT,無特別報告
2026-05-03,沙田,4,5,10,華麗再贏 (L087),鍾易禮,TT,無特別報告
2026-05-03,沙田,4,6,7,無比小子 (L259),奧爾民,B1,無特別報告
2026-05-03,沙田,4,7,4,手機錶能 (L293),布文,--,無特別報告
2026-05-03,沙田,4,8,5,愛心萬里 (L165),潘明輝,CP1,無特別報告
2026-05-03,沙田,4,9,11,嘉應光彩 (K134),潘頓,--,無特別報告
2026-05-03,沙田,4,10,1,龍之悅 (K571),楊明綸,H/TT,無特別報告
2026-05-03,沙田,4,11,6,皇者威楓 (L158),田泰安,CP1,無特別報告
2026-05-03,沙田,4,12,9,賀龍飛翔 (K345),艾道拿,B,無特別報告
2026-05-03,沙田,4,13,3,川河石駒 (K548),布浩榮,B1/TT,無特別報告
2026-05-03,沙田,4,14,8,步步合拍 (L252),艾兆禮,--,無特別報告
2026-05-03,沙田,5,1,8,逍遙騎士 (K370),田泰安,B/TT,無特別報告
2026-05-03,沙田,5,2,1,綫路萬里 (H475),袁幸堯,PC/TT,無特別報告
2026-05-03,沙田,5,3,2,創寶駒 (L161),艾道拿,B/TT,無特別報告
2026-05-03,沙田,5,4,4,總統輝煌 (L241),布浩榮,TT,無特別報告
2026-05-03,沙田,5,5,13,金快飛飛 (K121),蔡明紹,SR/TT,無特別報告
2026-05-03,沙田,5,6,9,健康小馬 (L046),周俊樂,CP/H,無特別報告
2026-05-03,沙田,5,7,7,共創歡欣 (L118),布文,TT,無特別報告
2026-05-03,沙田,5,8,14,明亮光輝 (L005),金誠剛,CP/TT,無特別報告
2026-05-03,沙田,5,9,12,萬事勝利 (L163),艾兆禮,TT,無特別報告
2026-05-03,沙田,5,10,3,馬鳳凰 (J516),霍宏聲,B-,無特別報告
2026-05-03,沙田,5,11,10,暴風一族 (K104),希威森,--,無特別報告
2026-05-03,沙田,5,12,5,快樂共濟 (L049),何澤堯,XB,無特別報告
2026-05-03,沙田,5,13,6,福聚 (K410),潘頓,--,無特別報告
2026-05-03,沙田,5,14,11,豐功偉績 (K480),巴度,H,無特別報告
2026-05-03,沙田,6,1,7,浪漫戰神 (K012),潘明輝,XB/TT,無特別報告
2026-05-03,沙田,6,2,3,君子傳承 (K385),布文,B/TT,無特別報告
2026-05-03,沙田,6,3,2,天將龍駒 (K129),巫顯東,--,無特別報告
2026-05-03,沙田,6,4,5,海上大軍 (L187),田泰安,--,無特別報告
2026-05-03,沙田,6,5,1,桃花開 (J301),鍾易禮,CP/TT,無特別報告
2026-05-03,沙田,6,6,6,火焰閃爍 (K098),班德禮,B,無特別報告
2026-05-03,沙田,6,7,4,春風萬里 (H383),黃智弘,TT,無特別報告
2026-05-03,沙田,7,1,8,風火恆雲 (H388),潘明輝,B,無特別報告
2026-05-03,沙田,7,2,5,赤風驪 (L093),布浩榮,TT,無特別報告
2026-05-03,沙田,7,3,2,紅衣醒目 (K184),田泰安,TT,無特別報告
2026-05-03,沙田,7,4,7,鴻圖大展 (L138),希威森,TT,無特別報告
