date,venue,race_no,pool,combination,dividend_hkd
2026-04-29,跑馬地,1,獨贏,4,54.00
2026-04-29,跑馬地,1,位置,4,20.50
2026-04-29,跑馬地,1,連贏,"3,4",505.00
2026-04-29,跑馬地,1,位置Q,"3,4",162.00
2026-04-29,跑馬地,1,二重彩,"4,3",749.00
2026-04-29,跑馬地,1,三重彩,"4,3,5","7,532.00"
2026-04-29,跑馬地,1,單T,"3,4,5","1,674.00"
2026-04-29,跑馬地,1,四連環,"3,4,5,7",930.00
2026-04-29,跑馬地,1,四重彩,"4,3,5,7","22,939.00"
2026-04-29,跑馬地,2,獨贏,4,25.50
2026-04-29,跑馬地,2,位置,4,13.00
2026-04-29,跑馬地,2,連贏,"4,12",163.00
2026-04-29,跑馬地,2,位置Q,"4,12",64.00
2026-04-29,跑馬地,2,二重彩,"4,12",274.00
2026-04-29,跑馬地,2,三重彩,"4,12,6","2,251.00"
2026-04-29,跑馬地,2,單T,"4,6,12",613.00
2026-04-29,跑馬地,2,四連環,"1,4,6,12","4,576.00"
2026-04-29,跑馬地,2,四重彩,"4,12,6,1","63,355.00"
2026-04-29,跑馬地,2,第一口孖寶,4/4,114.00
2026-04-29,跑馬地,3,獨贏,10,888.00
2026-04-29,跑馬地,3,位置,10,182.00
2026-04-29,跑馬地,3,連贏,"5,10","5,899.00"
2026-04-29,跑馬地,3,位置Q,"5,10","1,134.00"
2026-04-29,跑馬地,3,二重彩,"10,5","12,706.00"
2026-04-29,跑馬地,3,三重彩,"10,5,8","151,605.00"
2026-04-29,跑馬地,3,單T,"5,8,10","15,142.00"
2026-04-29,跑馬地,3,四連環,"5,7,8,10","42,727.00"
2026-04-29,跑馬地,3,四重彩,"10,5,8,7","1,847,947.00"
2026-04-29,跑馬地,3,第二口孖寶,4/10,"2,035.00"
2026-04-29,跑馬地,3,第一口孖T,"4,6,12/5,8,10","1,050,920.00"
2026-04-29,跑馬地,4,獨贏,3,41.00
2026-04-29,跑馬地,4,位置,3,16.50
2026-04-29,跑馬地,4,連贏,"3,11",100.00
2026-04-29,跑馬地,4,位置Q,"3,11",38.50
2026-04-29,跑馬地,4,二重彩,"3,11",219.00
2026-04-29,跑馬地,4,三重彩,"3,11,1",914.00
2026-04-29,跑馬地,4,單T,"1,3,11",117.00
2026-04-29,跑馬地,4,四連環,"1,3,11,12",515.00
2026-04-29,跑馬地,4,四重彩,"3,11,1,12","9,835.00"
2026-04-29,跑馬地,4,第三口孖寶,10/3,"7,177.50"
2026-04-29,跑馬地,5,獨贏,8,40.50
2026-04-29,跑馬地,5,位置,8,14.00
2026-04-29,跑馬地,5,連贏,"2,8",69.00
2026-04-29,跑馬地,5,位置Q,"2,8",26.50
2026-04-29,跑馬地,5,二重彩,"8,2",172.00
2026-04-29,跑馬地,5,三重彩,"8,2,12",835.00
2026-04-29,跑馬地,5,單T,"2,8,12",148.00
2026-04-29,跑馬地,5,四連環,"2,5,8,12",77.00
2026-04-29,跑馬地,5,四重彩,"8,2,12,5","1,818.00"
2026-04-29,跑馬地,5,第四口孖寶,3/8,160.50
2026-04-29,跑馬地,5,第一口三寶,10/3/8,"24,349.00"
2026-04-29,跑馬地,5,第二口孖T,"1,3,11/2,8,12","1,931.00"
2026-04-29,跑馬地,6,獨贏,4,118.00
2026-04-29,跑馬地,6,位置,4,34.00
2026-04-29,跑馬地,6,連贏,"1,4",641.50
2026-04-29,跑馬地,6,位置Q,"1,4",181.50
2026-04-29,跑馬地,6,二重彩,"4,1","1,134.00"
2026-04-29,跑馬地,6,三重彩,"4,1,6","18,543.00"
2026-04-29,跑馬地,6,單T,"1,4,6","4,108.00"
2026-04-29,跑馬地,6,四連環,"1,4,5,6","41,000.00"
2026-04-29,跑馬地,6,四重彩,"4,1,6,5","852,450.00"
2026-04-29,跑馬地,6,第五口孖寶,8/4,378.00
2026-04-29,跑馬地,7,獨贏,3,60.00
2026-04-29,跑馬地,7,位置,3,18.50
2026-04-29,跑馬地,7,連贏,"3,8",507.50
2026-04-29,跑馬地,7,位置Q,"3,8",152.00
2026-04-29,跑馬地,7,二重彩,"3,8",982.00
2026-04-29,跑馬地,7,三重彩,"3,8,2","2,983.00"
2026-04-29,跑馬地,7,單T,"2,3,8",409.00
2026-04-29,跑馬地,7,四連環,"2,3,8,10",517.00
2026-04-29,跑馬地,7,四重彩,"3,8,2,10","17,154.00"
2026-04-29,跑馬地,7,第六口孖寶,4/3,815.00
2026-04-29,跑馬地,7,第三口孖T,"1,4,6/2,3,8","366,820.00"
2026-04-29,跑馬地,7,三T(安慰獎),"2,8,12/1,4,6/任何組合","24,824.00"
2026-04-29,跑馬地,8,獨贏,4,27.00
2026-04-29,跑馬地,8,位置,4,14.50
2026-04-29,跑馬地,8,連贏,"4,6",141.50
2026-04-29,跑馬地,8,位置Q,"4,6",50.50
2026-04-29,跑馬地,8,二重彩,"4,6",192.00
2026-04-29,跑馬地,8,三重彩,"4,6,11","1,918.00"
2026-04-29,跑馬地,8,單T,"4,6,11",577.00
2026-04-29,跑馬地,8,四連環,"4,6,11,12",380.00
2026-04-29,跑馬地,8,四重彩,"4,6,11,12","5,447.00"
2026-04-29,跑馬地,8,第七口孖寶,3/4,147.00
2026-04-29,跑馬地,9,獨贏,6,28.00
2026-04-29,跑馬地,9,位置,6,14.00
2026-04-29,跑馬地,9,連贏,"6,12",71.00
2026-04-29,跑馬地,9,位置Q,"6,12",33.00
2026-04-29,跑馬地,9,二重彩,"6,12",139.00
2026-04-29,跑馬地,9,三重彩,"6,12,5",922.00
2026-04-29,跑馬地,9,單T,"5,6,12",211.00
2026-04-29,跑馬地,9,四連環,"5,6,7,12",863.00
2026-04-29,跑馬地,9,四重彩,"6,12,5,7","12,681.00"
2026-04-29,跑馬地,9,第八口孖寶,4/6,78.50
2026-04-29,跑馬地,9,第二口三寶,3/4/6,609.00
2026-04-29,跑馬地,9,第四口孖T,"4,6,11/5,6,12","9,997.00"
2026-04-29,跑馬地,9,六環彩,"3,11/2,8/1,4/3,8/4,6/6,12","2,807.00"
2026-04-29,跑馬地,9,騎師王 1,"1 [潘頓]
(退款組合: 12 [潘明輝])",詳情
2026-04-29,跑馬地,9,練馬師王 1,2 [韋達],詳情
