date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,1,5,鵲橋飛昇 (L244),奧爾民,賀賢,126,1127,4,---,8 8 1,0:57.87,49
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,2,2,銳行星 (L308),莫雷拉,方嘉柏,126,1120,5,3/4,3 1 2,0:58.02,3.4
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,3,6,永福 (L317),袁幸堯,姚本輝,111,1097,8,1-1/2,1 3 3,0:58.11,10
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,4,7,極歡欣 (L345),艾兆禮,廖康銘,121,1095,1,1-3/4,5 5 4,0:58.16,3.7
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,5,1,全能勇士 (L245),潘頓,呂健威,126,936,3,3-1/4,4 4 5,0:58.41,6.3
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,6,3,紅悅舍 (L355),布文,韋達,126,1079,6,3-1/2,9 6 6,0:58.43,14
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,7,10,精英奪冠 (L295),楊明綸,大衛希斯,121,1093,7,3-3/4,2 2 7,0:58.47,11
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,8,4,銀騎士 (L236),希威森,韋達,126,1091,2,4-1/4,10 9 8,0:58.56,23
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,9,8,盛世英雄 (L348),田泰安,大衛希斯,121,895,10,9,7 10 9,0:59.32,67
2026-05-13,沙田,1,674,蝴蝶灣平磅賽,,,,好地至黏地,"草地 - ""C"" 賽道",950000,(13.54) (34.89) (57.87),13.54 21.35,10,9,雙劍合璧 (L290),班德禮,大衛希斯,121,1008,9,9-1/2,6 7 10,0:59.38,6
