date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2026-04-29,跑馬地,1,1,4,滿洛城 (K374),1:50.38,1/2,3,13.63,SH,1,23.19,1/2,1,24.16,1-3/4,1,24.89 12.32    12.57,2-1/2,1,24.51 12.01    12.50,,,
2026-04-29,跑馬地,1,2,3,揚威四海 (K120),1:50.78,2-3/4,7,13.99,4,7,23.47,5,7,24.32,6,7,25.05 12.40    12.65,2-1/2,2,23.95 11.73    12.22,,,
2026-04-29,跑馬地,1,3,5,富裕君子 (H447),1:51.05,6,12,14.51,6-1/2,11,23.35,9,12,24.56,9,12,24.89 12.28    12.61,4-1/4,3,23.74 11.69    12.05,,,
2026-04-29,跑馬地,1,4,7,幸運同行 (J331),1:51.06,4-1/4,10,14.23,5-1/2,10,23.47,6-1/4,9,24.28,7,9,25.01 12.40    12.61,4-1/4,4,24.07 11.77    12.30,,,
2026-04-29,跑馬地,1,5,6,架勢奇爸 (G312),1:51.07,3,8,14.03,4-1/4,8,23.47,5-1/2,8,24.36,6,8,24.97 12.32    12.65,4-1/4,5,24.24 11.89    12.35,,,
2026-04-29,跑馬地,1,6,11,鼓浪飛凡 (H018),1:51.29,5-3/4,11,14.47,6-3/4,12,23.43,7-3/4,11,24.32,8-3/4,11,25.05 12.40    12.65,5-3/4,6,24.02 11.69    12.33,,,
2026-04-29,跑馬地,1,7,10,快樂之友 (K344),1:51.32,1/2,2,13.63,1,3,23.35,1/2,2,24.08,1-3/4,2,25.09 12.36    12.73,5-3/4,7,25.17 12.25    12.92,,,
2026-04-29,跑馬地,1,8,1,悠悠乾坤 (K059),1:51.72,1-1/4,5,13.75,2,4,23.39,2-1/4,4,24.20,3-1/4,4,25.05 12.32    12.73,8-1/4,8,25.33 12.25    13.08,,,
2026-04-29,跑馬地,1,9,12,同寶寶 (H386),1:51.78,3-3/4,9,14.15,5-1/4,9,23.51,7,10,24.44,7-1/4,10,24.93 12.32    12.61,8-3/4,9,24.75 12.01    12.74,,,
2026-04-29,跑馬地,1,10,9,皇金風速 (E448),1:51.85,1/2,1,13.55,SH,2,23.27,1-3/4,3,24.44,2-1/2,3,25.01 12.32    12.69,9-1/4,10,25.58 12.17    13.41,,,
2026-04-29,跑馬地,1,11,8,桃花多 (E488),1:52.21,1,4,13.71,2-1/4,5,23.47,3-1/2,5,24.36,4-1/2,5,25.05 12.36    12.69,11-1/2,11,25.62 12.21    13.41,,,
2026-04-29,跑馬地,1,12,2,綻放的心 (K055),1:52.33,1-3/4,6,13.83,3-1/4,6,23.51,4,6,24.28,4-3/4,6,25.01 12.28    12.73,12-1/4,12,25.70 12.29    13.41,,,
2026-04-29,跑馬地,1,1,4,滿洛城 (K374),1:50.38,1/2,3,13.63,SH,1,23.19,1/2,1,24.16,1-3/4,1,24.89 12.32    12.57,2-1/2,1,24.51 12.01    12.50,,,
2026-04-29,跑馬地,1,2,3,揚威四海 (K120),1:50.78,2-3/4,7,13.99,4,7,23.47,5,7,24.32,6,7,25.05 12.40    12.65,2-1/2,2,23.95 11.73    12.22,,,
2026-04-29,跑馬地,1,3,5,富裕君子 (H447),1:51.05,6,12,14.51,6-1/2,11,23.35,9,12,24.56,9,12,24.89 12.28    12.61,4-1/4,3,23.74 11.69    12.05,,,
