date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2026-05-13,跑馬地,1,1,1,焦點 (H173),1:39.85,2,5,27.84,2,4,23.69,1-1/4,3,24.22 12.00    12.22,SH,1,24.10 11.81    12.29,,,,,,
2026-05-13,跑馬地,1,2,3,駟跑得 (G095),1:39.86,5-3/4,8,28.44,5,8,23.57,4-1/2,8,24.26 12.04    12.22,SH,2,23.59 11.69    11.90,,,,,,
2026-05-13,跑馬地,1,3,12,華美之威 (J193),1:39.94,4,7,28.16,3-1/2,6,23.61,2-1/2,6,24.18 12.00    12.18,1/2,3,23.99 11.85    12.14,,,,,,
2026-05-13,跑馬地,1,4,5,電訊驕陽 (J332),1:39.95,1-3/4,4,27.80,2-1/2,5,23.81,2-1/4,5,24.30 12.08    12.22,1/2,4,24.04 11.85    12.19,,,,,,
2026-05-13,跑馬地,1,5,6,小皇爺 (J546),1:40.06,6-3/4,9,28.60,5-3/4,9,23.53,4-3/4,9,24.18 12.12    12.06,1-1/4,5,23.75 11.69    12.06,,,,,,
2026-05-13,跑馬地,1,6,8,常常感恩 (J065),1:40.21,SH,2,27.52,1,1,23.69,1,1,24.34 12.04    12.30,2-1/4,6,24.66 12.05    12.61,,,,,,
2026-05-13,跑馬地,1,7,10,風雲 (J371),1:40.34,7-1/2,10,28.72,6-1/4,10,23.49,5-3/4,11,24.26 12.04    12.22,3,7,23.87 11.65    12.22,,,,,,
2026-05-13,跑馬地,1,8,2,大力猴王 (G307),1:40.44,3,6,28.00,4,7,23.85,3-1/2,7,24.26 12.04    12.22,3-3/4,8,24.33 11.89    12.44,,,,,,
2026-05-13,跑馬地,1,9,7,東方寶寶 (J309),1:40.77,9-1/2,12,29.04,7-1/4,11,23.33,6-1/2,12,24.22 12.16    12.06,5-3/4,9,24.18 11.73    12.45,,,,,,
2026-05-13,跑馬地,1,10,11,龍又生 (J269),1:40.81,9,11,28.96,7-3/4,12,23.49,5-3/4,10,24.02 12.08    11.94,6,10,24.34 11.77    12.57,,,,,,
2026-05-13,跑馬地,1,11,4,魅力知福 (K038),1:40.84,SH,1,27.52,1-1/4,3,23.89,2-1/4,4,24.50 12.08    12.42,6-1/4,11,24.93 12.13    12.80,,,,,,
2026-05-13,跑馬地,1,12,9,威威父子 (H419),1:40.92,1-1/2,3,27.76,1,2,23.61,1,2,24.34 12.00    12.34,6-3/4,12,25.21 12.17    13.04,,,,,,
2026-05-13,跑馬地,2,1,12,獵寶勤 (J304),1:09.37,1-1/4,1,23.96,1,1,22.51 11.16    11.35,2,1,22.90 11.38    11.52,,,,,,,,,
2026-05-13,跑馬地,2,2,8,博愛先鋒 (G465),1:09.70,2-1/2,5,24.36,2-1/4,5,22.47 11.20    11.27,2,2,22.87 11.22    11.65,,,,,,,,,
2026-05-13,跑馬地,2,3,4,環球英雄 (J413),1:09.83,1-1/4,2,24.16,1,2,22.47 11.12    11.35,2-3/4,3,23.20 11.42    11.78,,,,,,,,,
2026-05-13,跑馬地,2,4,10,領袖勁力 (L034),1:10.04,3,7,24.44,3-3/4,7,22.63 11.40    11.23,4-1/4,4,22.97 11.26    11.71,,,,,,,,,
2026-05-13,跑馬地,2,5,1,美麗邂逅 (E459),1:10.15,2-1/4,4,24.32,2,3,22.47 11.16    11.31,5,5,23.36 11.50    11.86,,,,,,,,,
2026-05-13,跑馬地,2,6,9,神異金剛 (K109),1:10.46,5,11,24.76,5-1/4,10,22.55 11.32    11.23,6-3/4,6,23.15 11.38    11.77,,,,,,,,,
2026-05-13,跑馬地,2,7,5,勝多多 (H407),1:10.61,3,6,24.44,3-1/4,6,22.55 11.20    11.35,7-3/4,7,23.62 11.54    12.08,,,,,,,,,
