horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
A125,310,06,01/01/2021,沙田,草地,B+2,1400,好,4,13,53,徐雨石,潘明輝,4-1/4,142,124,14 14 14 6,1.22.67,1145,--
A125,188,14,14/11/2020,沙田,草地,C+3,1400,好,4,9,53,徐雨石,黃皓楠,14-1/4,125,123,13 13 14 14,1.23.77,1144,--
A125,755,14,21/06/2020,沙田,草地,A,1600,好/快,4,6,53,徐雨石,蘇狄雄,12-1/4,12,126,9 10 13 14,1.36.80,1104,--
A125,681,01,24/05/2020,沙田,草地,A,1600,好,4,3,46,徐雨石,莫雷拉,1-1/2,3,119,6 7 6 1,1.34.60,1102,--
A125,627,02,03/05/2020,沙田,草地,B,1600,好/快,4,5,46,徐雨石,蘇狄雄,3-3/4,10,117,10 10 9 2,1.34.68,1105,--
A125,550,02,05/04/2020,沙田,草地,B+2,1600,好,4,1,44,徐雨石,蘇狄雄,頸位,38,115,6 5 2 2,1.35.67,1104,B-
A125,504,10,18/03/2020,跑馬地,草地,C+3,1650,好,4,8,46,徐雨石,波健士,8-1/4,30,119,10 9 10 10,1.40.53,1111,B
A125,447,09,26/02/2020,跑馬地,草地,A,1650,好,4,1,47,徐雨石,黎海榮,2,11,121,6 7 7 9,1.40.57,1124,B
A125,393,04,05/02/2020,跑馬地,草地,C,1650,好,4,11,47,徐雨石,莫雷拉,1-3/4,14,120,11 12 9 4,1.40.19,1121,B
A125,355,08,22/01/2020,跑馬地,草地,A,1650,好,4,7,49,徐雨石,田泰安,4-1/4,7.9,123,10 10 11 8,1.40.81,1132,B2
A125,278,03,26/12/2019,跑馬地,草地,A,1650,好,4,6,50,徐雨石,田泰安,2-3/4,5.1,124,10 11 10 3,1.40.76,1123,B-
A125,184,11,20/11/2019,跑馬地,草地,C+3,1650,好/快,4,8,50,徐雨石,李寶利,15-1/2,14,124,11 11 12 11,1.42.79,1127,B
A125,117,02,23/10/2019,跑馬地,草地,C+3,1650,好/快,4,5,48,徐雨石,李寶利,頸位,11,123,8 7 1 2,1.40.87,1120,B
A125,082,09,09/10/2019,跑馬地,草地,B,1650,好,4,10,50,徐雨石,梁家俊,8,70,123,2 1 1 9,1.42.01,1119,B
A125,052,09,25/09/2019,跑馬地,草地,A,1800,好/快,4,10,52,徐雨石,陳嘉熙,6-3/4,52,118,2 2 2 4 9,1.50.96,1101,B
A125,021,09,11/09/2019,跑馬地,草地,B,1650,好,4,9,53,徐雨石,梁家俊,8,12,127,9 9 9 9,1.41.35,1098,B
A125,783,06,03/07/2019,跑馬地,草地,C,1650,好,4,12,54,徐雨石,波健士,7,20,127,10 10 8 6,1.40.82,1096,P-/B2
A125,732,06,12/06/2019,沙田全天候,,,1650,濕慢,4,6,54,徐雨石,沈拿,9-1/4,14,127,3 4 5 6,1.40.94,1092,B-/P2
A125,718,06,05/06/2019,跑馬地,草地,A,1650,好,4,7,54,徐雨石,梁家俊,2-3/4,6.6,128,2 3 4 6,1.41.20,1104,B
A125,661,01,15/05/2019,跑馬地,草地,A,1650,好,4,2,47,徐雨石,梁家俊,2,6.1,121,6 6 6 1,1.40.24,1105,B
A125,571,04,10/04/2019,跑馬地,草地,A,1800,好,4,1,47,徐雨石,楊明綸,3/4,8.9,118,4 3 3 3 4,1.49.72,1112,B
A125,492,04,13/03/2019,跑馬地,草地,B,1650,好,4,4,48,徐雨石,梁家俊,2-1/2,11,121,7 7 1 4,1.40.47,1120,B
A125,426,06,17/02/2019,沙田,草地,A+3,1400,好,4,4,50,徐雨石,郭能,3-1/4,9.3,123,11 13 13 6,1.22.75,1114,B
A125,348,09,20/01/2019,沙田,草地,A+3,1400,好,4,5,52,徐雨石,田泰安,5-3/4,11,125,14 13 12 9,1.23.55,1132,B
A125,276,04,23/12/2018,沙田,草地,A+3,1400,好,4,13,54,徐雨石,史卓豐,3-1/4,8.6,126,13 14 11 4,1.23.50,1117,B
A125,130,11,28/10/2018,跑馬地,草地,A,1650,好,4,9,56,徐雨石,楊明綸,8-1/2,18,127,9 8 9 11,1.42.51,1125,P-/B1
A125,074,07,07/10/2018,沙田全天候,,,1650,好,4,10,57,徐雨石,楊明綸,5-1/4,14,128,9 8 8 7,1.40.23,1121,P1
A125,040,08,22/09/2018,沙田,草地,A,1600,好/快,4,10,58,徐雨石,沈拿,4-1/2,16,132,10 11 11 8,1.34.70,1110,--
A125,026,05,09/09/2018,沙田,草地,C,1400,好/快,4,4,58,徐雨石,楊明綸,3-3/4,4.3,131,5 4 4 5,1.22.95,1114,--
A125,802,03,15/07/2018,沙田,草地,A,1400,黏,4,4,57,李易達,田泰安,1/2,3.7,132,11 9 5 3,1.24.25,1102,--
A125,786,02,08/07/2018,沙田,草地,C,1400,好/快,4,3,55,李易達,黃俊,頸位,4.2,118,9 7 6 2,1.22.48,1096,--
A125,746,01,24/06/2018,沙田,草地,A,1400,好/快,4,9,49,李易達,潘頓,3/4,2.6,124,11 9 7 1,1.21.67,1107,--
A125,699,02,03/06/2018,沙田,草地,B,1600,好/快,4,10,48,李易達,潘頓,3/4,6.8,123,10 11 7 2,1.35.31,1097,--
A125,644,04,12/05/2018,沙田,草地,C,1600,好,4,6,48,李易達,黃俊,2,4,111,2 2 2 4,1.35.01,1108,--
A125,601,02,25/04/2018,跑馬地,草地,C,1650,好,4,11,47,李易達,史卓豐,1-1/4,17,120,7 2 3 2,1.41.95,1122,--
A125,543,04,02/04/2018,沙田,草地,B+2,1600,好,4,4,47,李易達,史卓豐,1-1/4,6,124,4 4 3 4,1.35.35,1121,--
A125,470,03,03/03/2018,沙田,草地,C,1600,好,4,1,47,李易達,楊明綸,2-1/4,7.5,118,10 10 8 3,1.35.75,1128,--
A125,442,05,21/02/2018,跑馬地,草地,C,1650,好,4,6,47,李易達,楊明綸,3-3/4,5.2,120,2 3 3 5,1.41.70,1134,--
A125,344,04,13/01/2018,沙田,草地,C+3,1600,好,4,3,47,李易達,楊明綸,3-1/4,4.7,118,7 8 9 4,1.35.87,1128,--
A125,278,01,17/12/2017,沙田,草地,C+3,1600,好,4,7,40,李易達,田泰安,3/4,5.3,113,10 10 6 1,1.35.11,1128,--
A125,220,03,26/11/2017,沙田,草地,C,1400,好,4,4,40,李易達,楊明綸,1-1/4,14,112,9 8 9 3,1.22.45,1137,--
A125,166,04,05/11/2017,沙田,草地,C+3,1200,好/快,4,2,42,李易達,楊明綸,3,15,116,7 7 4,1.09.99,1128,--
A125,148,04,29/10/2017,跑馬地,草地,A,1200,好/快,4,9,43,李易達,楊明綸,1-1/2,21,115,11 11 4,1.10.80,1119,TT-
A125,123,08,18/10/2017,跑馬地,草地,C,1200,好/快,4,7,45,李易達,楊明綸,5-1/2,14,117,8 8 8,1.11.68,1122,TT2
A125,084,03,05/10/2017,跑馬地,草地,A,1200,好,4,7,45,李易達,楊明綸,1-1/2,39,116,8 6 3,1.10.77,1132,--
A125,057,06,24/09/2017,沙田,草地,A,1200,好,4,5,46,李易達,楊明綸,4-1/4,45,118,3 2 6,1.10.34,1142,--
A125,715,07,11/06/2017,沙田,草地,C,1000,好/快,4,1,50,李易達,楊明綸,3-3/4,179,121,10 9 7,0.57.49,1140,--
A125,680,07,28/05/2017,沙田,草地,A,1000,好/快,4,3,52,李易達,麥偉利,4-3/4,90,126,6 7 7,0.58.34,1145,TT-
A125,627,09,07/05/2017,沙田,草地,A+3,1200,好/快,4,5,52,李易達,楊明綸,5-1/4,129,123,8 7 9,1.11.03,1147,TT1
