horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
A351,722,WV-A,08/06/2019,沙田,草地,C,1200,好/快,4,--,59,徐雨石,潘頓,--,--,133,--,--,--,--
A351,682,04,22/05/2019,跑馬地,草地,B,1200,好/快,3,10,60,徐雨石,蘇狄雄,2-1/4,93,111,3 3 4,1.10.08,1089,B
A351,631,08,05/05/2019,沙田,草地,B,1200,好,3,9,62,徐雨石,黃皓楠,7,29,117,3 4 8,1.10.85,1093,B
A351,597,07,22/04/2019,沙田,草地,C+3,1000,好/快,3,2,64,徐雨石,黃皓楠,6-3/4,175,114,5 5 7,0.55.95,1097,B
A351,550,08,03/04/2019,沙田全天候,,,1200,好,3,7,66,徐雨石,吳嘉晉,8,16,116,1 2 8,1.10.65,1098,B
A351,498,09,17/03/2019,沙田,草地,A,1200,好,3,1,66,徐雨石,吳嘉晉,4-3/4,27,116,1 1 9,1.10.16,1103,B
A351,465,04,02/03/2019,沙田全天候,,,1200,好,3,7,66,徐雨石,吳嘉晉,1-1/2,23,119,1 1 4,1.09.06,1098,B
A351,371,10,27/01/2019,沙田全天候,,,1200,好,3,10,66,徐雨石,李寶利,10,14,119,1 2 10,1.10.50,1103,B
A351,318,01,06/01/2019,沙田全天候,,,1200,好,4,12,59,徐雨石,蘇兆輝,1-1/2,8.7,132,1 1 1,1.08.88,1107,B
A351,268,01,19/12/2018,沙田全天候,,,1200,好,4,8,52,徐雨石,蘇兆輝,2-1/4,17,125,2 1 1,1.09.13,1107,B
A351,230,08,05/12/2018,跑馬地,草地,B,1000,好,4,4,54,徐雨石,李慕華,4-1/4,7.5,128,12 12 8,0.58.22,1119,B
A351,140,10,31/10/2018,沙田全天候,,,1200,好,4,9,57,徐雨石,何澤堯,7-3/4,7.9,128,11 12 10,1.10.99,1095,B
A351,131,10,28/10/2018,跑馬地,草地,A,1200,好,4,2,57,徐雨石,黃皓楠,6-1/4,19,127,4 4 10,1.11.97,1113,B
A351,074,05,07/10/2018,沙田全天候,,,1650,好,4,6,58,徐雨石,巫顯東,4-1/4,27,126,1 1 1 5,1.40.09,1124,B
A351,050,06,26/09/2018,跑馬地,草地,C+3,1200,好,4,4,59,徐雨石,黃俊,4-3/4,8.9,122,2 1 6,1.10.43,1130,B
A351,024,05,09/09/2018,沙田全天候,,,1200,好,4,4,58,徐雨石,何澤堯,4-3/4,3.8,128,2 2 5,1.10.83,1118,B
