horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
B263,749,08,13/06/2021,沙田全天候,,,1200,濕慢,5,4,40,賀賢,潘頓,6-1/2,3.2,133,3 3 8,1.12.41,1097,B
B263,720,10,02/06/2021,跑馬地,草地,A,1000,好,4,12,42,賀賢,巫顯東,4-3/4,61,112,12 12 10,0.57.74,1089,B
B263,665,03,12/05/2021,沙田全天候,,,1200,好,4,10,43,賀賢,巫顯東,2-3/4,11,114,12 10 3,1.09.41,1064,B
B263,647,06,05/05/2021,跑馬地,草地,A,1200,好/快,4,6,45,賀賢,潘明輝,3-1/2,73,118,9 9 6,1.10.19,1079,B
B263,600,09,17/04/2021,沙田全天候,,,1200,好,4,9,47,賀賢,莫雷拉,4,16,122,7 9 9,1.09.70,1079,B
B263,551,06,31/03/2021,沙田全天候,,,1200,好,4,6,49,賀賢,巫顯東,3-1/4,24,120,9 9 6,1.09.72,1080,B
B263,480,06,07/03/2021,沙田全天候,,,1200,濕慢,4,5,50,賀賢,巫顯東,6-1/2,24,122,12 10 6,1.09.58,1093,B
B263,407,13,06/02/2021,沙田全天候,,,1650,好,4,9,50,賀賢,巫顯東,10-1/4,37,121,11 13 13 13,1.40.49,1053,B
B263,385,07,31/01/2021,沙田全天候,,,1200,好,4,8,50,賀賢,巫顯東,5-1/2,7.7,120,10 10 7,1.09.49,1077,B
B263,280,01,20/12/2020,沙田全天候,,,1200,好,4,11,44,賀賢,巫顯東,1/2,25,117,10 9 1,1.09.79,1075,B
B263,241,03,06/12/2020,沙田全天候,,,1200,好,4,11,44,賀賢,巫顯東,1-3/4,40,114,9 9 3,1.09.37,1067,B
B263,187,14,14/11/2020,沙田,草地,C+3,1400,好,4,9,44,賀賢,黃皓楠,10-1/2,119,114,2 3 5 14,1.23.52,1056,B
B263,158,01,04/11/2020,沙田全天候,,,1200,好,5,2,39,賀賢,周俊樂,3/4,3.7,123,6 6 1,1.10.46,1060,B
B263,088,07,07/10/2020,跑馬地,草地,A,1200,好,4,4,41,賀賢,潘明輝,2-1/2,23,112,8 8 7,1.11.15,1053,B
B263,060,06,27/09/2020,沙田全天候,,,1200,好,4,1,43,賀賢,潘明輝,6,20,116,7 7 6,1.10.97,1058,B
B263,824,08,15/07/2020,跑馬地,草地,B,1200,好/快,4,9,44,賀賢,潘明輝,7,33,116,3 1 8,1.11.08,1077,B
B263,764,08,24/06/2020,跑馬地,草地,C,1000,好/快,4,9,44,賀賢,黃皓楠,3-1/4,48,114,12 12 8,0.57.48,1075,B
B263,692,04,27/05/2020,沙田全天候,,,1200,好,4,1,44,賀賢,潘明輝,3-1/2,5.5,116,3 1 4,1.09.31,1061,B
B263,622,01,03/05/2020,沙田全天候,,,1200,好,5,3,37,賀賢,潘頓,1-3/4,5.1,132,5 3 1,1.09.69,1068,B
B263,564,02,12/04/2020,沙田,草地,C,1000,好,5,13,36,賀賢,潘明輝,1-1/4,5.2,127,10 6 2,0.57.90,1071,B
B263,464,WV-A,04/03/2020,跑馬地,草地,B,1000,好,5,--,36,賀賢,潘頓,--,--,128,--,--,--,--
B263,391,02,05/02/2020,跑馬地,草地,C,1200,好,5,10,36,賀賢,潘頓,1-3/4,5.2,129,1 1 2,1.10.50,1073,B
B263,333,04,15/01/2020,跑馬地,草地,C+3,1000,好,5,9,36,賀賢,潘明輝,3/4,14,127,10 11 4,0.57.80,1053,B
B263,305,06,05/01/2020,沙田全天候,,,1200,好,5,9,38,賀賢,潘明輝,6,19,129,3 2 6,1.10.93,1052,B
B263,199,09,27/11/2019,跑馬地,草地,A,1000,好,5,10,40,賀賢,何澤堯,7-1/4,5.8,133,9 11 9,0.58.22,1068,B1
B263,134,06,30/10/2019,跑馬地,草地,A,1000,好,4,8,42,賀賢,利敬國,4-1/4,5.2,116,12 12 6,0.57.57,1052,--
B263,098,04,16/10/2019,跑馬地,草地,C,1000,好,4,10,42,賀賢,何澤堯,1-1/2,18,116,11 10 4,0.57.41,1047,CP-
B263,798,09,10/07/2019,跑馬地,草地,A,1000,好,4,11,46,賀賢,何澤堯,7-1/4,19,119,9 9 9,0.58.24,1020,CP
B263,761,07,26/06/2019,跑馬地,草地,B,1000,好/快,4,5,46,賀賢,何澤堯,3-1/2,6.3,119,7 6 7,0.56.97,1030,CP
B263,716,02,05/06/2019,跑馬地,草地,A,1000,好,4,11,46,賀賢,何澤堯,2-1/2,42,119,7 6 2,0.57.82,1030,CP
B263,667,05,18/05/2019,沙田,草地,C+3,1000,好,4,9,48,賀賢,潘明輝,4-1/4,44,116,5 6 5,0.55.95,1031,CP
B263,621,09,01/05/2019,跑馬地,草地,C+3,1000,好,4,8,51,賀賢,何澤堯,3-1/2,20,125,8 8 9,0.57.86,1028,CP
B263,561,08,07/04/2019,沙田,草地,B+2,1200,好/快,4,7,53,賀賢,楊明綸,2-3/4,146,124,3 4 8,1.10.07,1011,H-/CP1
B263,538,08,31/03/2019,沙田,草地,A+3,1200,好,4,12,56,賀賢,何澤堯,4,53,130,11 9 8,1.11.10,1029,H
B263,490,10,13/03/2019,跑馬地,草地,B,1200,好,4,6,59,賀賢,潘明輝,5-1/4,80,129,7 7 10,1.10.65,1018,H
B263,440,11,20/02/2019,跑馬地,草地,C,1000,好/快,3,12,62,賀賢,蔡明紹,6-3/4,144,117,12 12 11,0.57.80,1023,H
B263,412,10,10/02/2019,沙田,草地,A,1000,好,3,2,65,賀賢,何澤堯,4-3/4,192,116,12 13 10,0.58.13,1030,H
B263,325,10,09/01/2019,跑馬地,草地,A,1000,好,3,10,68,賀賢,何澤堯,6-1/2,105,121,10 10 10,0.58.38,1033,H
B263,295,09,29/12/2018,沙田,草地,B+2,1000,好,3,4,70,賀賢,何澤堯,4-1/2,191,123,14 14 9,0.58.15,1034,H
B263,252,12,12/12/2018,跑馬地,草地,C,1000,好,3,10,73,賀賢,楊明綸,11-1/4,235,124,11 12 12,0.59.19,1041,H
B263,150,13,04/11/2018,沙田,草地,C+3,1000,好,3,6,75,丁冠豪,楊明綸,14-3/4,31,122,5 8 13,0.59.00,1043,H
B263,106,11,18/10/2018,跑馬地,草地,C,1000,好,3,4,77,丁冠豪,楊明綸,10-1/2,34,129,2 4 11,0.58.95,1035,H
