horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
C307,652,09,10/05/2023,沙田全天候,,,1650,好,3,4,61,容天鵬,潘明輝,5-3/4,8.9,118,11 13 12 9,1.38.07,1282,B/TT
C307,597,03,23/04/2023,沙田全天候,,,1650,好,3,7,62,容天鵬,田泰安,4,11,119,6 5 6 3,1.39.64,1287,B/TT
C307,536,03,29/03/2023,沙田全天候,,,1650,濕慢,3,5,62,容天鵬,田泰安,2-3/4,8.6,118,6 6 5 3,1.38.95,1276,B/TT
C307,446,03,26/02/2023,沙田全天候,,,1650,好,3,1,62,容天鵬,波健士,2-1/4,8.1,115,7 8 6 3,1.38.07,1296,B/TT
C307,373,04,29/01/2023,沙田全天候,,,1650,好,3,1,63,容天鵬,波健士,4,8.7,115,9 9 7 4,1.37.97,1292,B/TT
C307,279,04,24/12/2022,沙田全天候,,,1650,好,3,9,63,容天鵬,波健士,3-1/4,19,115,11 11 9 4,1.38.22,1298,B/TT
C307,220,06,04/12/2022,沙田全天候,,,1650,好,3,9,63,容天鵬,蘇兆輝,4-1/2,5.6,118,12 12 14 6,1.37.72,1297,B/TT
C307,166,02,12/11/2022,沙田全天候,,,1650,好,3,10,61,容天鵬,麥利奧,5,5.8,116,10 9 7 2,1.37.59,1292,B/TT
C307,127,01,26/10/2022,沙田全天候,,,1650,好,4,4,53,容天鵬,潘頓,2-1/4,2.2,129,10 10 8 1,1.38.95,1281,B/TT
C307,074,01,09/10/2022,沙田全天候,,,1650,好,4,1,44,容天鵬,潘頓,4-1/2,2.4,124,7 6 4 1,1.39.61,1282,B/TT
C307,037,02,25/09/2022,沙田全天候,,,1650,好,4,4,42,容天鵬,蘇兆輝,3/4,6.6,118,5 1 1 2,1.39.52,1256,B/TT
C307,361,05,23/01/2022,沙田,草地,A,1800,好,4,10,43,容天鵬,楊明綸,1-1/2,28,118,12 11 11 11 5,1.48.76,1286,B/TT
C307,292,03,29/12/2021,沙田全天候,,,1800,好,4,8,43,容天鵬,田泰安,2-1/2,5.5,117,8 6 6 5 3,1.48.92,1299,B/TT
C307,224,04,05/12/2021,沙田全天候,,,1800,好,4,10,43,容天鵬,巴度,3-3/4,4,118,9 9 8 7 4,1.49.37,1287,B/TT
C307,169,02,13/11/2021,沙田全天候,,,1650,好,4,4,41,容天鵬,楊明綸,鼻位,25,114,7 7 6 2,1.39.19,1260,B1/TT
C307,127,12,27/10/2021,沙田全天候,,,1800,好,4,12,43,容天鵬,梁家俊,13-1/2,24,116,7 8 8 10 12,1.51.81,1246,TT
C307,733,05,06/06/2021,沙田全天候,,,1650,好,4,2,45,容天鵬,周俊樂,2-3/4,10,114,10 10 9 5,1.38.52,1285,TT
C307,656,09,08/05/2021,沙田,草地,C,1800,好/快,4,12,46,容天鵬,史卓豐,7-1/4,14,119,9 11 12 9 9,1.48.80,1263,TT
C307,550,06,31/03/2021,沙田全天候,,,1650,好,4,3,46,容天鵬,巴度,4-1/4,7.3,122,7 6 4 6,1.39.97,1265,TT
C307,500,02,13/03/2021,沙田全天候,,,1800,好,4,6,44,容天鵬,巴度,1/2,14,117,9 9 5 5 2,1.48.41,1274,TT
C307,444,05,21/02/2021,沙田,草地,A+3,1800,好,4,5,44,容天鵬,巴度,2,13,117,9 9 9 10 5,1.48.11,1274,TT
C307,365,08,24/01/2021,沙田,草地,A+3,1800,好,4,13,44,容天鵬,巴度,6-3/4,12,118,12 13 13 14 8,1.48.37,1281,TT
C307,309,01,01/01/2021,沙田,草地,B+2,1800,好,5,8,38,容天鵬,潘頓,1-1/4,6.8,132,11 9 10 7 1,1.48.82,1265,H-/TT
C307,277,03,20/12/2020,沙田,草地,C+3,1600,好,5,7,38,容天鵬,莫雷拉,2,2.8,131,12 14 12 3,1.36.41,1270,H1/TT
C307,140,08,28/10/2020,跑馬地,草地,C+3,1800,好,5,3,38,容天鵬,史卓豐,9,7,133,8 8 8 7 8,1.50.89,1263,TT
C307,096,02,11/10/2020,沙田,草地,A+3,1600,好,5,9,37,容天鵬,史卓豐,1-1/2,5.8,131,10 10 11 2,1.35.34,1247,TT
C307,078,04,04/10/2020,沙田,草地,C+3,1400,好,5,9,38,容天鵬,賀銘年,3,23,131,12 12 12 4,1.22.48,1243,TT
C307,780,03,01/07/2020,沙田,草地,C,1400,好,5,2,40,容天鵬,潘頓,2,5.3,133,9 7 6 3,1.22.39,1260,TT
C307,585,10,19/04/2020,沙田全天候,,,1650,好,4,3,43,容天鵬,梁家俊,6-1/4,22,117,7 9 8 10,1.39.68,1253,CP-/TT
C307,530,06,29/03/2020,沙田,草地,A+3,1400,好,4,10,45,容天鵬,梁家俊,4-1/2,40,120,14 13 11 6,1.23.27,1244,CP2/TT
C307,474,07,08/03/2020,沙田,草地,C,1400,好,4,2,47,容天鵬,郭能,2-1/4,20,122,8 7 7 7,1.22.82,1244,CP-/XB-/TT
C307,420,12,16/02/2020,沙田,草地,A,1400,好,4,1,49,容天鵬,楊明綸,11,29,120,9 7 9 12,1.24.04,1243,XB/CP1/TT
C307,366,09,27/01/2020,沙田,草地,B+2,1400,好,4,5,51,容天鵬,楊明綸,3-1/4,31,124,7 8 10 9,1.23.18,1206,XB1/TT
C307,329,06,11/01/2020,沙田,草地,A,1400,好,4,2,52,容天鵬,楊明綸,1-3/4,339,126,6 5 5 6,1.23.15,1208,TT
C307,286,12,29/12/2019,沙田,草地,B+2,1200,好,4,9,52,容天鵬,楊明綸,5-1/2,122,128,12 11 12,1.11.45,1236,TT1
