horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
C440,473,WV,05/03/2023,沙田,草地,B+2,1600,好,3,--,61,呂健威,黃皓楠,--,--,115,--,--,--,--
C440,328,08,11/01/2023,跑馬地,草地,B,1650,好,3,2,62,呂健威,何澤堯,8,16,119,9 9 11 8,1.40.83,1162,V/TT
C440,213,08,30/11/2022,跑馬地,草地,C+3,1800,好/快,3,7,62,呂健威,何澤堯,3-3/4,10,118,8 8 9 10 8,1.49.37,1179,V/TT
C440,137,03,30/10/2022,跑馬地,草地,C,1650,好,3,4,62,呂健威,何澤堯,2-3/4,9.4,121,9 9 10 3,1.40.62,1175,V/TT
C440,049,01,28/09/2022,跑馬地,草地,C,1650,好,4,3,57,呂健威,何澤堯,3/4,11,132,8 8 9 1,1.40.62,1161,V/TT
C440,669,09,15/05/2022,沙田,草地,C+3,1400,好/黏,4,3,58,呂健威,田泰安,6-1/4,11,131,11 10 6 9,1.24.08,1152,V/TT
C440,431,05,16/02/2022,跑馬地,草地,C,1650,好,4,1,59,呂健威,何澤堯,3-1/4,7.8,132,5 5 6 5,1.41.17,1154,V/TT
C440,348,04,19/01/2022,跑馬地,草地,C,1650,好,4,4,59,呂健威,何澤堯,2-1/2,8.7,132,7 7 7 4,1.41.98,1154,V/TT
C440,235,05,08/12/2021,跑馬地,草地,B,1650,好,4,10,59,呂健威,何澤堯,4-1/4,14,133,10 10 9 5,1.40.46,1166,V/TT
C440,136,01,31/10/2021,跑馬地,草地,C+3,1650,好,4,6,53,呂健威,何澤堯,1-1/4,17,126,9 9 6 1,1.39.94,1148,V/TT
C440,030,08,15/09/2021,跑馬地,草地,C,1650,好,4,4,54,呂健威,何澤堯,6-1/2,4.7,129,5 7 6 8,1.40.31,1146,V/TT
C440,802,05,04/07/2021,沙田,草地,C+3,1600,好/快,4,5,55,呂健威,何澤堯,2,9.5,128,11 9 7 5,1.34.45,1141,V/TT
C440,685,05,19/05/2021,跑馬地,草地,B,1650,好/快,4,11,55,呂健威,何澤堯,3-3/4,7.5,130,12 10 10 5,1.40.22,1122,B-/V1/TT
C440,608,02,21/04/2021,跑馬地,草地,C,1650,好/快,4,10,54,呂健威,何澤堯,1,14,129,10 10 7 2,1.39.95,1114,B/TT
C440,532,05,24/03/2021,跑馬地,草地,C+3,1650,好/快,4,4,54,呂健威,何澤堯,1-1/4,10,128,8 9 9 5,1.39.82,1114,B/TT
C440,390,07,31/01/2021,沙田,草地,B+2,1400,好,4,4,55,呂健威,何澤堯,2,13,129,12 11 9 7,1.22.54,1129,B/TT
C440,225,12,29/11/2020,沙田,草地,C,1600,好,4,7,55,呂健威,彭國年,10,7.9,128,7 7 9 12,1.35.51,1118,B/TT
C440,189,03,14/11/2020,沙田,草地,C+3,1600,好,4,2,54,呂健威,何澤堯,1/2,5.8,127,10 10 9 3,1.34.98,1110,CP-/B1/TT
C440,114,03,18/10/2020,沙田,草地,B+2,1600,好/快,4,6,54,呂健威,何澤堯,3,4.7,127,9 11 11 3,1.34.64,1139,CP/TT
C440,072,04,01/10/2020,沙田,草地,B,1400,好,4,6,54,呂健威,何澤堯,2-1/2,7.2,128,10 9 7 4,1.22.29,1134,CP/TT
C440,024,01,13/09/2020,沙田,草地,A+3,1400,好,4,8,49,呂健威,何澤堯,3/4,17,123,12 9 7 1,1.21.56,1112,CP/TT
C440,781,08,01/07/2020,沙田,草地,C,1400,好/快,4,7,52,呂健威,何澤堯,5-1/2,12,125,13 13 12 8,1.22.35,1119,CP/TT
C440,680,07,24/05/2020,沙田,草地,A,1400,好,4,8,52,呂健威,何澤堯,4-3/4,202,125,12 12 13 7,1.22.63,1114,CP1/TT1
