horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
D125,822,12,13/07/2022,跑馬地,草地,B,1200,好/快,4,4,40,羅富全,田泰安,9-1/2,7.4,115,4 4 12,1.11.23,1059,V
D125,762,02,22/06/2022,跑馬地,草地,B,1200,好,5,7,40,羅富全,潘頓,1-1/4,3.9,133,2 2 2,1.10.40,1062,V
D125,697,02,25/05/2022,跑馬地,草地,C,1200,好,5,5,38,羅富全,薛恩,頭位,8.3,131,2 1 2,1.10.41,1056,B-/V1
D125,635,12,04/05/2022,沙田全天候,,,1200,好,4,9,41,羅富全,莫雷拉,15-1/2,12,116,1 2 12,1.11.47,1062,B
D125,578,12,13/04/2022,跑馬地,草地,B,1200,好,4,4,44,羅富全,班德禮,10-1/2,8.1,117,1 1 12,1.11.70,1054,B
D125,541,07,30/03/2022,沙田全天候,,,1200,快,4,10,46,羅富全,班德禮,4-3/4,16,119,6 4 7,1.08.93,1074,B
D125,455,07,27/02/2022,沙田全天候,,,1200,好,4,11,48,羅富全,班德禮,4-1/4,51,121,8 8 7,1.09.34,1041,B
D125,400,06,06/02/2022,跑馬地,草地,A,1200,好,4,5,50,羅富全,班德禮,3,9.9,123,1 1 6,1.11.18,1052,B
D125,331,09,12/01/2022,跑馬地,草地,B,1200,好,4,2,53,羅富全,班德禮,4-1/2,12,128,2 2 9,1.11.13,1057,B
D125,272,09,22/12/2021,跑馬地,草地,C+3,1000,好,4,8,55,羅富全,班德禮,4-3/4,14,129,4 5 9,0.57.43,1056,B1
D125,182,12,17/11/2021,跑馬地,草地,C,1200,好,4,8,57,羅富全,梁家俊,13-3/4,28,130,1 3 12,1.12.27,1049,--
D125,106,08,20/10/2021,跑馬地,草地,C,1200,好/快,4,10,58,羅富全,潘明輝,4-3/4,15,129,2 2 8,1.10.38,1043,--
D125,830,WV,14/07/2021,跑馬地,草地,B,1200,好/快,4,--,58,羅富全,史卓豐,--,--,131,--,--,--,--
D125,740,02,09/06/2021,跑馬地,草地,B,1200,好/快,4,8,58,羅富全,周俊樂,1-1/4,3.8,127,1 2 2,1.10.26,1037,--
D125,684,04,19/05/2021,跑馬地,草地,B,1200,好/快,4,3,58,羅富全,何澤堯,1-1/4,8.7,131,1 1 4,1.09.83,1032,--
D125,629,06,28/04/2021,跑馬地,草地,C+3,1200,好,4,1,60,羅富全,潘明輝,2,4.1,131,3 3 6,1.10.47,1034,--
D125,534,07,24/03/2021,跑馬地,草地,C+3,1200,好/快,3,11,62,羅富全,潘明輝,2-1/2,41,114,3 2 7,1.09.72,1027,--
D125,439,06,17/02/2021,跑馬地,草地,C,1200,好,3,5,64,羅富全,梁家俊,2,9.6,117,3 5 6,1.10.31,1035,--
D125,362,11,20/01/2021,跑馬地,草地,C,1200,好,3,11,65,羅富全,莫雷拉,17-3/4,14,118,2 5 11,1.12.50,1024,--
D125,311,08,01/01/2021,沙田,草地,B+2,1200,好,3,5,65,羅富全,潘頓,4-1/2,8.1,120,1 1 8,1.09.89,1039,--
D125,238,WV,02/12/2020,跑馬地,草地,A,1200,好,3,--,65,羅富全,田泰安,--,--,118,--,--,--,--
D125,174,05,08/11/2020,跑馬地,草地,A,1200,好,3,7,65,羅富全,潘頓,1-3/4,4.9,119,1 2 5,1.10.24,1030,--
D125,088,01,07/10/2020,跑馬地,草地,A,1200,好,4,10,59,羅富全,潘頓,1/2,5.3,132,1 1 1,1.10.76,1011,--
D125,733,WV,10/06/2020,跑馬地,草地,B,1200,好/快,4,--,59,羅富全,莫雷拉,--,--,133,--,--,--,--
D125,674,04,20/05/2020,跑馬地,草地,C+3,1200,好/快,4,7,59,羅富全,潘頓,2-1/4,2.1,133,7 8 4,1.10.30,1022,--
D125,505,02,18/03/2020,跑馬地,草地,C+3,1200,好,4,6,58,羅富全,潘頓,1-1/4,4,133,9 10 2,1.10.25,1022,--
D125,446,01,26/02/2020,跑馬地,草地,A,1200,好,4,2,52,羅富全,潘頓,1/2,2,125,4 3 1,1.09.57,1013,--
D125,257,05,18/12/2019,跑馬地,草地,C+3,1000,好/快,4,8,52,羅富全,潘頓,2-3/4,3.3,125,3 2 5,0.57.55,1020,--
