horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
D395,774,12,23/06/2021,跑馬地,草地,C,1200,好,3,9,70,羅富全,潘明輝,10-1/4,10,122,10 12 12,1.10.85,1203,B
D395,717,04,30/05/2021,沙田,草地,B,1200,好/快,3,4,69,羅富全,潘頓,1,8.5,122,4 4 4,1.08.46,1210,B
D395,642,08,02/05/2021,沙田,草地,B,1400,好,3,1,71,羅富全,潘頓,6-1/2,5.3,126,1 1 1 8,1.22.87,1212,B
D395,564,07,05/04/2021,沙田,草地,B+2,1400,好,3,12,73,羅富全,潘頓,6,6.7,127,1 2 2 7,1.22.77,1204,B
D395,507,06,13/03/2021,沙田,草地,C+3,1400,好,3,12,74,羅富全,梁家俊,1-1/2,46,127,1 1 2 6,1.22.15,1218,B
D395,446,05,21/02/2021,沙田全天候,,,1200,好,3,11,74,羅富全,莫雷拉,3-1/2,9.9,127,3 3 5,1.08.58,1214,B
D395,387,06,31/01/2021,沙田全天候,,,1200,好,3,10,74,羅富全,莫雷拉,2-3/4,3.2,127,4 3 6,1.08.94,1212,B
D395,282,01,20/12/2020,沙田全天候,,,1200,好,3,10,69,羅富全,莫雷拉,3/4,5.3,126,1 2 1,1.09.09,1227,B
D395,224,04,29/11/2020,沙田全天候,,,1200,好,3,9,70,羅富全,郭能,5-1/2,8.8,123,6 4 4,1.09.72,1217,B
D395,191,04,14/11/2020,沙田,草地,C+3,1000,好,3,8,71,羅富全,郭能,1-3/4,32,126,5 4 4,0.57.01,1216,B
D395,099,06,11/10/2020,沙田,草地,A+3,1200,好,3,1,71,羅富全,蔡明紹,3,5.2,124,7 7 6,1.09.08,1203,B1
