horse_no,date,work_type,racecourse,track,workout_details,gear
D241,01/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,30/04/2026,游水,沙田,,,
D241,30/04/2026,快操,沙田,全天候,29.1 26.2 (55.3) (助手),
D241,30/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,29/04/2026,游水,沙田,,,
D241,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,28/04/2026,游水,沙田,,,
D241,28/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,27/04/2026,游水,沙田,,,
D241,27/04/2026,快操,沙田,全天候,31.0 26.4 (57.4) (助手),
D241,27/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,26/04/2026,游水,沙田,,,
D241,25/04/2026,游水,沙田,,,
D241,25/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,24/04/2026,游水,沙田,,,
D241,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,23/04/2026,游水,沙田,,,
D241,23/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),
D241,22/04/2026,游水,沙田,,,
D241,21/04/2026,游水,沙田,,,
D241,19/04/2026,出賽,沙田,全天候,1800M (金誠剛) (10/14),B/TT
D241,18/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,17/04/2026,游水,沙田,,,
D241,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,16/04/2026,游水,沙田,,,
D241,16/04/2026,快操,沙田,全天候,31.1 27.0 (58.1) (助手),
D241,15/04/2026,游水,沙田,,,
D241,15/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,14/04/2026,游水,沙田,,,
D241,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,13/04/2026,游水,沙田,,,
D241,13/04/2026,快操,沙田,全天候,28.3 23.7 (52.0) (助手) 駿美一生,
D241,13/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,12/04/2026,游水,沙田,,,
D241,11/04/2026,游水,沙田,,,
D241,11/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,10/04/2026,游水,沙田,,,
D241,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,09/04/2026,游水,沙田,,,
D241,09/04/2026,快操,沙田,全天候,27.9 24.2 (52.1) (助手) 今明更好,
D241,09/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,08/04/2026,游水,沙田,,,
D241,08/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,07/04/2026,游水,沙田,,,
D241,07/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,06/04/2026,游水,沙田,,,
D241,06/04/2026,快操,沙田,全天候,30.8 25.9 (56.7) (助手),
D241,06/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,05/04/2026,游水,沙田,,,
D241,05/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,04/04/2026,游水,沙田,,,
D241,04/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,03/04/2026,游水,沙田,,,
D241,03/04/2026,快操,沙田,全天候,30.5 27.0 (57.5) (助手),
D241,03/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,02/04/2026,游水,沙田,,,
D241,02/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,01/04/2026,游水,沙田,,,
D241,01/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,31/03/2026,游水,沙田,,,
D241,31/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,30/03/2026,游水,沙田,,,
D241,30/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,28/03/2026,游水,沙田,,,
D241,27/03/2026,游水,沙田,,,
D241,25/03/2026,出賽,跑馬地,草地,2200M (蔡明紹) (10/12),B/TT
D241,24/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,23/03/2026,游水,沙田,,,
D241,23/03/2026,快操,沙田,全天候,31.2 26.4 (57.6) (蔡明紹),
D241,23/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,22/03/2026,游水,沙田,,,
D241,21/03/2026,游水,沙田,,,
D241,21/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,20/03/2026,游水,沙田,,,
D241,20/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,19/03/2026,游水,沙田,,,
D241,19/03/2026,快操,沙田,全天候,30.5 26.5 (57.0) (助手),
D241,18/03/2026,游水,沙田,,,
D241,18/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,17/03/2026,游水,沙田,,,
D241,17/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,16/03/2026,游水,沙田,,,
D241,16/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,15/03/2026,游水,沙田,,,
D241,14/03/2026,試閘,跑馬地,草地,第1組 (袁幸堯) 1700M 智多多寶 37.2 26.4 26.4 22.3 (1.52.35),B
D241,13/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,12/03/2026,快操,沙田,全天候,31.4 26.8 (58.2) (助手),
D241,12/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,11/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,10/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,09/03/2026,快操,沙田,全天候,30.7 26.6 (57.3) (助手),
D241,09/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,07/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,06/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,05/03/2026,游水,沙田,,,
D241,05/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),
D241,04/03/2026,游水,沙田,,,
