horse_no,date,work_type,racecourse,track,workout_details,gear
E496,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,30/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,30/04/2026,游水,沙田,,,
E496,29/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,29/04/2026,游水,沙田,,,
E496,28/04/2026,游水,沙田,,,
E496,28/04/2026,快操,沙田,全天候,28.9 28.0 (56.9) (黃寶妮),
E496,28/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
E496,27/04/2026,游水,沙田,,,
E496,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
E496,26/04/2026,游水,沙田,,,
E496,26/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,25/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,25/04/2026,游水,沙田,,,
E496,24/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,24/04/2026,游水,沙田,,,
E496,23/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
E496,23/04/2026,游水,沙田,,,
E496,22/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
E496,22/04/2026,游水,沙田,,,
E496,21/04/2026,游水,沙田,,,
E496,20/04/2026,游水,沙田,,,
E496,19/04/2026,出賽,沙田,全天候,1800M (奧爾民) (12/14),CP
E496,19/04/2026,踱步,沙田,彭福公園,彭福公園 踱步 (助手),
E496,18/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,18/04/2026,游水,沙田,,,
E496,17/04/2026,游水,沙田,,,
E496,17/04/2026,踱步,沙田,外圈,外圈 快踱一圈 (助手),
E496,16/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,16/04/2026,游水,沙田,,,
E496,15/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,15/04/2026,游水,沙田,,,
E496,14/04/2026,游水,沙田,,,
E496,14/04/2026,快操,沙田,全天候,31.0 24.4 (55.4) (奧爾民) 爽飆王子,
E496,14/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
E496,13/04/2026,游水,沙田,,,
E496,13/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
E496,12/04/2026,游水,沙田,,,
E496,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,11/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,11/04/2026,游水,沙田,,,
E496,10/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,10/04/2026,游水,沙田,,,
E496,09/04/2026,游水,沙田,,,
E496,09/04/2026,快操,沙田,全天候,30.1 25.0 (55.1) (黃寶妮),
E496,09/04/2026,踱步,沙田,飛機場,飛機場 踱步 (黃寶妮),
E496,08/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,08/04/2026,游水,沙田,,,
E496,07/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,07/04/2026,游水,沙田,,,
E496,06/04/2026,游水,沙田,,,
E496,06/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (黃寶妮),
E496,05/04/2026,游水,沙田,,,
E496,05/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,04/04/2026,游水,沙田,,,
E496,04/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (黃寶妮),
E496,03/04/2026,游水,沙田,,,
