horse_no,date,work_type,racecourse,track,workout_details,gear
H095,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,30/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
H095,29/04/2026,快操,沙田,全天候,29.7 26.1 (55.8) (助手) 銀騎士,
H095,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,27/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
H095,25/04/2026,快操,沙田,全天候,29.6 26.2 (55.8) (布浩榮),B
H095,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,23/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
H095,22/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,21/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
H095,20/04/2026,快操,沙田,全天候,28.4 25.6 (54.0) (助手),
H095,19/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,18/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
H095,17/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
H095,16/04/2026,快操,沙田,草地,29.5 23.5 (53.0) (助手),
H095,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,13/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P/SR
H095,11/04/2026,快操,沙田,全天候,28.0 (28.0) (助手),
H095,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,09/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P/SR
H095,08/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,07/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
H095,06/04/2026,快操,沙田,全天候,27.2 (27.2) (助手),H
H095,05/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,04/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,03/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
H095,02/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P/SR
H095,01/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
H095,29/03/2026,出賽,沙田,草地,1400M (布文) (7/14),B
H095,29/03/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H/P/SR
H095,28/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,27/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
