horse_no,date,work_type,racecourse,track,workout_details,gear
J346,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,30/04/2026,游水,沙田,,,
J346,30/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
J346,29/04/2026,游水,沙田,,,
J346,29/04/2026,快操,沙田,全天候,28.3 (28.3) (助手),H
J346,29/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,28/04/2026,游水,沙田,,,
J346,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,27/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,27/04/2026,游水,沙田,,,
J346,26/04/2026,游水,沙田,,,
J346,26/04/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H
J346,25/04/2026,游水,沙田,,,
J346,24/04/2026,游水,沙田,,,
J346,22/04/2026,出賽,跑馬地,草地,1200M (巴度) (1/12),B/TT
J346,22/04/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H
J346,21/04/2026,游水,沙田,,,
J346,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,20/04/2026,游水,沙田,,,
J346,20/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
J346,19/04/2026,游水,沙田,,,
J346,19/04/2026,快操,沙田,全天候,28.1 (28.1) (助手),H
J346,19/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,18/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,18/04/2026,游水,沙田,,,
J346,17/04/2026,游水,沙田,,,
J346,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,16/04/2026,游水,沙田,,,
J346,16/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
J346,15/04/2026,游水,沙田,,,
J346,15/04/2026,快操,沙田,全天候,33.2 24.6 (57.8) (助手) 伴跳馬,H
J346,15/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,14/04/2026,游水,沙田,,,
J346,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,13/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,13/04/2026,游水,沙田,,,
J346,12/04/2026,游水,沙田,,,
J346,12/04/2026,快操,沙田,全天候,28.3 (28.3) (助手),H
J346,12/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,11/04/2026,游水,沙田,,,
J346,11/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,10/04/2026,游水,沙田,,,
J346,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,09/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,09/04/2026,游水,沙田,,,
J346,08/04/2026,游水,沙田,,,
J346,08/04/2026,快操,沙田,全天候,26.5 (26.5) (助手),H
J346,08/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,07/04/2026,游水,沙田,,,
J346,07/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,06/04/2026,游水,沙田,,,
J346,06/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
J346,05/04/2026,游水,沙田,,,
J346,05/04/2026,快操,沙田,全天候,28.7 (28.7) (助手),H
J346,05/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,04/04/2026,游水,沙田,,,
J346,04/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,03/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,03/04/2026,游水,沙田,,,
J346,02/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
J346,02/04/2026,游水,沙田,,,
J346,01/04/2026,游水,沙田,,,
J346,31/03/2026,游水,沙田,,,
J346,29/03/2026,出賽,沙田,草地,1200M (巴度) (4/13),B/TT
J346,29/03/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H
