horse_no,date,work_type,racecourse,track,workout_details,gear
L296,01/05/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,30/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L296,26/04/2026,出賽,沙田,草地,1200M (蔡明紹) (12/14),TT
L296,25/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L296,23/04/2026,游水,沙田,,,
L296,23/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,22/04/2026,快操,沙田,全天候,29.9 26.7 (56.6) (助手),H
L296,22/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,21/04/2026,踱步,沙田,外圈,外圈 快踱一圈 (助手),H
L296,20/04/2026,游水,沙田,,,
L296,20/04/2026,踱步,沙田,外圈,外圈 快踱一圈 (助手),H
L296,18/04/2026,快操,沙田,全天候,29.7 26.4 (56.1) (助手),H
L296,18/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,17/04/2026,游水,沙田,,,
L296,17/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,16/04/2026,踱步,沙田,彭福公園,彭福公園 踱步 (助手),H
L296,15/04/2026,快操,沙田,全天候,29.8 26.1 (55.9) (助手),H
L296,15/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,14/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,13/04/2026,游水,沙田,,,
L296,13/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,12/04/2026,游水,沙田,,,
L296,11/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,10/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,09/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,06/04/2026,出賽,沙田,草地,1000M (田泰安) (6/14),TT1
L296,05/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L296,04/04/2026,快操,沙田,全天候,30.3 26.0 (56.3) (助手),H
L296,04/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,03/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,02/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,01/04/2026,快操,沙田,全天候,30.3 26.7 (57.0) (田泰安),H
L296,01/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,31/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,30/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,28/03/2026,快操,沙田,全天候,30.2 26.1 (56.3) (助手),H
L296,28/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,27/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,26/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,24/03/2026,試閘,沙田,草地,第3組 (田泰安) 1000M 天寶威威 14.2 21.9 22.2 (0.58.33),
L296,23/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,21/03/2026,快操,沙田,全天候,30.0 24.2 (54.2) (助手) 銳喜,H
L296,21/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,20/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,19/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,18/03/2026,快操,沙田,全天候,29.9 22.8 (52.7) (助手) 銳喜,H
L296,18/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,17/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,16/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,14/03/2026,快操,沙田,全天候,30.2 26.9 (57.1) (助手),H
L296,14/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,13/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,12/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,10/03/2026,試閘,沙田,全天候,第4組 (金誠剛) 1200M 巴閉精 24.3 22.4 23.2 (1.09.97),B
L296,09/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,07/03/2026,快操,沙田,全天候,30.7 26.6 (57.3) (助手),H
L296,07/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,06/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,05/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
