jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
AA,艾兆禮,Current,19/04/2026,沙田,624,2,14,草地,C+3,1800,2,好/快,嘉應傳承,2,82,伍鵬志,CP/TT,1142,117
AA,艾兆禮,Current,19/04/2026,沙田,623,8,12,草地,C+3,1200,3,好/快,官金騏,7,62,文家良,,1136,119
AA,艾兆禮,Current,19/04/2026,沙田,622,8,12,草地,C+3,1400,3,好/快,星願無限,11,65,沈集成,TT,1026,121
AA,艾兆禮,Current,19/04/2026,沙田,621,3,9,,,1200,3,好,天福,1,61,姚本輝,CP-/B1,1166,115
AA,艾兆禮,Current,19/04/2026,沙田,620,5,12,,,1200,4,好,起舞奜奜,8,51,文家良,V,1089,126
AA,艾兆禮,Current,19/04/2026,沙田,619,1,14,,,1650,4,好,花開,3,48,文家良,B,1060,123
AA,艾兆禮,Current,19/04/2026,沙田,618,8,14,草地,C+3,1600,4,好/快,萬事勝利,3,47,告東尼,TT,1124,122
AA,艾兆禮,Current,19/04/2026,沙田,617,4,14,草地,C+3,1400,4,好/快,遨遊波士,10,51,羅富全,B,1132,126
AA,艾兆禮,Current,19/04/2026,沙田,616,11,14,草地,C+3,1000,4,好/快,飛來霸,7,50,賀賢,CP/TT,1058,125
AA,艾兆禮,Current,19/04/2026,沙田,615,2,12,,,1200,5,好,爆熱,1,30,告東尼,B/TT,1093,126
AA,艾兆禮,Current,19/04/2026,沙田,614,8,14,,,1800,5,好,十力,2,38,伍鵬志,TT,1127,133
AA,艾兆禮,Current,15/04/2026,跑馬地,613,8,12,草地,A,1200,3,好,福星小子,12,69,蔡約翰,,998,126
AA,艾兆禮,Current,15/04/2026,跑馬地,612,3,11,草地,A,1650,3,好,穿甲金鷹,1,65,廖康銘,B,1068,124
AA,艾兆禮,Current,15/04/2026,跑馬地,611,7,12,草地,A,1200,4,好,八仟好運,2,58,蔡約翰,,1097,133
AA,艾兆禮,Current,15/04/2026,跑馬地,610,3,10,草地,A,1200,4,好,馬達,6,60,巫偉傑,B/TT,1166,135
AA,艾兆禮,Current,15/04/2026,跑馬地,609,10,11,草地,A,1650,3,好,加州活力,8,64,告東尼,B/TT,1145,120
AA,艾兆禮,Current,15/04/2026,跑馬地,608,3,12,草地,A,1800,4,好,夢照發,6,40,黎昭昇,,1164,115
AA,艾兆禮,Current,15/04/2026,跑馬地,607,7,12,草地,A,1650,4,好,紅磚戰士,1,46,游達榮,XB,1126,121
AA,艾兆禮,Current,15/04/2026,跑馬地,606,5,12,草地,A,1650,5,好,華美之威,9,25,告東尼,,1062,122
AA,艾兆禮,Current,12/04/2026,沙田,604,1,12,草地,C,1200,2,好,翠紅,3,92,廖康銘,B,1083,127
AA,艾兆禮,Current,12/04/2026,沙田,603,4,11,草地,C,1200,3,好,超寫意,1,72,姚本輝,TT,1153,128
AA,艾兆禮,Current,12/04/2026,沙田,602,8,12,草地,C,1400,3,好,太子,10,62,伍鵬志,B/TT,1054,120
AA,艾兆禮,Current,12/04/2026,沙田,601,8,12,草地,C,1600,3,好,安都,1,74,蔡約翰,E/TT,1162,132
AA,艾兆禮,Current,12/04/2026,沙田,600,5,14,草地,C,1400,4,好,源好運,14,50,廖康銘,,1158,125
AA,艾兆禮,Current,12/04/2026,沙田,598,2,12,草地,C,1200,4,好,辣得準,11,60,蔡約翰,,1092,135
AA,艾兆禮,Current,12/04/2026,沙田,597,7,14,草地,C,1400,4,好,全神貫注,3,42,姚本輝,B,1129,117
AA,艾兆禮,Current,12/04/2026,沙田,595,12,14,草地,C,1400,5,好,心愛的,7,39,蔡約翰,E,1133,134
AA,艾兆禮,Current,08/04/2026,跑馬地,593,6,12,草地,C+3,1200,3,好,盈妍威楓,11,62,伍鵬志,B/TT,1084,120
AA,艾兆禮,Current,08/04/2026,跑馬地,592,4,12,草地,C+3,1200,3,好,泰泰精神,8,63,蔡約翰,,1057,122
AA,艾兆禮,Current,08/04/2026,跑馬地,591,5,12,草地,C+3,1650,3,好,優才,10,70,葉楚航,P-/TT,1073,125
AA,艾兆禮,Current,08/04/2026,跑馬地,589,10,12,草地,C+3,1200,4,好,星光快驅,7,48,黎昭昇,B-/TT-,1090,123
AA,艾兆禮,Current,08/04/2026,跑馬地,587,5,12,草地,C+3,1000,4,好,萬眾開心,4,43,黎昭昇,P/TT,1181,118
AA,艾兆禮,Current,08/04/2026,跑馬地,586,4,12,草地,C+3,1650,4,好,康昌之星,9,54,廖康銘,B/TT,1120,131
AA,艾兆禮,Current,06/04/2026,沙田,584,3,11,草地,B+2,2000,3,好,安帝,1,68,蔡約翰,TT,1042,123
AA,艾兆禮,Current,06/04/2026,沙田,582,14,14,草地,B+2,1600,G2,好,紅運帝王,2,116,蔡約翰,,1173,128
AA,艾兆禮,Current,06/04/2026,沙田,581,2,10,草地,B+2,1400,3,好,一世美麗,7,71,蔡約翰,H,1227,129
AA,艾兆禮,Current,06/04/2026,沙田,580,7,7,草地,B+2,1200,G2,好,星際快車,6,105,蔡約翰,B,1150,123
AA,艾兆禮,Current,06/04/2026,沙田,579,12,12,草地,B+2,1000,3,好,精巧時計,2,64,賀賢,,1092,121
AA,艾兆禮,Current,06/04/2026,沙田,578,10,14,草地,B+2,1200,4,好,龍之尊,7,51,游達榮,XB,1095,127
AA,艾兆禮,Current,06/04/2026,沙田,577,11,14,草地,B+2,1400,4,好,我最好,3,48,伍鵬志,B1/TT,1122,123
AA,艾兆禮,Current,06/04/2026,沙田,576,8,13,草地,B+2,1600,4,好,堅闖,3,44,伍鵬志,B/SR,1065,123
AA,艾兆禮,Current,06/04/2026,沙田,575,11,14,草地,B+2,1200,5,好,魅力知福,4,38,蔡約翰,B/TT,1144,133
AA,艾兆禮,Current,06/04/2026,沙田,574,1,14,草地,B+2,1000,4,好,飛來霸,7,43,賀賢,CP1/TT,1062,118
AA,艾兆禮,Current,01/04/2026,沙田,573,3,14,,,1650,3,好,安泰,3,66,蔡約翰,XB/P2,1060,116
AA,艾兆禮,Current,01/04/2026,沙田,572,10,10,,,1200,3,好,德心知遇,11,65,蔡約翰,E/PC/TT,1182,116
AA,艾兆禮,Current,01/04/2026,沙田,571,7,12,,,1200,4,好,金玉良言,5,56,賀賢,B,1180,131
AA,艾兆禮,Current,01/04/2026,沙田,570,2,12,,,1200,4,好,起舞奜奜,12,49,文家良,V,1081,124
AA,艾兆禮,Current,01/04/2026,沙田,569,5,14,,,1800,4,好,十力,1,40,伍鵬志,TT,1122,116
AA,艾兆禮,Current,01/04/2026,沙田,567,10,14,,,1650,4,好,翠湖烈風,10,46,賀賢,,1088,122
AA,艾兆禮,Current,01/04/2026,沙田,566,13,14,,,1650,5,好,齊歡最樂,14,37,伍鵬志,B/TT,1211,132
AA,艾兆禮,Current,01/04/2026,沙田,565,1,12,,,1200,5,好,爆熱,7,22,告東尼,B/TT,1094,118
AA,艾兆禮,Current,29/03/2026,沙田,564,2,14,草地,A+3,1600,3,好/快,安都,5,72,蔡約翰,E/TT,1150,129
AA,艾兆禮,Current,29/03/2026,沙田,563,5,13,草地,A+3,1200,3,好/快,紅運光輝,4,66,蔡約翰,TT-,1027,123
