jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
AVB,艾道拿,Current,19/04/2026,沙田,623,6,12,草地,C+3,1200,3,好/快,綠野飛馳,12,77,蔡約翰,B1/TT,1127,134
AVB,艾道拿,Current,19/04/2026,沙田,622,10,12,草地,C+3,1400,3,好/快,魅力奔騰,12,77,游達榮,,1104,133
AVB,艾道拿,Current,19/04/2026,沙田,620,7,12,,,1200,4,好,快搏,3,57,賀賢,B,1135,132
AVB,艾道拿,Current,19/04/2026,沙田,618,2,14,草地,C+3,1600,4,好/快,睿智多寶,6,55,黎昭昇,V/TT,1224,130
AVB,艾道拿,Current,19/04/2026,沙田,617,3,14,草地,C+3,1400,4,好/快,共創歡欣,1,52,大衛希斯,TT,1301,127
AVB,艾道拿,Current,19/04/2026,沙田,616,2,14,草地,C+3,1000,4,好/快,支付之父,14,52,葉楚航,TT1,1111,127
AVB,艾道拿,Current,19/04/2026,沙田,614,14,14,,,1800,5,好,古惑大師,12,32,大衛希斯,CP/TT,1123,127
AVB,艾道拿,Current,15/04/2026,跑馬地,611,2,12,草地,A,1200,4,好,當家精彩,8,60,韋達,CP,1066,135
AVB,艾道拿,Current,15/04/2026,跑馬地,608,1,12,草地,A,1800,4,好,香港神駒,3,53,沈集成,TT,1038,128
AVB,艾道拿,Current,15/04/2026,跑馬地,607,6,12,草地,A,1650,4,好,先到先得,2,49,蔡約翰,B,1156,124
AVB,艾道拿,Current,12/04/2026,沙田,603,1,11,草地,C,1200,3,好,煌上,7,64,大衛希斯,,1173,121
AVB,艾道拿,Current,12/04/2026,沙田,601,2,12,草地,C,1600,3,好,英駿飛駒,3,77,游達榮,B/XB/TT,1199,135
AVB,艾道拿,Current,12/04/2026,沙田,599,6,12,草地,C,1200,4,好,笑必勝,4,52,黎昭昇,TT1,1068,127
AVB,艾道拿,Current,12/04/2026,沙田,598,7,12,草地,C,1200,4,好,杭至尊,9,51,葉楚航,TT,1229,126
AVB,艾道拿,Current,12/04/2026,沙田,597,3,14,草地,C,1400,4,好,創寶駒,9,54,黎昭昇,B/TT,1168,129
AVB,艾道拿,Current,12/04/2026,沙田,596,1,14,草地,C,1600,5,好,金鑽精靈,3,37,韋達,,1172,133
AVB,艾道拿,Current,12/04/2026,沙田,595,6,14,草地,C,1400,5,好,雪茄福星,11,38,大衛希斯,B,1078,133
AVB,艾道拿,Current,08/04/2026,跑馬地,593,7,12,草地,C+3,1200,3,好,撼天鐵翼,7,66,韋達,B,1186,124
AVB,艾道拿,Current,08/04/2026,跑馬地,589,9,12,草地,C+3,1200,4,好,開心孖寶,10,60,呂健威,B/TT,1106,135
AVB,艾道拿,Current,08/04/2026,跑馬地,585,9,12,草地,C+3,1200,5,好,神燦金剛,4,36,葉楚航,CP-/TT,1145,128
AVB,艾道拿,Current,06/04/2026,沙田,583,8,10,草地,B+2,1400,2,好,平凡騎士,6,86,方嘉柏,,1071,124
AVB,艾道拿,Current,06/04/2026,沙田,582,11,14,草地,B+2,1600,G2,好,美麗同享,7,105,告東尼,TT,1048,123
AVB,艾道拿,Current,06/04/2026,沙田,580,3,7,草地,B+2,1200,G2,好,精算暴雪,7,113,蔡約翰,P,1109,123
AVB,艾道拿,Current,06/04/2026,沙田,577,10,14,草地,B+2,1400,4,好,共創歡欣,4,52,大衛希斯,TT,1295,127
AVB,艾道拿,Current,06/04/2026,沙田,576,7,13,草地,B+2,1600,4,好,威力非凡,2,42,賀賢,CP/XB,1036,121
AVB,艾道拿,Current,06/04/2026,沙田,574,8,14,草地,B+2,1000,4,好,海鑽石,14,50,游達榮,SR-/B1/TT,1140,125
AVB,艾道拿,Current,01/04/2026,沙田,570,9,12,,,1200,4,好,快搏,11,59,賀賢,B,1147,134
AVB,艾道拿,Current,01/04/2026,沙田,567,13,14,,,1650,4,好,顏色的顏,5,55,韋達,CP-/SR-/B2,1143,131
AVB,艾道拿,Current,01/04/2026,沙田,566,10,14,,,1650,5,好,古惑大師,7,34,大衛希斯,CP1/TT,1121,129
AVB,艾道拿,Current,29/03/2026,沙田,560,8,14,草地,A+3,1200,4,好/快,超智多寶,14,44,黎昭昇,B/TT,1196,122
AVB,艾道拿,Current,29/03/2026,沙田,558,4,14,草地,A+3,1000,4,好/快,精彩勇將,14,52,方嘉柏,TT,1097,127
AVB,艾道拿,Current,29/03/2026,沙田,557,6,9,草地,A+3,1600,2,好/快,永遠美麗,9,92,蔡約翰,,1206,132
AVB,艾道拿,Current,29/03/2026,沙田,555,6,14,草地,A+3,1400,4,好/快,嘉嘉友福,1,44,沈集成,CP/XB/TT,1068,121
AVB,艾道拿,Current,29/03/2026,沙田,554,11,14,草地,A+3,1400,5,好/快,問鼎巔峰,8,38,游達榮,CP-/B1,1001,133
AVB,艾道拿,Current,25/03/2026,跑馬地,547,3,12,草地,B,1200,4,好,開心孖寶,2,60,呂健威,B/TT,1110,135
AVB,艾道拿,Current,25/03/2026,跑馬地,546,2,12,草地,B,1650,4,好,先到先得,5,48,蔡約翰,B,1156,123
AVB,艾道拿,Current,22/03/2026,沙田,544,5,14,草地,A,1400,2,好/快,風雲武士,7,104,大衛希斯,,1162,135
AVB,艾道拿,Current,22/03/2026,沙田,543,7,12,草地,A,1400,3,好/快,魅力奔騰,5,77,游達榮,,1103,135
