jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
BA,巴度,Current,12/04/2026,沙田,604,4,12,草地,C,1200,2,好,閃耀天河,5,81,呂健威,XB,1080,116
BA,巴度,Current,12/04/2026,沙田,603,6,11,草地,C,1200,3,好,怡昌光輝,2,64,黎昭昇,CP/TT,1212,120
BA,巴度,Current,12/04/2026,沙田,601,4,12,草地,C,1600,3,好,金滙千帥,2,62,賀賢,B,1063,120
BA,巴度,Current,12/04/2026,沙田,600,1,14,草地,C,1400,4,好,豐功偉績,9,42,蔡約翰,H,1181,117
BA,巴度,Current,12/04/2026,沙田,599,11,12,草地,C,1200,4,好,豪邁先登,7,52,葉楚航,TT1,1013,127
BA,巴度,Current,12/04/2026,沙田,596,6,14,草地,C,1600,5,好,同寶寶,1,15,伍鵬志,CP/TT,1098,117
BA,巴度,Current,12/04/2026,沙田,595,11,14,草地,C,1400,5,好,迅意,4,37,韋達,B/TT,1193,132
BA,巴度,Current,08/04/2026,跑馬地,593,3,12,草地,C+3,1200,3,好,喵喵怪,6,61,巫偉傑,CP/SR/TT,1087,119
BA,巴度,Current,08/04/2026,跑馬地,592,11,12,草地,C+3,1200,3,好,椒椒醒,1,66,黎昭昇,B-/XB-,1198,125
BA,巴度,Current,08/04/2026,跑馬地,591,7,12,草地,C+3,1650,3,好,雙星報喜,7,63,呂健威,CP,1236,118
BA,巴度,Current,08/04/2026,跑馬地,590,6,12,草地,C+3,1200,4,好,智勝攻略,5,54,廖康銘,B,1094,129
BA,巴度,Current,08/04/2026,跑馬地,589,4,12,草地,C+3,1200,4,好,博愛先鋒,8,50,巫偉傑,CP/TT,1055,125
BA,巴度,Current,08/04/2026,跑馬地,587,4,12,草地,C+3,1000,4,好,凝聚美麗,11,56,巫偉傑,CP/TT,1065,131
BA,巴度,Current,08/04/2026,跑馬地,586,3,12,草地,C+3,1650,4,好,耀昌勝世,2,46,葉楚航,,1163,123
BA,巴度,Current,08/04/2026,跑馬地,585,11,12,草地,C+3,1200,5,好,傳承效應,7,39,巫偉傑,B-/CP2/TT,1173,131
BA,巴度,Current,06/04/2026,沙田,584,6,11,草地,B+2,2000,3,好,豐辰,5,66,徐雨石,H,1133,121
BA,巴度,Current,06/04/2026,沙田,583,2,10,草地,B+2,1400,2,好,時時歡聲,8,90,告東尼,TT,1195,128
BA,巴度,Current,06/04/2026,沙田,582,7,14,草地,B+2,1600,G2,好,百賀飛駒,5,108,呂健威,,1107,123
BA,巴度,Current,06/04/2026,沙田,580,5,7,草地,B+2,1200,G2,好,美麗第一,1,110,告東尼,TT,1188,123
BA,巴度,Current,06/04/2026,沙田,579,3,12,草地,B+2,1000,3,好,幸運糖,12,61,巫偉傑,TT,1191,118
BA,巴度,Current,06/04/2026,沙田,578,2,14,草地,B+2,1200,4,好,同喜,2,43,韋達,CP,1089,119
BA,巴度,Current,06/04/2026,沙田,577,13,14,草地,B+2,1400,4,好,不勞而獲,11,46,葉楚航,B-/XB/TT,1083,121
