jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
BHW,班德禮,Current,19/04/2026,沙田,624,7,14,草地,C+3,1800,2,好/快,紫荊傳令,14,82,游達榮,XB/TT,1069,117
BHW,班德禮,Current,19/04/2026,沙田,623,5,12,草地,C+3,1200,3,好/快,新力好,5,63,蘇偉賢,TT,1174,120
BHW,班德禮,Current,19/04/2026,沙田,619,7,14,,,1650,4,好,艾莉奧,8,51,大衛希斯,B/TT,1215,126
BHW,班德禮,Current,19/04/2026,沙田,617,1,14,草地,C+3,1400,4,好/快,洪才,7,42,蘇偉賢,CP/TT,1058,117
BHW,班德禮,Current,19/04/2026,沙田,616,12,14,草地,C+3,1000,4,好/快,喜行,13,41,大衛希斯,B/TT,1111,116
BHW,班德禮,Current,19/04/2026,沙田,614,7,14,,,1800,5,好,捷足奔馳,14,32,姚本輝,V/TT,1088,127
BHW,班德禮,Current,15/04/2026,跑馬地,613,9,12,草地,A,1200,3,好,團結勇士,7,64,鄭俊偉,H/TT,1152,121
BHW,班德禮,Current,15/04/2026,跑馬地,612,1,11,草地,A,1650,3,好,榮利雙收,7,59,大衛希斯,B,1120,118
BHW,班德禮,Current,15/04/2026,跑馬地,611,1,12,草地,A,1200,4,好,環球英雄,12,48,大衛希斯,,1116,123
BHW,班德禮,Current,15/04/2026,跑馬地,610,4,10,草地,A,1200,4,好,龍威心得,12,58,大衛希斯,BO,1114,133
BHW,班德禮,Current,15/04/2026,跑馬地,609,8,11,草地,A,1650,3,好,智多多寶,2,56,大衛希斯,,1089,117
BHW,班德禮,Current,15/04/2026,跑馬地,607,10,12,草地,A,1650,4,好,至高心得,7,43,韋達,E/SR/XB,1017,118
BHW,班德禮,Current,15/04/2026,跑馬地,605,8,12,草地,A,1000,5,好,東方魅影,11,25,大衛希斯,B/TT,1061,122
BHW,班德禮,Current,12/04/2026,沙田,602,9,12,草地,C,1400,3,好,閃光燈,11,63,丁冠豪,TT,1056,121
BHW,班德禮,Current,12/04/2026,沙田,599,1,12,草地,C,1200,4,好,精英高球,5,60,蘇偉賢,H1,1080,135
BHW,班德禮,Current,12/04/2026,沙田,597,14,14,草地,C,1400,4,好,最感,14,46,大衛希斯,B,1070,121
BHW,班德禮,Current,12/04/2026,沙田,596,3,14,草地,C,1600,5,好,極速之子,4,21,姚本輝,H,1084,117
BHW,班德禮,Current,12/04/2026,沙田,595,9,14,草地,C,1400,5,好,八里旺,5,38,鄭俊偉,CP/TT,1261,133
BHW,班德禮,Current,12/04/2026,沙田,594,2,6,草地,C,1000,GRIFFIN,好,雙劍合璧,6,,大衛希斯,,1020,121
