jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
CCY,鍾易禮,Current,19/04/2026,沙田,624,9,14,草地,C+3,1800,2,好/快,桃花開,12,96,告東尼,CP/TT,1082,129
CCY,鍾易禮,Current,19/04/2026,沙田,623,12,12,草地,C+3,1200,3,好/快,抱百嶺,9,60,葉楚航,,1010,115
CCY,鍾易禮,Current,19/04/2026,沙田,622,11,12,草地,C+3,1400,3,好/快,黃金大亨,8,71,告東尼,V/TT,1085,125
CCY,鍾易禮,Current,19/04/2026,沙田,621,9,9,,,1200,3,好,美麗邂逅,8,61,告東尼,TT,1166,113
CCY,鍾易禮,Current,19/04/2026,沙田,620,12,12,,,1200,4,好,活得健康,5,45,黎昭昇,CP-/B1/TT,1231,118
CCY,鍾易禮,Current,19/04/2026,沙田,617,7,14,草地,C+3,1400,4,好/快,競駿傳奇,8,41,蔡約翰,B,1133,114
CCY,鍾易禮,Current,19/04/2026,沙田,615,7,12,,,1200,5,好,南區旺,11,27,羅富全,PC,1071,121
CCY,鍾易禮,Current,19/04/2026,沙田,614,13,14,,,1800,5,好,一鹿歡騰,9,33,告東尼,V/TT,1103,126
CCY,鍾易禮,Current,15/04/2026,跑馬地,613,1,12,草地,A,1200,3,好,嘉應勇將,5,65,告東尼,H-/CP2/TT,1146,120
CCY,鍾易禮,Current,15/04/2026,跑馬地,608,12,12,草地,A,1800,4,好,龍船快,12,41,桂福特,V/XB,1081,114
CCY,鍾易禮,Current,15/04/2026,跑馬地,605,2,12,草地,A,1000,5,好,銀亮濠俠,1,33,徐雨石,V,1074,128
CCY,鍾易禮,Current,12/04/2026,沙田,602,11,12,草地,C,1400,3,好,亞機拉,3,67,告東尼,TT,1060,123
CCY,鍾易禮,Current,12/04/2026,沙田,600,10,14,草地,C,1400,4,好,久久為軍,8,54,告東尼,TT,1094,127
CCY,鍾易禮,Current,12/04/2026,沙田,598,3,12,草地,C,1200,4,好,華麗再贏,8,48,沈集成,TT,1041,121
CCY,鍾易禮,Current,12/04/2026,沙田,597,12,14,草地,C,1400,4,好,駿馬之光,4,55,告東尼,CP/TT,1028,128
CCY,鍾易禮,Current,12/04/2026,沙田,596,12,14,草地,C,1600,5,好,鐵甲驌龍,7,39,告東尼,H/TT,1125,133
CCY,鍾易禮,Current,12/04/2026,沙田,595,7,14,草地,C,1400,5,好,鼓浪飛凡,14,18,文家良,B/TT,1093,113
CCY,鍾易禮,Current,08/04/2026,跑馬地,592,9,12,草地,C+3,1200,3,好,驍將,10,61,告東尼,TT,1032,118
CCY,鍾易禮,Current,08/04/2026,跑馬地,591,12,12,草地,C+3,1650,3,好,妙算強人,3,63,桂福特,V-,1144,116
CCY,鍾易禮,Current,08/04/2026,跑馬地,588,7,12,草地,C+3,1650,4,好,寫我其誰,10,48,葉楚航,TT,1012,122
CCY,鍾易禮,Current,08/04/2026,跑馬地,587,1,12,草地,C+3,1000,4,好,財將,7,52,告東尼,TT1,1155,125
CCY,鍾易禮,Current,08/04/2026,跑馬地,586,1,12,草地,C+3,1650,4,好,上浦福旺,6,48,沈集成,CP/TT,1045,123
CCY,鍾易禮,Current,08/04/2026,跑馬地,585,2,12,草地,C+3,1200,5,好,千杯,3,36,告東尼,TT,1077,126
CCY,鍾易禮,Current,06/04/2026,沙田,582,9,14,草地,B+2,1600,G2,好,桃花開,14,96,告東尼,CP/TT,1084,123
CCY,鍾易禮,Current,06/04/2026,沙田,581,6,10,草地,B+2,1400,3,好,黃金大亨,2,73,告東尼,V/TT,1075,129
CCY,鍾易禮,Current,06/04/2026,沙田,578,13,14,草地,B+2,1200,4,好,廚神,9,58,徐雨石,CP-/TT,1175,132
CCY,鍾易禮,Current,06/04/2026,沙田,576,12,13,草地,B+2,1600,4,好,趣盈,5,44,葉楚航,H/TT,1008,121
CCY,鍾易禮,Current,01/04/2026,沙田,573,14,14,,,1650,3,好,電訊巴打,7,72,徐雨石,,1138,120
CCY,鍾易禮,Current,01/04/2026,沙田,572,9,10,,,1200,3,好,八駿巨昇,8,82,告東尼,TT,1167,130
CCY,鍾易禮,Current,01/04/2026,沙田,569,14,14,,,1800,4,好,澳嘉輝,4,59,桂福特,CP1,1307,133
CCY,鍾易禮,Current,01/04/2026,沙田,567,6,14,,,1650,4,好,午夜快車,12,44,徐雨石,P,1229,118
CCY,鍾易禮,Current,01/04/2026,沙田,565,2,12,,,1200,5,好,銀亮濠俠,8,33,徐雨石,V,1082,127
CCY,鍾易禮,Current,29/03/2026,沙田,564,10,14,草地,A+3,1600,3,好/快,巴閉仔,6,64,徐雨石,,1045,119
CCY,鍾易禮,Current,29/03/2026,沙田,563,10,13,草地,A+3,1200,3,好/快,美麗邂逅,2,63,告東尼,TT,1162,118
CCY,鍾易禮,Current,29/03/2026,沙田,560,13,14,草地,A+3,1200,4,好/快,君子,6,56,文家良,CP/H/TT,1160,132
CCY,鍾易禮,Current,29/03/2026,沙田,559,14,14,草地,A+3,1400,4,好/快,飛越晨曦,2,45,伍鵬志,H/PC/XB/TT,1116,119
CCY,鍾易禮,Current,29/03/2026,沙田,558,6,14,草地,A+3,1000,4,好/快,燊輝之星,7,50,告東尼,TT,1204,123
CCY,鍾易禮,Current,29/03/2026,沙田,554,14,14,草地,A+3,1400,5,好/快,江南盛,1,21,伍鵬志,TT,1108,114
CCY,鍾易禮,Current,25/03/2026,跑馬地,551,10,12,草地,B,1200,4,好,幽默大師,1,41,桂福特,CP,1090,114
CCY,鍾易禮,Current,25/03/2026,跑馬地,548,5,12,草地,B,1650,4,好,手到再來,6,42,伍鵬志,TT,1167,117
CCY,鍾易禮,Current,25/03/2026,跑馬地,545,8,12,草地,B,2200,5,好,同寶寶,9,15,伍鵬志,H-/PC-/CP2/TT,1097,113
CCY,鍾易禮,Current,22/03/2026,沙田,544,1,14,草地,A,1400,2,好/快,時時歡聲,2,82,告東尼,TT,1204,113
CCY,鍾易禮,Current,22/03/2026,沙田,543,6,12,草地,A,1400,3,好/快,亞機拉,2,67,告東尼,TT,1074,123
CCY,鍾易禮,Current,22/03/2026,沙田,542,9,13,草地,A,1800,3,好/快,豐辰,9,67,徐雨石,H,1134,121
CCY,鍾易禮,Current,22/03/2026,沙田,540,10,10,草地,A,1200,3,好/快,驍將,9,63,告東尼,TT,1024,116
CCY,鍾易禮,Current,22/03/2026,沙田,539,11,14,草地,A,1400,4,好/快,久久為軍,14,56,告東尼,TT,1108,129
CCY,鍾易禮,Current,22/03/2026,沙田,538,13,14,草地,A,1200,4,好/快,廚神,1,60,徐雨石,CP/TT2,1166,133
CCY,鍾易禮,Current,22/03/2026,沙田,537,9,10,草地,A,1200,3,好/快,黃金大亨,6,73,告東尼,SR-/V/TT1,1077,128
CCY,鍾易禮,Current,22/03/2026,沙田,536,12,13,草地,A,1200,4,好/快,駿馬之光,1,58,告東尼,CP/TT,1024,131
CCY,鍾易禮,Current,18/03/2026,跑馬地,533,11,12,草地,A,1200,3,好/快,我做到,12,73,伍鵬志,H/TT,1110,127
CCY,鍾易禮,Current,18/03/2026,跑馬地,532,10,10,草地,A,1200,2,好/快,得道猴王,10,82,告東尼,TT,1207,115
CCY,鍾易禮,Current,18/03/2026,跑馬地,531,12,12,草地,A,1800,4,好/快,一支箭,7,48,徐雨石,B,1025,122
CCY,鍾易禮,Current,18/03/2026,跑馬地,529,7,12,草地,A,1200,4,好/快,有盈勇士,10,47,沈集成,B/TT,1135,120
CCY,鍾易禮,Current,18/03/2026,跑馬地,528,11,12,草地,A,1000,4,好/快,勝萬金,6,59,告東尼,H/TT,1066,133
CCY,鍾易禮,Current,18/03/2026,跑馬地,527,9,12,草地,A,1650,4,好/快,星鑽貴人,3,43,文家良,B/TT,1252,116
CCY,鍾易禮,Current,18/03/2026,跑馬地,526,5,12,草地,A,1650,5,好/快,電訊驕陽,9,38,徐雨石,B,1062,132
CCY,鍾易禮,Previous,16/07/2025,跑馬地,846,11,12,草地,B,1200,2,好/快,自強不息,8,83,文家良,TT,1090,113
CCY,鍾易禮,Previous,16/07/2025,跑馬地,845,7,12,草地,B,1650,3,好/快,開心五月,1,61,告東尼,TT,1123,118
CCY,鍾易禮,Previous,16/07/2025,跑馬地,844,10,12,草地,B,1650,4,好/快,卓越蒨鋒,7,59,黎昭昇,B/TT,1035,132
