jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
CJE,周俊樂,Current,19/04/2026,沙田,623,7,12,草地,C+3,1200,3,好/快,南區之星,10,78,羅富全,H-/TT,1024,133
CJE,周俊樂,Current,19/04/2026,沙田,622,3,12,草地,C+3,1400,3,好/快,超輕鬆,6,68,姚本輝,XB-/CP1,1108,122
CJE,周俊樂,Current,19/04/2026,沙田,619,4,14,,,1650,4,好,奮鬥心,9,60,伍鵬志,TT,1010,133
CJE,周俊樂,Current,19/04/2026,沙田,618,6,14,草地,C+3,1600,4,好/快,頌星,10,46,賀賢,B,1039,121
CJE,周俊樂,Current,19/04/2026,沙田,617,12,14,草地,C+3,1400,4,好/快,超拍檔,12,58,呂健威,CP-/B1,1233,131
CJE,周俊樂,Current,19/04/2026,沙田,616,3,14,草地,C+3,1000,4,好/快,日出東方,12,60,羅富全,E-/H1/TT,1171,133
CJE,周俊樂,Current,19/04/2026,沙田,615,10,12,,,1200,5,好,鼓浪高升,10,34,伍鵬志,B/TT,1090,128
CJE,周俊樂,Current,15/04/2026,跑馬地,612,10,11,草地,A,1650,3,好,我做到,2,71,伍鵬志,H/TT,1096,128
CJE,周俊樂,Current,15/04/2026,跑馬地,611,5,12,草地,A,1200,4,好,決一劍,3,52,廖康銘,V/TT,1099,125
CJE,周俊樂,Current,15/04/2026,跑馬地,609,5,11,草地,A,1650,3,好,極光之子,10,74,伍鵬志,TT,1020,128
CJE,周俊樂,Current,15/04/2026,跑馬地,607,8,12,草地,A,1650,4,好,追風,11,49,羅富全,,1127,122
CJE,周俊樂,Current,15/04/2026,跑馬地,606,3,12,草地,A,1650,5,好,小皇爺,3,35,葉楚航,B-/TT1,1057,130
CJE,周俊樂,Current,12/04/2026,沙田,602,10,12,草地,C,1400,3,好,確好勁,6,64,文家良,H/TT,1096,120
CJE,周俊樂,Current,12/04/2026,沙田,601,7,12,草地,C,1600,3,好,風將,6,76,巫偉傑,H2/TT,1094,132
CJE,周俊樂,Current,12/04/2026,沙田,600,13,14,草地,C,1400,4,好,時尚歡欣,7,53,鄭俊偉,CP/TT,1165,126
CJE,周俊樂,Current,12/04/2026,沙田,598,6,12,草地,C,1200,4,好,維港激流,10,60,伍鵬志,B/TT,1040,133
CJE,周俊樂,Current,12/04/2026,沙田,597,6,14,草地,C,1400,4,好,大輝煌,12,52,羅富全,CP1/TT1,1218,125
CJE,周俊樂,Current,12/04/2026,沙田,596,7,14,草地,C,1600,5,好,金德義,5,25,賀賢,CP-,1078,120
CJE,周俊樂,Current,08/04/2026,跑馬地,593,5,12,草地,C+3,1200,3,好,東來欣賞,9,66,告東尼,TT,1141,122
CJE,周俊樂,Current,08/04/2026,跑馬地,592,12,12,草地,C+3,1200,3,好,安康萬里,6,73,呂健威,B/TT,1154,130
CJE,周俊樂,Current,08/04/2026,跑馬地,591,4,12,草地,C+3,1650,3,好,翠兒威威,6,64,巫偉傑,CP/TT,1141,119
CJE,周俊樂,Current,08/04/2026,跑馬地,590,10,12,草地,C+3,1200,4,好,靖哥哥,8,46,葉楚航,TT,1097,119
CJE,周俊樂,Current,08/04/2026,跑馬地,589,8,12,草地,C+3,1200,4,好,神異金剛,11,50,葉楚航,E/TT,959,123
CJE,周俊樂,Current,08/04/2026,跑馬地,588,12,12,草地,C+3,1650,4,好,揀馬之皇,2,55,巫偉傑,B/TT,1010,129
CJE,周俊樂,Current,08/04/2026,跑馬地,585,3,12,草地,C+3,1200,5,好,輕鬆大少,2,33,文家良,B/TT,1004,123
CJE,周俊樂,Current,06/04/2026,沙田,584,11,11,草地,B+2,2000,3,好,榮駿大道,8,72,葉楚航,B/TT,1138,125
CJE,周俊樂,Current,06/04/2026,沙田,583,10,10,草地,B+2,1400,2,好,玩笑,2,90,伍鵬志,PC1/TT,1120,126
CJE,周俊樂,Current,06/04/2026,沙田,582,3,14,草地,B+2,1600,G2,好,遨遊氣泡,3,132,姚本輝,CP,1235,128
CJE,周俊樂,Current,06/04/2026,沙田,581,7,10,草地,B+2,1400,3,好,同心同夢,8,70,桂福特,CP,1226,126
CJE,周俊樂,Current,06/04/2026,沙田,577,4,14,草地,B+2,1400,4,好,韋少寶,14,46,葉楚航,TT,1042,121
CJE,周俊樂,Current,06/04/2026,沙田,576,10,13,草地,B+2,1600,4,好,萬事勝利,7,49,告東尼,TT,1119,126
CJE,周俊樂,Current,06/04/2026,沙田,575,5,14,草地,B+2,1200,5,好,觀萬物,6,38,巫偉傑,XB/TT,1206,131
CJE,周俊樂,Current,06/04/2026,沙田,574,11,14,草地,B+2,1000,4,好,文明戰士,4,52,葉楚航,,1179,125
CJE,周俊樂,Current,01/04/2026,沙田,572,4,10,,,1200,3,好,熾烈神駒,1,72,沈集成,B/TT,1275,121
CJE,周俊樂,Current,01/04/2026,沙田,570,1,12,,,1200,4,好,贏得自然,4,52,葉楚航,B-/V1,1129,125
CJE,周俊樂,Current,01/04/2026,沙田,569,8,14,,,1800,4,好,本領輝煌,9,56,游達榮,TT,1081,130
CJE,周俊樂,Current,01/04/2026,沙田,568,4,12,,,1200,4,好,瑤瑤日上,4,56,鄭俊偉,,1156,129
CJE,周俊樂,Current,01/04/2026,沙田,567,2,14,,,1650,4,好,奮鬥心,4,59,伍鵬志,TT,1002,133
CJE,周俊樂,Current,01/04/2026,沙田,565,9,12,,,1200,5,好,鼓浪高升,12,36,伍鵬志,B/TT,1096,130
CJE,周俊樂,Current,29/03/2026,沙田,564,6,14,草地,A+3,1600,3,好/快,納百川,2,73,巫偉傑,TT,1085,128
CJE,周俊樂,Current,29/03/2026,沙田,562,5,10,草地,A+3,1200,2,好/快,閃耀天河,4,81,呂健威,XB,1083,118
CJE,周俊樂,Current,29/03/2026,沙田,561,4,11,草地,A+3,1400,3,好/快,一生好彩,3,76,廖康銘,XB,1197,131
CJE,周俊樂,Current,29/03/2026,沙田,560,12,14,草地,A+3,1200,4,好/快,悠然常勝,4,52,巫偉傑,H/P1/TT,1032,128
CJE,周俊樂,Current,29/03/2026,沙田,559,4,14,草地,A+3,1400,4,好/快,嵐臣,6,56,巫偉傑,,1157,130
CJE,周俊樂,Current,29/03/2026,沙田,558,13,14,草地,A+3,1000,4,好/快,不勞而獲,1,48,葉楚航,XB/B1/TT,1077,121
CJE,周俊樂,Current,29/03/2026,沙田,556,1,12,草地,A+3,2000,4,好/快,同益善,7,51,游達榮,B/TT,1053,125
CJE,周俊樂,Current,29/03/2026,沙田,555,5,14,草地,A+3,1400,4,好/快,挺秀弘利,2,46,巫偉傑,H1/CP2/TT,1221,121
CJE,周俊樂,Current,29/03/2026,沙田,554,1,14,草地,A+3,1400,5,好/快,部族高手,5,40,廖康銘,BO-/TT,1232,133
CJE,周俊樂,Current,25/03/2026,跑馬地,553,1,12,草地,B,1200,3,好,好節拍,10,68,沈集成,CP/TT,1181,123
CJE,周俊樂,Current,25/03/2026,跑馬地,552,1,12,草地,B,1650,3,好,凌登,12,67,沈集成,TT,1149,122
CJE,周俊樂,Current,25/03/2026,跑馬地,551,3,12,草地,B,1200,4,好,天下寵兒,12,46,廖康銘,TT,1096,120
CJE,周俊樂,Current,25/03/2026,跑馬地,548,12,12,草地,B,1650,4,好,兄弟再盈,10,51,巫偉傑,H-/B1/TT,1194,126
CJE,周俊樂,Current,25/03/2026,跑馬地,546,5,12,草地,B,1650,4,好,耀昌勝世,6,47,葉楚航,,1167,120
CJE,周俊樂,Current,25/03/2026,跑馬地,545,4,12,草地,B,2200,5,好,架勢奇爸,2,38,告東尼,CP2/TT,1156,131
CJE,周俊樂,Current,22/03/2026,沙田,544,8,14,草地,A,1400,2,好/快,華麗再勝,1,96,沈集成,TT,1193,125
CJE,周俊樂,Current,22/03/2026,沙田,543,8,12,草地,A,1400,3,好/快,和光同塵,1,65,巫偉傑,CP-/B2/TT,1058,122
CJE,周俊樂,Current,22/03/2026,沙田,542,2,13,草地,A,1800,3,好/快,榮駿大道,5,70,葉楚航,B/TT,1131,124
CJE,周俊樂,Current,22/03/2026,沙田,541,14,14,草地,A,2000,4YO,好/快,會當凌,8,88,巫偉傑,TT,1184,126
CJE,周俊樂,Current,22/03/2026,沙田,539,14,14,草地,A,1400,4,好/快,超拍檔,13,58,呂健威,CP,1238,131
CJE,周俊樂,Current,22/03/2026,沙田,537,4,10,草地,A,1200,3,好/快,南區之星,10,78,羅富全,H/TT,1019,133
CJE,周俊樂,Current,22/03/2026,沙田,535,2,14,草地,A,1600,4,好,綫路福將,5,48,廖康銘,TT,1147,122
CJE,周俊樂,Current,18/03/2026,跑馬地,534,6,12,草地,A,1650,3,好/快,翠兒威威,6,64,巫偉傑,CP/TT,1151,120
CJE,周俊樂,Current,18/03/2026,跑馬地,533,6,12,草地,A,1200,3,好/快,東來欣賞,11,66,告東尼,TT,1141,120
CJE,周俊樂,Current,18/03/2026,跑馬地,532,9,10,草地,A,1200,2,好/快,魔術控制,4,93,巫偉傑,B1/TT,1090,126
CJE,周俊樂,Current,18/03/2026,跑馬地,531,10,12,草地,A,1800,4,好/快,蜜蜜送,4,53,韋達,B,1178,127
CJE,周俊樂,Current,18/03/2026,跑馬地,530,12,12,草地,A,1200,4,好/快,觀萬象,1,52,葉楚航,B1/TT1,1195,125
