jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
FEL,霍宏聲,Previous,16/07/2025,跑馬地,847,9,12,草地,B,1200,3,好/快,友愛心得,5,70,大衛希斯,CP,1176,125
FEL,霍宏聲,Previous,16/07/2025,跑馬地,846,9,12,草地,B,1200,2,好/快,電氣騎士,9,94,韋達,B,1232,124
FEL,霍宏聲,Previous,16/07/2025,跑馬地,844,4,12,草地,B,1650,4,好/快,駟跑得,12,52,廖康銘,B/TT,1183,127
FEL,霍宏聲,Previous,16/07/2025,跑馬地,840,4,11,草地,B,1200,4,好/快,良駒好友,5,48,文家良,CP/TT,1180,123
FEL,霍宏聲,Previous,16/07/2025,跑馬地,839,1,12,草地,B,1200,5,好/快,伶俐驫駒,7,28,容天鵬,B/TT,1125,123
FEL,霍宏聲,Previous,13/07/2025,沙田,838,5,14,草地,A,1400,3,好/快,巴閉仔,12,78,呂健威,CP,1037,135
FEL,霍宏聲,Previous,13/07/2025,沙田,837,2,14,草地,A,1200,3,好/快,小鳥天堂,4,67,丁冠豪,TT,1226,124
FEL,霍宏聲,Previous,13/07/2025,沙田,836,12,14,草地,A,1600,3,好/快,飛輪步,1,83,容天鵬,TT,1170,134
FEL,霍宏聲,Previous,13/07/2025,沙田,835,6,11,草地,A,1600,1,好/快,禪勝輝煌,5,114,呂健威,B/XB,1174,133
FEL,霍宏聲,Previous,13/07/2025,沙田,834,6,14,草地,A,1200,4,好/快,金快飛飛,3,50,丁冠豪,TT,1075,128
FEL,霍宏聲,Previous,13/07/2025,沙田,833,2,14,草地,A,1400,4,好/快,做好自己,12,56,呂健威,XB/TT,1023,132
FEL,霍宏聲,Previous,13/07/2025,沙田,832,10,14,草地,A,1600,4,好/快,光明傳承,3,56,葉楚航,B/SR,1093,131
FEL,霍宏聲,Previous,13/07/2025,沙田,831,8,14,草地,A,1400,4,好/快,電光有力,14,52,韋達,XB/B1/TT,1082,127
FEL,霍宏聲,Previous,13/07/2025,沙田,830,4,14,草地,A,1200,4,好/快,風采人生,4,46,容天鵬,B,1116,123
FEL,霍宏聲,Previous,13/07/2025,沙田,829,11,13,草地,A,1400,5,好/快,小神仙,2,36,丁冠豪,B/TT,1142,131
FEL,霍宏聲,Previous,09/07/2025,跑馬地,826,12,12,草地,A,1800,2,好/快,優才,11,86,葉楚航,TT,1043,134
FEL,霍宏聲,Previous,09/07/2025,跑馬地,825,1,12,草地,A,1200,4,好/快,祥勝力駒,10,45,韋達,B-/V1/TT,1104,122
FEL,霍宏聲,Previous,09/07/2025,跑馬地,824,9,11,草地,A,1000,3,好/快,年少多好,9,80,廖康銘,SR/V/TT,1041,135
FEL,霍宏聲,Previous,09/07/2025,跑馬地,823,9,12,草地,A,1650,4,好/快,都靈勇士,6,53,文家良,XB,1117,128
FEL,霍宏聲,Previous,09/07/2025,跑馬地,822,2,12,草地,A,1000,4,好/快,天火同人,3,50,韋達,XB-/B/TT2,1119,126
FEL,霍宏聲,Previous,09/07/2025,跑馬地,821,7,12,草地,A,1200,4,好/快,喵喵怪,6,56,巫偉傑,TT,1094,131
FEL,霍宏聲,Previous,09/07/2025,跑馬地,820,8,12,草地,A,1650,5,好/快,焦點,12,35,游達榮,B2/TT,1041,130
FEL,霍宏聲,Previous,09/07/2025,跑馬地,819,5,12,草地,A,1000,5,好/快,飛躍凱旋,10,27,韋達,B/TT,1213,121
FEL,霍宏聲,Previous,05/07/2025,沙田,818,5,14,草地,C+3,1400,3,好/快,穿甲戰鷹,2,70,廖康銘,CP,1129,128
FEL,霍宏聲,Previous,05/07/2025,沙田,817,6,11,草地,C+3,1200,2,好/快,好友心得,6,88,大衛希斯,TT,1189,127
FEL,霍宏聲,Previous,05/07/2025,沙田,816,7,12,草地,C+3,1200,3,好/快,晶晶日上,1,80,容天鵬,B,1221,135
FEL,霍宏聲,Previous,05/07/2025,沙田,812,5,11,草地,C+3,1200,4,好/快,手錶之星,10,53,廖康銘,,1144,128
FEL,霍宏聲,Previous,05/07/2025,沙田,811,12,14,草地,C+3,1600,5,好/快,富裕君子,13,32,方嘉柏,B1/TT,986,127
FEL,霍宏聲,Previous,05/07/2025,沙田,810,9,12,,,1200,4,好,你知我得,11,56,姚本輝,V-/TT-,1144,131
FEL,霍宏聲,Previous,05/07/2025,沙田,809,5,12,,,1200,5,好,逆市奇爸,4,38,容天鵬,CP/TT,1259,132
FEL,霍宏聲,Previous,05/07/2025,沙田,808,8,12,草地,C+3,1200,GRIFFIN,好/快,源好運,7,,廖康銘,,1125,121
FEL,霍宏聲,Previous,01/07/2025,沙田,806,6,12,草地,C,1200,3,好,晒冷,12,74,廖康銘,,1076,132
FEL,霍宏聲,Previous,01/07/2025,沙田,804,11,13,草地,C,1000,3,好,實現夢想,13,74,羅富全,CP/TT,1268,129
FEL,霍宏聲,Previous,01/07/2025,沙田,803,5,14,草地,C,1400,4,好,創科群英,2,52,游達榮,SR1/TT,1138,127
FEL,霍宏聲,Previous,01/07/2025,沙田,800,4,14,草地,C,1400,4,好,林寶精神,12,47,廖康銘,B1,1079,122
FEL,霍宏聲,Previous,01/07/2025,沙田,799,1,14,草地,C,1000,4,好,銀河勇士,3,44,丁冠豪,CP,1077,124
FEL,霍宏聲,Previous,28/06/2025,沙田,796,13,14,,,1650,3,濕慢,大千氣象,6,70,方嘉柏,TT,1185,129
FEL,霍宏聲,Previous,28/06/2025,沙田,795,9,13,草地,B,1400,4,好,大千雄心,5,52,方嘉柏,TT,1132,127
FEL,霍宏聲,Previous,28/06/2025,沙田,792,9,14,草地,B,1200,4,好,迅意,12,50,韋達,SR/TT1,1188,125
FEL,霍宏聲,Previous,28/06/2025,沙田,791,12,12,草地,B,2000,4,好,盈利寶馬,2,46,容天鵬,B1,1076,123
FEL,霍宏聲,Previous,28/06/2025,沙田,788,12,14,草地,B,1200,5,好,太行美景,11,36,沈集成,TT-,1143,129
FEL,霍宏聲,Previous,28/06/2025,沙田,787,12,14,草地,B,1400,5,好,領創動力,13,34,沈集成,B/TT,1202,129
FEL,霍宏聲,Previous,25/06/2025,跑馬地,785,9,12,草地,C,1650,3,好/快,博望坡,8,71,呂健威,,1024,130
FEL,霍宏聲,Previous,25/06/2025,跑馬地,784,6,12,草地,C,1650,4,好/快,駟跑得,6,54,廖康銘,B/TT,1192,129
FEL,霍宏聲,Previous,25/06/2025,跑馬地,783,11,12,草地,C,1200,4,好/快,勇者無敵,4,52,韋達,TT1,1139,127
FEL,霍宏聲,Previous,25/06/2025,跑馬地,782,2,12,草地,C,1000,3,好/快,年少多好,10,79,廖康銘,SR/V/TT,1042,135
FEL,霍宏聲,Previous,25/06/2025,跑馬地,781,2,12,草地,C,1650,4,好/快,康昌之星,12,46,廖康銘,TT,1106,121
FEL,霍宏聲,Previous,25/06/2025,跑馬地,780,7,12,草地,C,1200,4,好/快,維港激流,11,52,伍鵬志,TT,1044,127
FEL,霍宏聲,Previous,25/06/2025,跑馬地,779,9,12,草地,C,1200,4,好/快,英雄豪邁,11,57,羅富全,B/TT,1072,132
FEL,霍宏聲,Previous,25/06/2025,跑馬地,778,9,12,草地,C,1200,5,好/快,有心意,12,31,羅富全,TT,1141,126
FEL,霍宏聲,Previous,22/06/2025,沙田,777,3,14,草地,A,1400,3,好,一定超,8,68,游達榮,XB,1152,126
FEL,霍宏聲,Previous,22/06/2025,沙田,776,13,14,草地,A,1600,3,好,銀光奔騰,12,71,游達榮,TT1,1057,127
FEL,霍宏聲,Previous,22/06/2025,沙田,774,6,14,草地,A,1800,G3,好,禪勝輝煌,12,114,呂健威,B/XB,1175,133
FEL,霍宏聲,Previous,22/06/2025,沙田,773,3,13,草地,A,1400,4,好,做好自己,8,56,呂健威,XB/TT,1006,130
FEL,霍宏聲,Previous,22/06/2025,沙田,771,2,14,草地,A,1200,4,好,白鷺金剛,14,54,廖康銘,,1126,129
FEL,霍宏聲,Previous,22/06/2025,沙田,770,6,14,草地,A,1600,4,好,旗幟鬥士,4,55,方嘉柏,TT,1053,130
FEL,霍宏聲,Previous,22/06/2025,沙田,769,4,14,草地,A,1200,4,好,佳運發,12,57,大衛希斯,CP/TT,1152,132
FEL,霍宏聲,Previous,22/06/2025,沙田,767,12,14,草地,A,1000,4,好,酷霸王,9,54,姚本輝,XB-/V1,1170,131
FEL,霍宏聲,Previous,14/06/2025,沙田,765,2,12,,,1200,3,濕快,晶晶日上,3,80,容天鵬,B,1218,135
FEL,霍宏聲,Previous,14/06/2025,沙田,763,5,11,草地,C+3,1200,2,好,好友心得,6,90,大衛希斯,TT,1177,121
FEL,霍宏聲,Previous,14/06/2025,沙田,762,6,14,草地,C+3,1400,4,好,喵喵怪,5,58,巫偉傑,TT,1092,133
FEL,霍宏聲,Previous,14/06/2025,沙田,761,12,14,草地,C+3,1800,4,好,綠色巨人,5,54,廖康銘,B-/TT,1303,129
FEL,霍宏聲,Previous,14/06/2025,沙田,759,3,12,,,1200,4,濕快,川河型駒,8,50,游達榮,TT2,1077,125
FEL,霍宏聲,Previous,14/06/2025,沙田,757,6,14,草地,C+3,1600,5,好,富裕君子,13,34,方嘉柏,TT,981,129
FEL,霍宏聲,Previous,11/06/2025,跑馬地,754,7,12,草地,B,1650,3,好/快,大千氣象,2,72,方嘉柏,TT,1182,132
