jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
HCY,何澤堯,Current,15/04/2026,跑馬地,613,10,12,草地,A,1200,3,好,幸運大夫,11,61,伍鵬志,XB/TT,1201,120
HCY,何澤堯,Current,15/04/2026,跑馬地,608,10,12,草地,A,1800,4,好,獎星,2,45,羅富全,B/TT,1185,120
HCY,何澤堯,Current,12/04/2026,沙田,603,10,11,草地,C,1200,3,好,帥帥友福,9,67,鄭俊偉,B2/TT,1110,123
HCY,何澤堯,Current,12/04/2026,沙田,602,3,12,草地,C,1400,3,好,亨驥,4,65,葉楚航,TT,1073,123
HCY,何澤堯,Current,12/04/2026,沙田,601,1,12,草地,C,1600,3,好,活力拍檔,4,65,呂健威,TT,1186,123
HCY,何澤堯,Current,12/04/2026,沙田,600,12,14,草地,C,1400,4,好,金津寶駒,12,50,文家良,,1187,125
HCY,何澤堯,Current,12/04/2026,沙田,599,3,12,草地,C,1200,4,好,櫻花酒杯,3,60,呂健威,TT,1171,135
HCY,何澤堯,Current,12/04/2026,沙田,596,11,14,草地,C,1600,5,好,籐王駒,11,38,文家良,CP/TT,1087,134
HCY,何澤堯,Current,08/04/2026,跑馬地,592,10,12,草地,C+3,1200,3,好,傑出漢子,9,72,徐雨石,B,1112,131
HCY,何澤堯,Current,08/04/2026,跑馬地,591,10,12,草地,C+3,1650,3,好,天然數字,12,71,徐雨石,B-,1120,126
HCY,何澤堯,Current,08/04/2026,跑馬地,590,5,12,草地,C+3,1200,4,好,快樂共濟,3,52,呂健威,XB,1130,127
HCY,何澤堯,Current,08/04/2026,跑馬地,587,11,12,草地,C+3,1000,4,好,怪獸波士,12,46,文家良,TT1,1038,121
HCY,何澤堯,Current,08/04/2026,跑馬地,586,5,12,草地,C+3,1650,4,好,佳福駒,1,53,文家良,B/TT,1229,130
HCY,何澤堯,Current,08/04/2026,跑馬地,585,6,12,草地,C+3,1200,5,好,駿馬之星,9,34,羅富全,SR/TT,1080,126
HCY,何澤堯,Current,06/04/2026,沙田,584,8,11,草地,B+2,2000,3,好,話你知,7,77,方嘉柏,TT,1239,132
HCY,何澤堯,Current,06/04/2026,沙田,582,8,14,草地,B+2,1600,G2,好,陽光勇士,8,113,姚本輝,,1102,123
HCY,何澤堯,Current,06/04/2026,沙田,579,4,12,草地,B+2,1000,3,好,星運傳奇,4,70,方嘉柏,H1/TT,1244,127
HCY,何澤堯,Current,06/04/2026,沙田,578,8,14,草地,B+2,1200,4,好,紅衣財神,1,43,羅富全,CP-,1149,120
HCY,何澤堯,Current,06/04/2026,沙田,577,5,14,草地,B+2,1400,4,好,逍遙騎士,13,52,巫偉傑,B/TT,1088,127
HCY,何澤堯,Current,06/04/2026,沙田,576,2,13,草地,B+2,1600,4,好,天蓬貓,9,45,巫偉傑,CP-/H/P1/TT,1214,124
HCY,何澤堯,Current,01/04/2026,沙田,572,5,10,,,1200,3,好,喜至寶,6,82,方嘉柏,B2/TT,1166,132
HCY,何澤堯,Current,01/04/2026,沙田,570,7,12,,,1200,4,好,戰寶,5,49,游達榮,XB/TT,1047,124
HCY,何澤堯,Current,01/04/2026,沙田,566,7,14,,,1650,5,好,電訊驕陽,11,38,徐雨石,B,1062,133
HCY,何澤堯,Current,01/04/2026,沙田,565,6,12,,,1200,5,好,城中勇士,10,32,黎昭昇,B/TT,1105,128
HCY,何澤堯,Current,29/03/2026,沙田,564,14,14,草地,A+3,1600,3,好/快,不同世界,11,72,葉楚航,,1090,129
HCY,何澤堯,Current,29/03/2026,沙田,561,8,11,草地,A+3,1400,3,好/快,亨驥,8,65,葉楚航,TT,1078,122
HCY,何澤堯,Current,29/03/2026,沙田,560,14,14,草地,A+3,1200,4,好/快,巴閉哥,9,55,徐雨石,TT,1180,133
HCY,何澤堯,Current,29/03/2026,沙田,559,1,14,草地,A+3,1400,4,好/快,勁勇皇駒,13,47,呂健威,B/XB,1073,123
HCY,何澤堯,Current,29/03/2026,沙田,556,5,12,草地,A+3,2000,4,好/快,雙贏,9,52,文家良,V/XB/TT,1140,128
HCY,何澤堯,Current,29/03/2026,沙田,555,13,14,草地,A+3,1400,4,好/快,志善思源,4,57,文家良,H/TT,1181,134
HCY,何澤堯,Current,25/03/2026,跑馬地,550,5,11,草地,B,1200,4,好,勇敢孖寶,5,43,呂健威,B,1146,120
HCY,何澤堯,Current,25/03/2026,跑馬地,549,10,11,草地,B,1000,3,好,飛龍在天,9,67,方嘉柏,TT,1151,123
HCY,何澤堯,Current,25/03/2026,跑馬地,548,9,12,草地,B,1650,4,好,本領非凡,2,58,羅富全,TT,1061,135
