jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
HEL,希威森,Current,19/04/2026,沙田,624,12,14,草地,C+3,1800,2,好/快,智取神駒,3,100,沈集成,TT,1104,135
HEL,希威森,Current,19/04/2026,沙田,623,2,12,草地,C+3,1200,3,好/快,千杯不醉,2,64,廖康銘,,1036,121
HEL,希威森,Current,19/04/2026,沙田,619,2,14,,,1650,4,好,林寶精神,6,46,廖康銘,B,1091,121
HEL,希威森,Current,15/04/2026,跑馬地,613,11,12,草地,A,1200,3,好,贏得威楓,6,62,桂福特,,1216,119
HEL,希威森,Current,15/04/2026,跑馬地,612,2,11,草地,A,1650,3,好,浪漫鬥士,3,62,沈集成,TT,992,121
HEL,希威森,Current,15/04/2026,跑馬地,609,3,11,草地,A,1650,3,好,知道穩勝,6,60,沈集成,TT,1057,116
HEL,希威森,Current,15/04/2026,跑馬地,608,9,12,草地,A,1800,4,好,蜜蜜送,7,50,韋達,B,1175,125
HEL,希威森,Current,15/04/2026,跑馬地,607,11,12,草地,A,1650,4,好,紫荊戰士,10,52,大衛希斯,CP,1123,127
HEL,希威森,Current,15/04/2026,跑馬地,606,11,12,草地,A,1650,5,好,星之願,4,34,廖康銘,H,1019,131
HEL,希威森,Current,12/04/2026,沙田,604,9,12,草地,C,1200,2,好,飲杯,6,81,大衛希斯,B/TT,1232,116
HEL,希威森,Current,12/04/2026,沙田,600,11,14,草地,C,1400,4,好,總統輝煌,4,52,沈集成,TT1,1111,127
HEL,希威森,Current,12/04/2026,沙田,599,4,12,草地,C,1200,4,好,嘉冠王,11,51,大衛希斯,CP/TT,1186,126
HEL,希威森,Current,12/04/2026,沙田,597,4,14,草地,C,1400,4,好,光年八十,10,60,桂福特,XB,1254,135
HEL,希威森,Current,12/04/2026,沙田,595,2,14,草地,C,1400,5,好,怡昌奇兵,12,34,桂福特,CP,1146,129
HEL,希威森,Current,12/04/2026,沙田,594,4,6,草地,C,1000,GRIFFIN,好,銀騎士,3,,韋達,,1102,126
HEL,希威森,Current,08/04/2026,跑馬地,591,11,12,草地,C+3,1650,3,好,凱明神駒,11,60,沈集成,B/TT,1021,116
HEL,希威森,Current,08/04/2026,跑馬地,590,11,12,草地,C+3,1200,4,好,弘智多寶,2,48,大衛希斯,B/TT,1104,123
HEL,希威森,Current,08/04/2026,跑馬地,589,5,12,草地,C+3,1200,4,好,有你有我,9,45,廖康銘,H/P/TT,979,120
HEL,希威森,Current,08/04/2026,跑馬地,587,9,12,草地,C+3,1000,4,好,佳佳友,2,45,韋達,XB/B1,1126,120
HEL,希威森,Current,08/04/2026,跑馬地,586,8,12,草地,C+3,1650,4,好,唯美主義,12,54,伍鵬志,PC1,1042,131
HEL,希威森,Current,08/04/2026,跑馬地,585,5,12,草地,C+3,1200,5,好,藍爵爺,8,37,桂福特,CP-/XB-/TT-,1239,129
HEL,希威森,Current,06/04/2026,沙田,583,7,10,草地,B+2,1400,2,好,遙遙領先,10,86,呂健威,B,1067,124
HEL,希威森,Current,06/04/2026,沙田,582,12,14,草地,B+2,1600,G2,好,球星,6,103,大衛希斯,B/TT,1131,123
HEL,希威森,Current,06/04/2026,沙田,578,1,14,草地,B+2,1200,4,好,千杯不醉,8,58,廖康銘,,1029,134
HEL,希威森,Current,06/04/2026,沙田,575,13,14,草地,B+2,1200,5,好,飈誌,1,40,黎昭昇,B/TT2,1221,135
HEL,希威森,Current,06/04/2026,沙田,574,9,14,草地,B+2,1000,4,好,三代至醒,9,52,呂健威,XB1,1165,127
HEL,希威森,Current,01/04/2026,沙田,570,10,12,,,1200,4,好,怡昌精神,10,42,沈集成,XB-/B/TT,1250,117
HEL,希威森,Current,01/04/2026,沙田,569,11,14,,,1800,4,好,蜜蜜送,6,52,韋達,B,1177,128
HEL,希威森,Current,01/04/2026,沙田,567,4,14,,,1650,4,好,林寶精神,13,46,廖康銘,B,1092,122
HEL,希威森,Current,01/04/2026,沙田,566,4,14,,,1650,5,好,悠悠乾坤,3,38,桂福特,XB,1059,133
