jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
LDE,梁家俊,Current,12/04/2026,沙田,604,8,12,草地,C,1200,2,好,魔術控制,10,91,巫偉傑,B-/TT,1074,126
LDE,梁家俊,Current,12/04/2026,沙田,602,5,12,草地,C,1400,3,好,名揚四海,1,65,巫偉傑,H-/TT,1146,123
LDE,梁家俊,Current,12/04/2026,沙田,601,10,12,草地,C,1600,3,好,喜豐年,8,64,韋達,H-/SR/XB2/TT-,1134,122
LDE,梁家俊,Current,12/04/2026,沙田,600,6,14,草地,C,1400,4,好,財富非凡,2,60,巫偉傑,H/TT,1093,135
LDE,梁家俊,Current,12/04/2026,沙田,597,9,14,草地,C,1400,4,好,金運齊來,1,48,文家良,,1153,123
LDE,梁家俊,Current,12/04/2026,沙田,596,2,14,草地,C,1600,5,好,威威父子,8,30,巫偉傑,V/TT-,981,126
LDE,梁家俊,Current,12/04/2026,沙田,595,13,14,草地,C,1400,5,好,本能,10,37,徐雨石,B,1103,132
LDE,梁家俊,Current,12/04/2026,沙田,594,6,6,草地,C,1000,GRIFFIN,好,嘉應感恩,2,,巫偉傑,TT1,1014,126
LDE,梁家俊,Current,08/04/2026,跑馬地,593,4,12,草地,C+3,1200,3,好,時尚風趣,10,67,鄭俊偉,XB/TT,1106,125
LDE,梁家俊,Current,08/04/2026,跑馬地,592,3,12,草地,C+3,1200,3,好,晶晶日上,2,67,鄭俊偉,CP/TT,1224,126
LDE,梁家俊,Current,08/04/2026,跑馬地,591,6,12,草地,C+3,1650,3,好,浪漫鬥士,5,64,沈集成,TT,1000,121
LDE,梁家俊,Current,08/04/2026,跑馬地,588,8,12,草地,C+3,1650,4,好,一風雲,6,51,丁冠豪,B1/TT1,1252,127
LDE,梁家俊,Current,08/04/2026,跑馬地,587,8,12,草地,C+3,1000,4,好,領袖勁力,1,51,徐雨石,B-/TT2,1107,126
LDE,梁家俊,Current,08/04/2026,跑馬地,586,6,12,草地,C+3,1650,4,好,佰勝金龍,3,45,巫偉傑,CP-/BO1/TT,1084,122
LDE,梁家俊,Current,06/04/2026,沙田,584,5,11,草地,B+2,2000,3,好,發財先鋒,10,71,羅富全,CP,1144,126
LDE,梁家俊,Current,06/04/2026,沙田,583,4,10,草地,B+2,1400,2,好,健康愉快,3,94,羅富全,B/TT,1174,132
LDE,梁家俊,Current,06/04/2026,沙田,582,1,14,草地,B+2,1600,G2,好,金鑽貴人,10,122,文家良,,1194,123
LDE,梁家俊,Current,06/04/2026,沙田,578,5,14,草地,B+2,1200,4,好,小魔怪,14,49,巫偉傑,H/TT,1156,125
LDE,梁家俊,Current,06/04/2026,沙田,577,8,14,草地,B+2,1400,4,好,風捲殘雲,9,52,廖康銘,H1/TT1,1050,127
LDE,梁家俊,Current,01/04/2026,沙田,573,9,14,,,1650,3,好,遨遊武士,6,85,羅富全,B,1192,135
LDE,梁家俊,Current,01/04/2026,沙田,571,5,12,,,1200,4,好,良駒好友,8,52,文家良,B/TT,1180,127
LDE,梁家俊,Current,01/04/2026,沙田,569,1,14,,,1800,4,好,開心宇宙,3,54,丁冠豪,P,1205,130
LDE,梁家俊,Current,01/04/2026,沙田,568,7,12,,,1200,4,好,旭能精英,2,46,巫偉傑,H/CP1/TT,1054,122
LDE,梁家俊,Current,01/04/2026,沙田,566,6,14,,,1650,5,好,肥仔精神,6,29,巫偉傑,BO/SR/TT,1151,124
LDE,梁家俊,Current,01/04/2026,沙田,565,11,12,,,1200,5,好,太勝駒,4,38,丁冠豪,B,1065,134
LDE,梁家俊,Current,29/03/2026,沙田,563,13,13,草地,A+3,1200,3,好/快,龍虎精神,10,64,羅富全,XB1/TT1,1129,121
LDE,梁家俊,Current,29/03/2026,沙田,561,7,11,草地,A+3,1400,3,好/快,加州熱浪,1,63,巫偉傑,B-/XB/V1/TT,1107,121
LDE,梁家俊,Current,29/03/2026,沙田,559,12,14,草地,A+3,1400,4,好/快,種得好,12,50,文家良,,1117,126
