jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
PMF,潘明輝,Current,19/04/2026,沙田,624,6,14,草地,C+3,1800,2,好/快,知足常樂,13,84,羅富全,CP,1142,119
PMF,潘明輝,Current,19/04/2026,沙田,623,3,12,草地,C+3,1200,3,好/快,嘉應奇兵,4,76,賀賢,V,1105,133
PMF,潘明輝,Current,19/04/2026,沙田,620,6,12,,,1200,4,好,顯勝高昇,7,56,羅富全,XB/CP1,1191,131
PMF,潘明輝,Current,19/04/2026,沙田,619,8,14,,,1650,4,好,保羅輝煌,5,48,羅富全,CP,1187,123
PMF,潘明輝,Current,19/04/2026,沙田,618,10,14,草地,C+3,1600,4,好/快,勤德天下,12,52,鄭俊偉,XB,1094,127
PMF,潘明輝,Current,19/04/2026,沙田,617,9,14,草地,C+3,1400,4,好/快,文武全能,5,41,伍鵬志,PC,1062,116
PMF,潘明輝,Current,19/04/2026,沙田,616,6,14,草地,C+3,1000,4,好/快,馬運高,3,52,文家良,TT1,1209,127
PMF,潘明輝,Current,19/04/2026,沙田,615,11,12,,,1200,5,好,快馬加鞭,6,20,巫偉傑,V-/TT,1145,117
PMF,潘明輝,Current,19/04/2026,沙田,614,6,14,,,1800,5,好,怪獸叉燒,4,39,丁冠豪,TT,1175,134
PMF,潘明輝,Current,15/04/2026,跑馬地,613,7,12,草地,A,1200,3,好,幸運星球,2,76,巫偉傑,B/TT,1084,133
PMF,潘明輝,Current,15/04/2026,跑馬地,612,4,11,草地,A,1650,3,好,瑪瑙,6,76,羅富全,V,1157,135
PMF,潘明輝,Current,15/04/2026,跑馬地,610,8,10,草地,A,1200,4,好,方圓星,3,57,羅富全,CP/H,1067,132
PMF,潘明輝,Current,15/04/2026,跑馬地,607,5,12,草地,A,1650,4,好,翠湖烈風,12,44,賀賢,,1083,119
PMF,潘明輝,Current,15/04/2026,跑馬地,606,2,12,草地,A,1650,5,好,東方寶寶,6,30,姚本輝,,1098,127
PMF,潘明輝,Current,15/04/2026,跑馬地,605,6,12,草地,A,1000,5,好,東方福寶,10,17,姚本輝,CP1,1098,117
PMF,潘明輝,Current,08/04/2026,跑馬地,593,12,12,草地,C+3,1200,3,好,威力飛騰,1,64,蘇偉賢,B-,1174,122
PMF,潘明輝,Current,08/04/2026,跑馬地,590,4,12,草地,C+3,1200,4,好,幸運愉快,9,52,巫偉傑,H/TT,1084,127
PMF,潘明輝,Current,06/04/2026,沙田,581,9,10,草地,B+2,1400,3,好,嘉應巨昇,6,62,巫偉傑,H/XB,1054,120
PMF,潘明輝,Current,06/04/2026,沙田,579,8,12,草地,B+2,1000,3,好,路路勁,9,64,羅富全,TT,1153,121
PMF,潘明輝,Current,06/04/2026,沙田,577,3,14,草地,B+2,1400,4,好,明亮天下,2,49,羅富全,V,999,124
PMF,潘明輝,Current,06/04/2026,沙田,576,9,13,草地,B+2,1600,4,好,好運年,6,49,葉楚航,,1077,128
PMF,潘明輝,Current,06/04/2026,沙田,575,14,14,草地,B+2,1200,5,好,綫路達飛,5,38,羅富全,V,1116,133
PMF,潘明輝,Current,01/04/2026,沙田,573,7,14,,,1650,3,好,哪吒,12,66,賀賢,B,1070,116
PMF,潘明輝,Current,01/04/2026,沙田,569,12,14,,,1800,4,好,北海盜,2,46,賀賢,,1166,122
PMF,潘明輝,Current,01/04/2026,沙田,568,10,12,,,1200,4,好,運來伍寶,9,51,游達榮,B/TT,1120,126
PMF,潘明輝,Current,01/04/2026,沙田,567,9,14,,,1650,4,好,花開,2,50,文家良,B,1052,126
PMF,潘明輝,Current,01/04/2026,沙田,566,12,14,,,1650,5,好,閃耀威龍,13,40,文家良,B/TT,1092,135
PMF,潘明輝,Current,01/04/2026,沙田,565,7,12,,,1200,5,好,南區旺,5,29,羅富全,PC,1075,125
PMF,潘明輝,Current,29/03/2026,沙田,564,5,14,草地,A+3,1600,3,好/快,金滙千帥,8,63,賀賢,B,1063,120
PMF,潘明輝,Current,29/03/2026,沙田,563,8,13,草地,A+3,1200,3,好/快,香港仔,9,64,羅富全,CP/TT,1207,121
PMF,潘明輝,Current,29/03/2026,沙田,561,1,11,草地,A+3,1400,3,好/快,極上紗瓏,10,77,羅富全,,1172,134
PMF,潘明輝,Current,29/03/2026,沙田,559,11,14,草地,A+3,1400,4,好/快,競駿傳奇,3,44,蔡約翰,B,1125,120
