jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
WEC,黃智弘,Current,19/04/2026,沙田,624,10,14,草地,C+3,1800,2,好/快,仁心星,7,83,方嘉柏,B/TT,1226,115
WEC,黃智弘,Current,19/04/2026,沙田,623,11,12,草地,C+3,1200,3,好/快,正極,8,63,沈集成,B/TT,1141,117
WEC,黃智弘,Current,19/04/2026,沙田,618,14,14,草地,C+3,1600,4,好/快,熒光,5,60,文家良,TT,1076,132
WEC,黃智弘,Current,15/04/2026,跑馬地,613,2,12,草地,A,1200,3,好,關鍵所在,1,69,沈集成,B/TT,1168,123
WEC,黃智弘,Current,15/04/2026,跑馬地,611,12,12,草地,A,1200,4,好,快又醒,9,49,葉楚航,B/TT,1054,121
WEC,黃智弘,Current,15/04/2026,跑馬地,605,4,12,草地,A,1000,5,好,太行美景,12,26,沈集成,H-/TT,1132,120
WEC,黃智弘,Current,12/04/2026,沙田,600,14,14,草地,C,1400,4,好,幸運勝利,11,46,大衛希斯,TT,1245,118
WEC,黃智弘,Current,08/04/2026,跑馬地,590,8,12,草地,C+3,1200,4,好,仁者荃承,10,54,姚本輝,XB/SR2,1078,126
WEC,黃智弘,Current,06/04/2026,沙田,576,11,13,草地,B+2,1600,4,好,堅多福,13,41,方嘉柏,,1233,117
WEC,黃智弘,Current,06/04/2026,沙田,575,10,14,草地,B+2,1200,5,好,幸運傳承,13,35,方嘉柏,,1051,127
WEC,黃智弘,Current,06/04/2026,沙田,574,12,14,草地,B+2,1000,4,好,超強六十,10,54,方嘉柏,SR,1072,126
WEC,黃智弘,Current,01/04/2026,沙田,571,12,12,,,1200,4,好,疾風財子,10,52,方嘉柏,TT,1171,124
WEC,黃智弘,Current,01/04/2026,沙田,565,8,12,,,1200,5,好,太行美景,6,28,沈集成,H2/TT,1128,121
