jockey_code,jockey_name,season,date,venue,race_index,place,total_starters,track,course,distance_m,race_class,going,horse_name,draw,rating,trainer,gear,body_wt_lbs,actual_wt_lbs
YML,楊明綸,Current,19/04/2026,沙田,624,13,14,草地,C+3,1800,2,好/快,遨遊武士,10,83,羅富全,B,1197,118
YML,楊明綸,Current,19/04/2026,沙田,623,9,12,草地,C+3,1200,3,好/快,有備而戰,11,65,黎昭昇,TT,1205,122
YML,楊明綸,Current,19/04/2026,沙田,620,11,12,,,1200,4,好,愛國者,11,60,葉楚航,B1/TT,1110,135
YML,楊明綸,Current,19/04/2026,沙田,618,5,14,草地,C+3,1600,4,好/快,家傳之寶,4,56,韋達,E/SR/TT,1056,131
YML,楊明綸,Current,19/04/2026,沙田,617,10,14,草地,C+3,1400,4,好/快,超智多寶,4,42,黎昭昇,B/TT,1190,117
YML,楊明綸,Current,19/04/2026,沙田,616,8,14,草地,C+3,1000,4,好/快,英雄豪邁,1,43,徐雨石,B/TT,1080,118
YML,楊明綸,Current,19/04/2026,沙田,615,9,12,,,1200,5,好,多彩多姿,4,37,蘇偉賢,TT,1155,133
YML,楊明綸,Current,19/04/2026,沙田,614,11,14,,,1800,5,好,樂矚心機,13,16,鄭俊偉,,1120,115
YML,楊明綸,Current,15/04/2026,跑馬地,610,9,10,草地,A,1200,4,好,歷勝,8,52,呂健威,H1/TT1,1158,127
YML,楊明綸,Current,15/04/2026,跑馬地,609,7,11,草地,A,1650,3,好,巴閉仔,9,62,徐雨石,,1040,118
YML,楊明綸,Current,15/04/2026,跑馬地,608,2,12,草地,A,1800,4,好,竣誠駒,4,40,告東尼,TT,1202,115
YML,楊明綸,Current,15/04/2026,跑馬地,607,12,12,草地,A,1650,4,好,鬆啲,8,55,呂健威,TT,1068,130
YML,楊明綸,Current,15/04/2026,跑馬地,606,4,12,草地,A,1650,5,好,勁爽,11,23,丁冠豪,CP,1140,120
YML,楊明綸,Current,15/04/2026,跑馬地,605,10,12,草地,A,1000,5,好,東昇鉞,3,29,蘇偉賢,B/TT,1128,126
YML,楊明綸,Current,12/04/2026,沙田,604,7,12,草地,C,1200,2,好,維港智能,4,87,伍鵬志,TT,1078,122
YML,楊明綸,Current,12/04/2026,沙田,603,2,11,草地,C,1200,3,好,興馳千里,8,72,呂健威,,1076,128
YML,楊明綸,Current,12/04/2026,沙田,602,6,12,草地,C,1400,3,好,心雄雄,7,62,大衛希斯,B/TT,1009,120
