trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
CAS,Current,29/04/2026,跑馬地,653,加州活力,4,12,草地,C,1650,好,11,64,12,巴度,B/TT,1148,122,穿甲金鷹,魅力知耀,凡凡有餘
CAS,Current,29/04/2026,跑馬地,653,爆笑,6,12,草地,C,1650,好,1,64,15,黃寶妮,TT,1096,115,穿甲金鷹,魅力知耀,凡凡有餘
CAS,Current,29/04/2026,跑馬地,652,東來欣賞,2,12,草地,C,1200,好,5,66,10,周俊樂,TT,1156,121,踏雪尋梅,東來欣賞,泰泰精神
CAS,Current,29/04/2026,跑馬地,651,小霸王,9,10,草地,C,1000,好,10,82,42,鍾易禮,B/TT,1185,113,天天同樂,好評如潮,顏色之皇
CAS,Current,29/04/2026,跑馬地,650,爆出美麗,7,12,草地,C,1650,好,3,57,6.1,布文,CP1/TT,1167,133,暴風之子,勁進駒,快搏
CAS,Current,29/04/2026,跑馬地,647,八駿笑昇,9,12,草地,C,2200,好/黏,1,54,9.3,田泰安,B/TT,1126,132,佰勝金龍,雙贏,富喜來
CAS,Current,29/04/2026,跑馬地,646,驍將,4,12,草地,C,1200,好/黏,11,59,49,鍾易禮,TT,1040,133,可靠大師,友得盈,至合拍
CAS,Current,29/04/2026,跑馬地,645,架勢奇爸,5,12,草地,C,1800,好/黏,10,36,8.4,周俊樂,CP/TT,1154,131,滿洛城,揚威四海,富裕君子
CAS,Current,26/04/2026,沙田,644,時時歡聲,1,14,草地,A,1400,好/快,2,92,4,潘頓,TT,1208,122,時時歡聲,韋金主,千帆駒
CAS,Current,26/04/2026,沙田,639,亞機拉,10,14,草地,A,1200,好/快,10,66,58,田泰安,TT,1061,122,增強,傑出雷霆,幸運糖
CAS,Current,26/04/2026,沙田,638,美麗第一,8,8,草地,A,1200,好/快,5,110,440,巴度,TT,1182,126,嘉應高昇,里見夢境,精算暴雪
CAS,Current,26/04/2026,沙田,637,加州勇勝,9,14,草地,A,1400,好/快,14,48,6.5,田泰安,V/TT,1072,123,勁勇皇駒,嵐臣,星光快驅
CAS,Current,26/04/2026,沙田,635,劍飛聲,14,14,草地,A,1600,好/快,14,59,15,田泰安,TT,1118,134,大回報,旌採,都靈冠星
CAS,Current,26/04/2026,沙田,634,雙子美麗,10,14,草地,A,1200,好/快,4,50,91,鍾易禮,TT,1124,122,包裝天王,利高八斗,星光大道
CAS,Current,22/04/2026,跑馬地,633,御登,12,12,草地,B,1200,好/快,10,64,62,鍾易禮,CP1/TT1,1082,120,快活英雄,志滿同行,金牌活力
CAS,Current,22/04/2026,跑馬地,632,奔放,3,12,草地,B,1800,好/快,3,75,4.1,布文,TT,1163,130,豐辰,祥勝將軍,奔放
CAS,Current,22/04/2026,跑馬地,626,美麗歡聲,11,11,草地,B,1650,好/快,8,30,23,艾兆禮,V/TT,1200,126,焦點,神駒馬靈,風雲
CAS,Current,22/04/2026,跑馬地,625,千杯,11,12,草地,B,1200,好/快,10,36,11,鍾易禮,TT,1072,129,獵寶勤,添喜運,戰騎飛
CAS,Current,19/04/2026,沙田,624,君子傳承,4,14,草地,C+3,1800,好/快,5,90,7.8,布文,B/TT,1175,125,海上大軍,嘉應傳承,春風萬里
CAS,Current,19/04/2026,沙田,624,桃花開,9,14,草地,C+3,1800,好/快,12,96,13,鍾易禮,CP/TT,1082,129,海上大軍,嘉應傳承,春風萬里
CAS,Current,19/04/2026,沙田,622,黃金大亨,11,12,草地,C+3,1400,好/快,8,71,44,鍾易禮,V/TT,1085,125,首飾天空,大眾福星,超輕鬆
CAS,Current,19/04/2026,沙田,621,八駿福昇,8,9,全天候,,1200,好,5,66,11,黃寶妮,V/TT,1194,109,德心知遇,錶之極光,天福
CAS,Current,19/04/2026,沙田,621,美麗邂逅,9,9,全天候,,1200,好,8,61,64,鍾易禮,TT,1166,113,德心知遇,錶之極光,天福
CAS,Current,19/04/2026,沙田,619,加州星馳,12,14,全天候,,1650,好,14,56,15,潘頓,B/TT,1195,131,花開,林寶精神,盛勢威楓
CAS,Current,19/04/2026,沙田,618,萬事勝利,8,14,草地,C+3,1600,好/快,3,47,10,艾兆禮,TT,1124,122,超開心,睿智多寶,瑞祺威楓
CAS,Current,19/04/2026,沙田,616,勝萬金,1,14,草地,C+3,1000,好/快,4,57,22,黃寶妮,H/TT,1071,125,勝萬金,支付之父,日出東方
CAS,Current,19/04/2026,沙田,615,爆熱,2,12,全天候,,1200,好,1,30,2,艾兆禮,B/TT,1093,126,魅力星,爆熱,城中勇士
CAS,Current,19/04/2026,沙田,614,一鹿歡騰,13,14,全天候,,1800,好,9,33,14,鍾易禮,V/TT,1103,126,領創動力,風起雲湧,開心三多
CAS,Current,15/04/2026,跑馬地,613,嘉應勇將,1,12,草地,A,1200,好,5,65,12,鍾易禮,H-/CP2/TT,1146,120,嘉應勇將,關鍵所在,棒棒糖
CAS,Current,15/04/2026,跑馬地,611,加州得力,11,12,草地,A,1200,好,7,42,54,蔡明紹,B/TT,1081,117,環球英雄,當家精彩,星運少爵
CAS,Current,15/04/2026,跑馬地,609,加州活力,10,11,草地,A,1650,好,8,64,10,艾兆禮,B/TT,1145,120,一起美麗,做好自己,知道穩勝
CAS,Current,15/04/2026,跑馬地,608,竣誠駒,2,12,草地,A,1800,好,4,40,6,楊明綸,TT,1202,115,香港神駒,竣誠駒,夢照發
CAS,Current,15/04/2026,跑馬地,607,爆竹,3,12,草地,A,1650,好,9,42,15,田泰安,TT,1100,117,凡凡有餘,時間寶,爆竹
CAS,Current,15/04/2026,跑馬地,606,華美之威,5,12,草地,A,1650,好,9,25,11,艾兆禮,,1062,122,富裕君子,東方寶寶,小皇爺
CAS,Current,12/04/2026,沙田,602,亞機拉,11,12,草地,C,1400,好,3,67,19,鍾易禮,TT,1060,123,重情重義,安泰,亨驥
CAS,Current,12/04/2026,沙田,600,久久為軍,10,14,草地,C,1400,好,8,54,26,鍾易禮,TT,1094,127,豐功偉績,哥倫布,自動自覺
CAS,Current,12/04/2026,沙田,597,駿馬之光,12,14,草地,C,1400,好,4,55,181,鍾易禮,CP/TT,1028,128,開心老闆,醒目先駒,創寶駒
CAS,Current,12/04/2026,沙田,596,鐵甲驌龍,12,14,草地,C,1600,好,7,39,12,鍾易禮,H/TT,1125,133,金鑽精靈,威威父子,極速之子
CAS,Current,12/04/2026,沙田,595,劍無情,1,14,草地,C,1400,好,2,29,8.7,田泰安,B/TT,1175,124,劍無情,怡昌奇兵,順善寶
CAS,Current,08/04/2026,跑馬地,593,東來欣賞,5,12,草地,C+3,1200,好,9,66,17,周俊樂,TT,1141,122,俏眼光,人和家興,喵喵怪
CAS,Current,08/04/2026,跑馬地,592,驍將,9,12,草地,C+3,1200,好,10,61,80,鍾易禮,TT,1032,118,精彩駿將,富國兄弟,晶晶日上
CAS,Current,08/04/2026,跑馬地,591,爆笑,8,12,草地,C+3,1650,好,8,66,16,潘頓,TT,1082,121,銀亮奔騰,滿心星,紫辰之星
