trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
CBJ,Current,29/04/2026,跑馬地,652,團結巴打,10,12,草地,C,1200,好,1,61,43,黃寶妮,XB-,1001,109,踏雪尋梅,東來欣賞,泰泰精神
CBJ,Current,29/04/2026,跑馬地,646,猶有心得,9,12,草地,C,1200,好/黏,1,50,17,艾道拿,,1087,126,可靠大師,友得盈,至合拍
CBJ,Current,29/04/2026,跑馬地,645,悠悠乾坤,8,12,草地,C,1800,好/黏,7,38,5.4,田泰安,XB,1046,135,滿洛城,揚威四海,富裕君子
CBJ,Current,26/04/2026,沙田,644,綠族無限,11,14,草地,A,1400,好/快,7,94,32,莫雷拉,,1116,124,時時歡聲,韋金主,千帆駒
CBJ,Current,26/04/2026,沙田,643,開心勇駒,2,14,草地,A,1600,好/快,11,72,7.9,潘頓,,1167,130,火悟空,開心勇駒,安都
CBJ,Current,26/04/2026,沙田,641,佳駿年年,9,14,草地,A,1400,好/快,3,60,126,楊明綸,XB,1020,117,三軍勇將,喜蓮勁感,一世美麗
CBJ,Current,26/04/2026,沙田,637,奇異歡星,13,14,草地,A,1400,好/快,11,53,25,希威森,XB/TT,1087,128,勁勇皇駒,嵐臣,星光快驅
CBJ,Current,26/04/2026,沙田,636,堅先生,1,14,草地,A,1200,好/快,2,59,5.2,田泰安,,1180,132,堅先生,天天更好,實力加
CBJ,Current,22/04/2026,跑馬地,633,金牌活力,3,12,草地,B,1200,好/快,8,74,22,田泰安,,1156,132,快活英雄,志滿同行,金牌活力
CBJ,Current,22/04/2026,跑馬地,632,妙算強人,4,12,草地,B,1800,好/快,4,63,205,黃智弘,V2,1158,117,豐辰,祥勝將軍,奔放
CBJ,Current,22/04/2026,跑馬地,629,伶俐驫駒,3,12,草地,B,1200,好/快,10,59,14,田泰安,,1112,135,雷神太保,過關勇士,伶俐驫駒
CBJ,Current,22/04/2026,跑馬地,628,美周郎,11,12,草地,B,1200,好/快,7,40,126,黃寶妮,B,1307,108,銳目,團長好,競駿非凡
CBJ,Current,22/04/2026,跑馬地,626,飛躍凱旋,9,11,草地,B,1650,好/快,6,31,20,田泰安,V,1211,127,焦點,神駒馬靈,風雲
CBJ,Current,19/04/2026,沙田,622,奇異果,7,12,草地,C+3,1400,好/快,3,69,81,田泰安,XB1/TT-,1130,125,首飾天空,大眾福星,超輕鬆
CBJ,Current,19/04/2026,沙田,615,超風速,6,12,全天候,,1200,好,7,39,9.2,袁幸堯,V,1116,125,魅力星,爆熱,城中勇士
CBJ,Current,19/04/2026,沙田,614,開心三多,3,14,全天候,,1800,好,11,32,6.1,潘頓,H/XB,1036,127,領創動力,風起雲湧,開心三多
CBJ,Current,15/04/2026,跑馬地,613,贏得威楓,11,12,草地,A,1200,好,6,62,115,希威森,,1216,119,嘉應勇將,關鍵所在,棒棒糖
CBJ,Current,15/04/2026,跑馬地,611,團結戰靈,6,12,草地,A,1200,好,5,55,16,田泰安,CP/XB/TT,1051,130,環球英雄,當家精彩,星運少爵
