trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
CCW,Current,29/04/2026,跑馬地,651,好評如潮,2,10,草地,C,1000,好,8,80,11,黃寶妮,TT,1136,108,天天同樂,好評如潮,顏色之皇
CCW,Current,29/04/2026,跑馬地,650,真叻仔,9,12,草地,C,1650,好,5,45,16,楊明綸,CP,1155,121,暴風之子,勁進駒,快搏
CCW,Current,29/04/2026,跑馬地,645,桃花多,11,12,草地,C,1800,好/黏,1,32,9.6,何澤堯,B-/TT,1084,129,滿洛城,揚威四海,富裕君子
CCW,Current,26/04/2026,沙田,635,精算特殊,13,14,草地,A,1600,好/快,2,41,25,巫顯東,B/TT,1082,114,大回報,旌採,都靈冠星
CCW,Current,22/04/2026,跑馬地,631,領航君子,1,12,草地,B,1000,好/快,12,61,22,潘明輝,H-/SR-/XB,1174,117,領航君子,馬力,富心星
CCW,Current,22/04/2026,跑馬地,630,瑤瑤日上,7,12,草地,B,1000,好/快,6,54,30,奧爾民,,1152,129,皇者有利,鴻圖新星,天火同人
CCW,Current,22/04/2026,跑馬地,629,中環精英,12,12,草地,B,1200,好/快,8,50,38,黃寶妮,TT,1123,119,雷神太保,過關勇士,伶俐驫駒
CCW,Current,22/04/2026,跑馬地,628,頑童,9,12,草地,B,1200,好/快,8,48,79,楊明綸,,1106,123,銳目,團長好,競駿非凡
CCW,Current,22/04/2026,跑馬地,626,領航傳祺,6,11,草地,B,1650,好/快,11,18,23,蔡明紹,B/TT,1157,115,焦點,神駒馬靈,風雲
CCW,Current,22/04/2026,跑馬地,625,添喜運,2,12,草地,B,1200,好/快,4,27,3.8,潘頓,B,1213,122,獵寶勤,添喜運,戰騎飛
CCW,Current,19/04/2026,沙田,621,愛馬善,5,9,全天候,,1200,好,3,84,36,金誠剛,B,1162,134,德心知遇,錶之極光,天福
CCW,Current,19/04/2026,沙田,619,風繼續吹,11,14,全天候,,1650,好,10,50,36,金誠剛,B,1167,125,花開,林寶精神,盛勢威楓
CCW,Current,19/04/2026,沙田,618,勤德天下,10,14,草地,C+3,1600,好/快,12,52,13,潘明輝,XB,1094,127,超開心,睿智多寶,瑞祺威楓
CCW,Current,19/04/2026,沙田,617,桃花俊,13,14,草地,C+3,1400,好/快,6,50,19,田泰安,B,1160,125,洪才,有情有義,共創歡欣
CCW,Current,19/04/2026,沙田,616,摘星聲升,14,14,草地,C+3,1000,好/快,6,48,280,金誠剛,B1,1090,123,勝萬金,支付之父,日出東方
CCW,Current,19/04/2026,沙田,614,樂矚心機,11,14,全天候,,1800,好,13,16,51,楊明綸,,1120,115,領創動力,風起雲湧,開心三多
CCW,Current,15/04/2026,跑馬地,613,團結勇士,9,12,草地,A,1200,好,7,64,5.5,班德禮,H/TT,1152,121,嘉應勇將,關鍵所在,棒棒糖
CCW,Current,15/04/2026,跑馬地,611,縱橫天下,8,12,草地,A,1200,好,11,58,118,奧爾民,CP/TT,1069,133,環球英雄,當家精彩,星運少爵
CCW,Current,15/04/2026,跑馬地,606,常多笑,8,12,草地,A,1650,好,2,23,55,黃寶妮,B-/V2/XB2/TT-,1035,113,富裕君子,東方寶寶,小皇爺
CCW,Current,15/04/2026,跑馬地,605,威德勇士,11,12,草地,A,1000,好,4,18,227,巫顯東,CP/TT2,1064,113,喆喆友福,銀亮濠俠,辣得金
CCW,Current,12/04/2026,沙田,603,帥帥友福,10,11,草地,C,1200,好,9,67,35,何澤堯,B2/TT,1110,123,煌上,興馳千里,競駿皇者
CCW,Current,12/04/2026,沙田,600,時尚歡欣,13,14,草地,C,1400,好,7,53,91,周俊樂,CP/TT,1165,126,豐功偉績,哥倫布,自動自覺
CCW,Current,12/04/2026,沙田,599,海王,10,12,草地,C,1200,好,10,43,62,蔡明紹,CP/TT,1182,118,精英高球,應龍飛影,櫻花酒杯
CCW,Current,12/04/2026,沙田,598,多多開心,12,12,草地,C,1200,好,7,46,184,金誠剛,SR/TT,1097,121,輝灑自如,辣得準,華麗再贏
CCW,Current,12/04/2026,沙田,596,領航傳祺,8,14,草地,C,1600,好,2,20,22,田泰安,B/TT,1165,116,金鑽精靈,威威父子,極速之子
CCW,Current,12/04/2026,沙田,595,八里旺,9,14,草地,C,1400,好,5,38,49,班德禮,CP/TT,1261,133,劍無情,怡昌奇兵,順善寶
CCW,Current,08/04/2026,跑馬地,593,時尚風趣,4,12,草地,C+3,1200,好,10,67,136,梁家俊,XB/TT,1106,125,俏眼光,人和家興,喵喵怪
CCW,Current,08/04/2026,跑馬地,592,晶晶日上,3,12,草地,C+3,1200,好,2,67,7.8,梁家俊,CP/TT,1224,126,精彩駿將,富國兄弟,晶晶日上
CCW,Current,08/04/2026,跑馬地,589,三強,3,12,草地,C+3,1200,好,2,52,10,奧爾民,P,1149,127,你知我得,朗日自強,三強
CCW,Current,08/04/2026,跑馬地,588,真叻仔,5,12,草地,C+3,1650,好,4,45,6.3,蔡明紹,CP,1165,121,喜馬,勁進駒,榮利雙收
CCW,Current,08/04/2026,跑馬地,587,精算奕然,12,12,草地,C+3,1000,好,10,49,53,黃寶妮,P/TT,1041,117,財將,美麗登場,巴閉王
CCW,Current,08/04/2026,跑馬地,585,添喜運,4,12,草地,C+3,1200,好,6,28,18,田泰安,B/TT-,1208,120,有情有義,千杯,輕鬆大少
CCW,Current,06/04/2026,沙田,579,好評如潮,2,12,草地,B+2,1000,好,11,78,4,潘頓,TT,1156,135,會長之寶,好評如潮,幸運糖
CCW,Current,06/04/2026,沙田,578,健康小馬,11,14,草地,B+2,1200,好,6,52,249,蔡明紹,CP/H,1011,128,千杯不醉,同喜,利高八斗
CCW,Current,06/04/2026,沙田,574,領航多財,13,14,草地,B+2,1000,好,3,52,94,蔡明紹,TT1,1114,127,飛來霸,閃電小子,極速神影
CCW,Current,01/04/2026,沙田,570,中環精英,8,12,全天候,,1200,好,6,52,13,布文,TT,1129,127,贏得自然,起舞奜奜,飛輪霸
CCW,Current,01/04/2026,沙田,569,精算特殊,10,14,全天候,,1800,好,11,43,70,巫顯東,B/TT,1072,117,開心宇宙,精明選擇,有派頭
CCW,Current,01/04/2026,沙田,568,瑤瑤日上,4,12,全天候,,1200,好,4,56,18,周俊樂,,1156,129,偵探傳奇,伶俐驫駒,常嚐發財
CCW,Current,01/04/2026,沙田,567,風繼續吹,1,14,全天候,,1650,好,6,44,11,金誠剛,B,1160,120,風繼續吹,奮鬥心,火神神樂
CCW,Current,01/04/2026,沙田,566,樂矚心機,9,14,全天候,,1650,好,4,18,12,楊明綸,,1099,115,光輝歲月,大利好運,朗日雪峰
CCW,Current,29/03/2026,沙田,562,愛馬善,7,10,草地,A+3,1200,好/快,10,86,54,金誠剛,P-/B2,1162,123,競駿輝煌,錶之星河,燈胆將軍
CCW,Current,29/03/2026,沙田,561,愛馬心,10,11,草地,A+3,1400,好/快,6,64,73,田泰安,,1018,121,極上紗瓏,開心三寶,新力好
CCW,Current,29/03/2026,沙田,558,領航多福,5,14,草地,A+3,1000,好/快,11,52,23,金誠剛,XB,1054,127,大愛無疆,日出東方,佐治傳奇
CCW,Current,29/03/2026,沙田,554,知恩圖報,6,14,草地,A+3,1400,好/快,11,38,49,金誠剛,B1/TT,1161,133,部族高手,金鑽精靈,飛躍凱旋
CCW,Previous,16/07/2025,跑馬地,844,風繼續吹,9,12,草地,B,1650,好/快,6,48,12,潘明輝,B,1174,123,奔妙星,北海盜,爭金奪冠
CCW,Previous,16/07/2025,跑馬地,841,喆喆友福,7,12,草地,B,1200,好/快,10,44,11,田泰安,H-,1067,119,星火燎原,星辰千帥,一生好彩
CCW,Previous,16/07/2025,跑馬地,839,讓愛高飛,4,12,草地,B,1200,好/快,5,31,6.1,梁家俊,CP,996,126,伶俐驫駒,快樂奇兵,花好月盈
CCW,Previous,13/07/2025,沙田,838,自力更生,9,14,草地,A,1400,好/快,13,69,21,賀銘年,B/TT,1009,126,美麗星晨,勇冠群英,泰泰精神
CCW,Previous,13/07/2025,沙田,834,赤霞,14,14,草地,A,1200,好/快,13,48,237,湯普新,B/TT,1163,126,燈胆將軍,勝多多,團結勇士
CCW,Previous,13/07/2025,沙田,829,英雄本色,10,13,草地,A,1400,好/快,10,26,51,潘明輝,V2,1073,121,綫路神驊,朗日雪峰,快樂老撾
CCW,Previous,13/07/2025,沙田,828,全城帶勝,7,14,草地,A,1400,好/快,5,28,24,湯普新,CP/TT,1177,123,巧眼光,凱旋幸運,熊噹噹
CCW,Previous,09/07/2025,跑馬地,827,金牌活力,1,12,草地,A,1200,好/快,12,64,8.8,田泰安,B/TT,1164,121,金牌活力,駿奕快車,中環精英
CCW,Previous,09/07/2025,跑馬地,826,木火兄弟,2,12,草地,A,1800,好/快,7,79,24,楊明綸,TT,1192,127,銀進,木火兄弟,包裝創新
CCW,Previous,09/07/2025,跑馬地,823,常多笑,11,12,草地,A,1650,好/快,12,54,88,梁家俊,V/TT,1033,129,赤馬雄風,勁進駒,川河首駒
CCW,Previous,09/07/2025,跑馬地,820,星雲浩騰,7,12,草地,A,1650,好/快,6,28,36,鍾易禮,CP1/TT,1141,121,新幹線,領創動力,魔法速遞
CCW,Previous,09/07/2025,跑馬地,819,讓愛高飛,7,12,草地,A,1000,好/快,1,32,9,梁家俊,CP2,1000,125,大番薯,天分高,謙謙君子
CCW,Previous,05/07/2025,沙田,817,愛馬善,3,11,草地,C+3,1200,好/快,3,94,11,潘明輝,B,1156,133,舞林密碼,人和家興,愛馬善
CCW,Previous,05/07/2025,沙田,815,年年友福,2,13,草地,C+3,1800,好/快,8,44,21,田泰安,B-,1193,119,火焰閃爍,年年友福,架勢奇爸
CCW,Previous,05/07/2025,沙田,814,天天友福,11,12,草地,C+3,1200,好/快,10,50,61,田泰安,CP1,1102,125,八駿福昇,飛輪霸,高感
CCW,Previous,05/07/2025,沙田,811,桃花多,7,14,草地,C+3,1600,好/快,1,31,5,潘頓,B/TT,1089,126,佳福駒,駿彩飛馳,無極勇將
CCW,Previous,05/07/2025,沙田,809,樂矚心機,11,12,全天候,,1200,好,10,35,120,奧爾民,B,1094,129,五福星,東方寶寶,旋風飛颺
CCW,Previous,05/07/2025,沙田,808,知恩圖報,11,12,草地,C+3,1200,好/快,12,,116,楊明綸,H1,1196,126,豐功偉績,光年程祥,華夏俊馬
CCW,Previous,05/07/2025,沙田,808,摘星聲升,12,12,草地,C+3,1200,好/快,8,,160,巫顯東,,1075,119,豐功偉績,光年程祥,華夏俊馬
CCW,Previous,01/07/2025,沙田,800,銀騰,3,14,草地,C,1400,好,11,47,44,楊明綸,B,1129,122,泰泰精神,中國心,銀騰
CCW,Previous,01/07/2025,沙田,798,喜悅一生,14,14,草地,C,1800,好,6,16,29,楊明綸,B/TT,1150,115,金德義,同寶寶,凱旋七福
CCW,Previous,28/06/2025,沙田,797,自力更生,1,14,草地,B,1400,好,4,62,14,賀銘年,B/TT,1019,120,自力更生,美麗星晨,一起美麗
CCW,Previous,28/06/2025,沙田,793,風繼續吹,2,13,全天候,,1650,濕慢,13,48,13,潘明輝,B,1171,123,川河型駒,風繼續吹,閃耀威龍
CCW,Previous,28/06/2025,沙田,788,讓愛高飛,4,14,草地,B,1200,好,14,34,39,梁家俊,,1002,127,勝多多,伶俐驫駒,巧眼光
CCW,Previous,28/06/2025,沙田,787,全城帶勝,6,14,草地,B,1400,好,10,30,30,梁家俊,CP/TT,1174,125,冠寶駒,綫路萬里,添喜運
CCW,Previous,25/06/2025,跑馬地,783,喆喆友福,7,12,草地,C,1200,好/快,9,45,5.6,蔡明紹,H,1071,120,快搏,星之願,可靠大師
CCW,Previous,25/06/2025,跑馬地,780,縱橫天下,1,12,草地,C,1200,好/快,6,53,31,奧爾民,CP1/TT,1051,128,縱橫天下,中環精英,紅錢到
