trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
EDJ,Current,29/04/2026,跑馬地,652,川河動駒,8,12,草地,C,1200,好,2,71,9.4,鍾易禮,B/TT,1155,124,踏雪尋梅,東來欣賞,泰泰精神
EDJ,Current,29/04/2026,跑馬地,651,顏色之皇,3,10,草地,C,1000,好,5,100,3.2,潘頓,CP1/TT,1089,130,天天同樂,好評如潮,顏色之皇
EDJ,Current,29/04/2026,跑馬地,650,隨緣得勝,5,12,草地,C,1650,好,6,47,2.6,周俊樂,B/TT,1066,121,暴風之子,勁進駒,快搏
EDJ,Current,29/04/2026,跑馬地,649,勁砲王,10,12,草地,C,1200,好,4,50,65,金誠剛,XB/CP1,1165,126,電玩精英,巴閉王,銳高
EDJ,Current,29/04/2026,跑馬地,646,海鑽石,12,12,草地,C,1200,好/黏,6,48,36,布浩榮,B/TT,1142,124,可靠大師,友得盈,至合拍
EDJ,Current,26/04/2026,沙田,644,光年魅力,12,14,草地,A,1400,好/快,11,102,47,布文,,1235,132,時時歡聲,韋金主,千帆駒
EDJ,Current,26/04/2026,沙田,643,三寶進財,4,14,草地,A,1600,好/快,7,64,279,希威森,CP1,1147,122,火悟空,開心勇駒,安都
EDJ,Current,26/04/2026,沙田,643,騰龍踏雪,14,14,草地,A,1600,好/快,2,63,236,金誠剛,XB,1042,121,火悟空,開心勇駒,安都
EDJ,Current,26/04/2026,沙田,641,喜蓮勁感,2,14,草地,A,1400,好/快,1,78,5.9,麥道朗,XB/TT,1150,135,三軍勇將,喜蓮勁感,一世美麗
EDJ,Current,26/04/2026,沙田,635,奮鬥輝煌,5,14,草地,A,1600,好/快,5,50,19,布浩榮,B/TT,1069,125,大回報,旌採,都靈冠星
EDJ,Current,26/04/2026,沙田,634,蹺妙,9,14,草地,A,1200,好/快,14,58,42,布浩榮,,1077,132,包裝天王,利高八斗,星光大道
EDJ,Current,22/04/2026,跑馬地,633,粵港資駒,8,12,草地,B,1200,好/快,9,74,16,艾兆禮,TT,1102,132,快活英雄,志滿同行,金牌活力
EDJ,Current,22/04/2026,跑馬地,631,怡傲錢莊,10,12,草地,B,1000,好/快,5,67,12,周俊樂,H-/XB1,958,121,領航君子,馬力,富心星
EDJ,Current,22/04/2026,跑馬地,630,星將,9,12,草地,B,1000,好/快,7,46,26,金誠剛,TT,1107,121,皇者有利,鴻圖新星,天火同人
EDJ,Current,22/04/2026,跑馬地,627,無極勇將,7,12,草地,B,1650,好/快,10,44,41,金誠剛,B/TT,1062,120,贏玥,本領非凡,得意佳作
EDJ,Current,22/04/2026,跑馬地,626,焦點,1,11,草地,B,1650,好/快,1,32,5,周俊樂,B/TT,1055,126,焦點,神駒馬靈,風雲
EDJ,Current,19/04/2026,沙田,624,紫荊傳令,7,14,草地,C+3,1800,好/快,14,82,4.7,班德禮,XB/TT,1069,117,海上大軍,嘉應傳承,春風萬里
EDJ,Current,19/04/2026,沙田,622,魅力奔騰,10,12,草地,C+3,1400,好/快,12,77,102,艾道拿,,1104,133,首飾天空,大眾福星,超輕鬆
EDJ,Current,19/04/2026,沙田,619,川河型駒,10,14,全天候,,1650,好,4,46,9.8,霍宏聲,TT,1081,122,花開,林寶精神,盛勢威楓
EDJ,Current,19/04/2026,沙田,617,馬上盈,8,14,草地,C+3,1400,好/快,3,51,4.8,金誠剛,TT,1097,126,洪才,有情有義,共創歡欣
EDJ,Current,19/04/2026,沙田,615,花香月明,12,12,全天候,,1200,好,5,39,25,金誠剛,XB/TT,1103,135,魅力星,爆熱,城中勇士
EDJ,Current,19/04/2026,沙田,614,光輝歲月,4,14,全天候,,1800,好,10,40,21,霍宏聲,B/TT,1113,135,領創動力,風起雲湧,開心三多
EDJ,Current,15/04/2026,跑馬地,613,川河動駒,5,12,草地,A,1200,好,8,72,6.3,布文,B/TT,1160,129,嘉應勇將,關鍵所在,棒棒糖
EDJ,Current,15/04/2026,跑馬地,612,佳登,6,11,草地,A,1650,好,5,60,11,金誠剛,XB,1041,119,榮利雙收,浪漫鬥士,穿甲金鷹
EDJ,Current,15/04/2026,跑馬地,612,同心同樂,9,11,草地,A,1650,好,9,75,15,潘頓,V/TT,1151,134,榮利雙收,浪漫鬥士,穿甲金鷹
EDJ,Current,15/04/2026,跑馬地,609,時時開心,11,11,草地,A,1650,好,3,60,31,蔡明紹,XB,1056,116,一起美麗,做好自己,知道穩勝
EDJ,Current,15/04/2026,跑馬地,607,紅磚戰士,7,12,草地,A,1650,好,1,46,6.2,艾兆禮,XB,1126,121,凡凡有餘,時間寶,爆竹
EDJ,Current,15/04/2026,跑馬地,606,問鼎巔峰,10,12,草地,A,1650,好,10,36,93,奧爾民,B-/CP2,1004,133,富裕君子,東方寶寶,小皇爺
EDJ,Current,12/04/2026,沙田,604,顏色之皇,6,12,草地,C,1200,好,12,100,9.9,潘頓,TT,1103,135,翠紅,扶搖勢勁,競駿輝煌
EDJ,Current,12/04/2026,沙田,603,競駿皇者,3,11,草地,C,1200,好,5,75,26,霍宏聲,TT,1074,131,煌上,興馳千里,競駿皇者
EDJ,Current,12/04/2026,沙田,602,幸運風彩,4,12,草地,C,1400,好,9,68,17,霍宏聲,B-/TT,1112,126,重情重義,安泰,亨驥
EDJ,Current,12/04/2026,沙田,602,正義波,7,12,草地,C,1400,好,2,64,10,金誠剛,TT,1220,122,重情重義,安泰,亨驥
EDJ,Current,12/04/2026,沙田,601,英駿飛駒,2,12,草地,C,1600,好,3,77,13,艾道拿,B/XB/TT,1199,135,活力拍檔,英駿飛駒,魅力知耀
EDJ,Current,12/04/2026,沙田,600,馬鳳凰,8,14,草地,C,1400,好,13,55,41,霍宏聲,B,1103,130,豐功偉績,哥倫布,自動自覺
EDJ,Current,12/04/2026,沙田,597,開心老闆,1,14,草地,C,1400,好,13,60,7,霍宏聲,CP/TT,1109,135,開心老闆,醒目先駒,創寶駒
EDJ,Current,08/04/2026,跑馬地,591,銀亮奔騰,1,12,草地,C+3,1650,好,2,80,4.2,布文,CP/TT,1125,135,銀亮奔騰,滿心星,紫辰之星
EDJ,Current,08/04/2026,跑馬地,588,奮鬥輝煌,4,12,草地,C+3,1650,好,9,51,10,布文,B/TT,1061,127,喜馬,勁進駒,榮利雙收
EDJ,Current,08/04/2026,跑馬地,586,隨緣得勝,2,12,草地,C+3,1650,好,8,45,3.1,田泰安,B/TT,1055,122,上浦福旺,隨緣得勝,耀昌勝世
EDJ,Current,08/04/2026,跑馬地,585,焦點,7,12,草地,C+3,1200,好,11,34,24,布文,B/TT,1043,126,有情有義,千杯,輕鬆大少
EDJ,Current,06/04/2026,沙田,581,騰龍踏雪,10,10,草地,B+2,1400,好,5,65,104,金誠剛,H-/XB,1040,123,千帆駒,一世美麗,超勁赤兔
EDJ,Current,06/04/2026,沙田,578,龍之尊,10,14,草地,B+2,1200,好,7,51,16,艾兆禮,XB,1095,127,千杯不醉,同喜,利高八斗
EDJ,Current,06/04/2026,沙田,577,勁砲王,9,14,草地,B+2,1400,好,10,52,122,金誠剛,XB,1173,127,文明福星,機械之星,明亮天下
EDJ,Current,06/04/2026,沙田,576,家樂寶駒,13,13,草地,B+2,1600,好,4,46,34,霍宏聲,CP/TT-,1127,125,大回報,天蓬貓,紅衣醒目
EDJ,Current,06/04/2026,沙田,575,首駿,6,14,草地,B+2,1200,好,3,38,3.4,布文,XB/TT,1170,133,紅旺繽紛,果然僥倖,機械騎士
EDJ,Current,06/04/2026,沙田,574,海鑽石,8,14,草地,B+2,1000,好,14,50,66,艾道拿,SR-/B1/TT,1140,125,飛來霸,閃電小子,極速神影
EDJ,Current,01/04/2026,沙田,573,將睿,1,14,全天候,,1650,好,8,72,12,金誠剛,BO-/XB,1095,122,將睿,精英雄心,安泰
EDJ,Current,01/04/2026,沙田,573,超勝無敵,13,14,全天候,,1650,好,10,63,50,蔡明紹,B-/TT,1132,115,將睿,精英雄心,安泰
EDJ,Current,01/04/2026,沙田,570,戰寶,7,12,全天候,,1200,好,5,49,53,何澤堯,XB/TT,1047,124,贏得自然,起舞奜奜,飛輪霸
EDJ,Current,01/04/2026,沙田,569,本領輝煌,8,14,全天候,,1800,好,9,56,22,周俊樂,TT,1081,130,開心宇宙,精明選擇,有派頭
EDJ,Current,01/04/2026,沙田,569,榮耀盛甲,13,14,全天候,,1800,好,12,44,52,巴度,B/TT,968,120,開心宇宙,精明選擇,有派頭
EDJ,Current,01/04/2026,沙田,568,運來伍寶,10,12,全天候,,1200,好,9,51,41,潘明輝,B/TT,1120,126,偵探傳奇,伶俐驫駒,常嚐發財
EDJ,Current,01/04/2026,沙田,567,川河型駒,7,14,全天候,,1650,好,14,47,42,霍宏聲,TT,1093,123,風繼續吹,奮鬥心,火神神樂
EDJ,Current,01/04/2026,沙田,566,光輝歲月,1,14,全天候,,1650,好,2,34,7,霍宏聲,B2/TT,1109,129,光輝歲月,大利好運,朗日雪峰
EDJ,Current,29/03/2026,沙田,564,川河耀駒,9,14,草地,A+3,1600,好/快,9,75,35,霍宏聲,XB,1023,132,黃金騎士,安都,中國心
EDJ,Current,29/03/2026,沙田,563,蹺妙,6,13,草地,A+3,1200,好/快,1,60,28,蔡明紹,,1103,117,扶搖勢勁,增強,開心指數
EDJ,Current,29/03/2026,沙田,560,花香月明,7,14,草地,A+3,1200,好/快,12,41,37,金誠剛,XB/TT,1104,119,天天更好,銳目,烈焰光芒
EDJ,Current,29/03/2026,沙田,559,馬上盈,2,14,草地,A+3,1400,好/快,5,49,11,金誠剛,TT,1102,125,勁勇皇駒,馬上盈,綫路萬里
EDJ,Current,29/03/2026,沙田,556,同益善,1,12,草地,A+3,2000,好/快,7,51,3.3,周俊樂,B/TT,1053,125,同益善,風火恆雲,禾道威
EDJ,Current,29/03/2026,沙田,556,銀光奔騰,10,12,草地,A+3,2000,好/快,6,55,117,金誠剛,XB,1029,131,同益善,風火恆雲,禾道威
EDJ,Current,29/03/2026,沙田,555,無極勇將,8,14,草地,A+3,1400,好/快,3,45,119,金誠剛,B/TT,1059,122,盛勢威楓,龍傲綾羅,文武全能
EDJ,Current,29/03/2026,沙田,554,問鼎巔峰,11,14,草地,A+3,1400,好/快,8,38,87,艾道拿,CP-/B1,1001,133,部族高手,金鑽精靈,飛躍凱旋
EDJ,Previous,16/07/2025,跑馬地,847,馬上盈,10,12,草地,B,1200,好/快,2,62,51,巫顯東,TT,1104,115,至尊瑰寶,勇霸龍,維港激流
EDJ,Previous,16/07/2025,跑馬地,845,時時精準,9,12,草地,B,1650,好/快,3,75,8.2,田泰安,B/TT,1088,134,智勇名駒,盈好威楓,大學生
EDJ,Previous,13/07/2025,沙田,838,同心同樂,4,14,草地,A,1400,好/快,4,64,6.1,田泰安,V/TT,1155,121,美麗星晨,勇冠群英,泰泰精神
EDJ,Previous,13/07/2025,沙田,837,令狐沖,14,14,草地,A,1200,好/快,13,63,100,田泰安,XB1/TT1,1200,120,星月飛雲,小鳥天堂,魅力寶駒
EDJ,Previous,13/07/2025,沙田,836,英駿飛駒,2,14,草地,A,1600,好/快,2,66,6.2,田泰安,B/XB/TT,1201,117,大浪圖田,英駿飛駒,增有
EDJ,Previous,13/07/2025,沙田,835,大至尊,8,11,草地,A,1600,好/快,9,107,4.8,潘頓,,1099,126,有目共賞,越駿歡欣,美麗同享
EDJ,Previous,13/07/2025,沙田,833,戰寶,8,14,草地,A,1400,好/快,3,58,22,布文,E-/XB/TT,1049,134,精算激流,做好自己,銳一
EDJ,Previous,13/07/2025,沙田,831,三叉戟,9,14,草地,A,1400,好/快,6,52,28,布文,XB1/TT1,1231,127,十二神將,葳莉非凡,豐辰
EDJ,Previous,13/07/2025,沙田,829,無極勇將,9,13,草地,A,1400,好/快,4,36,10,奧爾民,B/TT,1040,131,綫路神驊,朗日雪峰,快樂老撾
EDJ,Previous,09/07/2025,跑馬地,826,包裝旋風,11,12,草地,A,1800,好/快,8,61,35,鍾易禮,B/TT,1001,113,銀進,木火兄弟,包裝創新
EDJ,Previous,09/07/2025,跑馬地,825,運來伍寶,4,12,草地,A,1200,好/快,3,58,5,黃智弘,B/TT,1112,128,祥勝力駒,天外迎天,領航財子
EDJ,Previous,09/07/2025,跑馬地,824,交學費,8,11,草地,A,1000,好/快,11,64,68,田泰安,XB-/TT,1129,119,狀元及第,燭光晚餐,路路勁
EDJ,Previous,09/07/2025,跑馬地,823,連連歡呼,6,12,草地,A,1650,好/快,2,41,3.9,湯普新,B/TT,1342,116,赤馬雄風,勁進駒,川河首駒
EDJ,Previous,09/07/2025,跑馬地,822,問鼎巔峰,8,12,草地,A,1000,好/快,2,52,35,田泰安,SR1/TT1,1010,128,幸運二十,天火同人,瑤瑤日上
EDJ,Previous,09/07/2025,跑馬地,820,焦點,8,12,草地,A,1650,好/快,12,35,40,霍宏聲,B2/TT,1041,130,新幹線,領創動力,魔法速遞
EDJ,Previous,05/07/2025,沙田,818,銀光奔騰,13,14,草地,C+3,1400,好/快,3,71,97,布文,XB1/TT,1043,129,同樣美麗,錶之星河,定數
EDJ,Previous,05/07/2025,沙田,817,顏色之皇,7,11,草地,C+3,1200,好/快,7,86,6.5,艾兆禮,TT,1094,125,舞林密碼,人和家興,愛馬善
EDJ,Previous,05/07/2025,沙田,815,錶之星球,7,13,草地,C+3,1800,好/快,1,47,8.8,賀銘年,B1,1082,122,火焰閃爍,年年友福,架勢奇爸
EDJ,Previous,05/07/2025,沙田,814,海藍寶,5,12,草地,C+3,1200,好/快,5,50,4.8,黃智弘,B1/TT,1060,120,八駿福昇,飛輪霸,高感
EDJ,Previous,05/07/2025,沙田,813,如蝶翩翩,6,14,草地,C+3,1400,好/快,5,52,9.4,艾兆禮,,1218,127,安都,多彩多姿,博愛先鋒
EDJ,Previous,05/07/2025,沙田,811,無極勇將,3,14,草地,C+3,1600,好/快,7,36,12,艾道拿,B/TT,1040,131,佳福駒,駿彩飛馳,無極勇將
EDJ,Previous,05/07/2025,沙田,810,川河型駒,4,12,全天候,,1200,好,2,56,5.9,奧爾民,TT,1086,131,勁先生,日日獎,囍眼光
EDJ,Previous,01/07/2025,沙田,807,本領輝煌,3,14,草地,C,1600,好,1,63,5.1,田泰安,B/TT,1073,120,元朗精英,昭易搵,本領輝煌
EDJ,Previous,01/07/2025,沙田,806,馬上盈,12,12,草地,C,1200,好,7,64,10,潘明輝,TT,1103,122,巴基之勝,魅力寶駒,超霸勝
EDJ,Previous,01/07/2025,沙田,805,尊登,9,14,草地,C,1600,好,12,58,60,田泰安,XB/TT,1023,135,彭玥,紅衣醒目,禾道威
EDJ,Previous,01/07/2025,沙田,803,創科群英,5,14,草地,C,1400,好,2,52,53,霍宏聲,SR1/TT,1138,127,百勝威龍,美麗邂逅,一定掂
EDJ,Previous,01/07/2025,沙田,802,光年魅力,1,12,草地,C,1400,好,10,93,2.1,潘頓,XB,1235,129,光年魅力,米奇,得道猴王
EDJ,Previous,01/07/2025,沙田,802,駿步騰飛,11,12,草地,C,1400,好,6,84,10,蔡明紹,B/TT,1010,120,光年魅力,米奇,得道猴王
EDJ,Previous,01/07/2025,沙田,800,榮耀盛甲,12,14,草地,C,1400,好,9,52,208,梁家俊,XB,992,127,泰泰精神,中國心,銀騰
EDJ,Previous,28/06/2025,沙田,797,佳登,4,14,草地,B,1400,好,7,60,182,巫顯東,XB,1028,116,自力更生,美麗星晨,一起美麗
EDJ,Previous,28/06/2025,沙田,795,同心同樂,1,13,草地,B,1400,好,4,57,6.8,艾兆禮,V1/TT,1144,132,同心同樂,一生好彩,糖不甩
EDJ,Previous,28/06/2025,沙田,793,川河型駒,1,13,全天候,,1650,濕慢,3,49,3.2,潘頓,TT,1085,124,川河型駒,風繼續吹,閃耀威龍
