trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
FC,Current,29/04/2026,跑馬地,653,相映紅,9,12,草地,C,1650,好,8,74,10,黃智弘,PC1/TT,1052,129,穿甲金鷹,魅力知耀,凡凡有餘
FC,Current,29/04/2026,跑馬地,650,快靚旺,12,12,草地,C,1650,好,1,53,17,黃智弘,TT,1052,126,暴風之子,勁進駒,快搏
FC,Current,29/04/2026,跑馬地,647,大千氣象,7,12,草地,C,2200,好/黏,3,55,13,布文,TT,1207,133,佰勝金龍,雙贏,富喜來
FC,Current,29/04/2026,跑馬地,645,富裕君子,3,12,草地,C,1800,好/黏,8,37,10,黃智弘,TT,998,131,滿洛城,揚威四海,富裕君子
FC,Current,26/04/2026,沙田,644,鈦易搵,8,14,草地,A,1400,好/快,8,91,126,黃智弘,TT,1182,118,時時歡聲,韋金主,千帆駒
FC,Current,26/04/2026,沙田,643,共享富裕,9,14,草地,A,1600,好/快,5,71,10,莫雷拉,B1/TT,1005,129,火悟空,開心勇駒,安都
FC,Current,26/04/2026,沙田,641,三軍勇將,1,14,草地,A,1400,好/快,4,69,18,莫雷拉,TT,1080,126,三軍勇將,喜蓮勁感,一世美麗
FC,Current,26/04/2026,沙田,639,鈁糖武士,9,14,草地,A,1200,好/快,5,65,161,黃智弘,B/TT,1096,118,增強,傑出雷霆,幸運糖
FC,Current,26/04/2026,沙田,637,日日賞,11,14,草地,A,1400,好/快,3,51,5.6,莫雷拉,,1118,126,勁勇皇駒,嵐臣,星光快驅
FC,Current,26/04/2026,沙田,635,騰達勇士,12,14,草地,A,1600,好/快,13,48,24,莫雷拉,TT,1120,123,大回報,旌採,都靈冠星
FC,Current,26/04/2026,沙田,634,星運少爵,5,14,草地,A,1200,好/快,5,54,8.6,莫雷拉,,1192,128,包裝天王,利高八斗,星光大道
FC,Current,22/04/2026,跑馬地,633,好好戀愛,7,12,草地,B,1200,好/快,5,75,4.9,莫雷拉,TT,1182,133,快活英雄,志滿同行,金牌活力
FC,Current,22/04/2026,跑馬地,632,友贏威馳,9,12,草地,B,1800,好/快,6,66,8.9,莫雷拉,TT,1105,121,豐辰,祥勝將軍,奔放
FC,Current,22/04/2026,跑馬地,631,富心星,3,12,草地,B,1000,好/快,4,65,2.6,莫雷拉,TT,1184,121,領航君子,馬力,富心星
FC,Current,22/04/2026,跑馬地,630,福進,5,12,草地,B,1000,好/快,4,52,3.5,莫雷拉,TT,1189,127,皇者有利,鴻圖新星,天火同人
FC,Current,22/04/2026,跑馬地,629,銀刺勇士,7,12,草地,B,1200,好/快,12,49,17,莫雷拉,TT,1119,125,雷神太保,過關勇士,伶俐驫駒
FC,Current,22/04/2026,跑馬地,628,團長好,2,12,草地,B,1200,好/快,5,55,48,莫雷拉,B/TT,1141,130,銳目,團長好,競駿非凡
FC,Current,22/04/2026,跑馬地,627,赤風驪,8,12,草地,B,1650,好/快,11,54,10,莫雷拉,PC-/TT,1002,130,贏玥,本領非凡,得意佳作
