trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
HAD,Current,29/04/2026,跑馬地,650,快搏,3,12,草地,C,1650,好,2,55,18,艾道拿,B,1127,131,暴風之子,勁進駒,快搏
HAD,Current,29/04/2026,跑馬地,647,清雲龍駒,11,12,草地,C,2200,好/黏,10,57,25,奧爾民,BO,1142,135,佰勝金龍,雙贏,富喜來
HAD,Current,26/04/2026,沙田,643,金滙千帥,8,14,草地,A,1600,好/快,1,62,8.6,潘明輝,B,1062,120,火悟空,開心勇駒,安都
HAD,Current,26/04/2026,沙田,641,泰力,6,14,草地,A,1400,好/快,6,72,6,奧爾民,,1098,129,三軍勇將,喜蓮勁感,一世美麗
HAD,Current,26/04/2026,沙田,639,增強,1,14,草地,A,1200,好/快,9,74,3.9,布文,,1209,130,增強,傑出雷霆,幸運糖
HAD,Current,26/04/2026,沙田,637,久久為尊,5,14,草地,A,1400,好/快,6,60,13,麥道朗,B-/TT,1202,135,勁勇皇駒,嵐臣,星光快驅
HAD,Current,26/04/2026,沙田,636,實力加,3,14,草地,A,1200,好/快,3,54,6.8,布浩榮,B,1060,127,堅先生,天天更好,實力加
HAD,Current,26/04/2026,沙田,635,威力非凡,6,14,草地,A,1600,好/快,7,42,18,潘明輝,CP/XB,1023,117,大回報,旌採,都靈冠星
HAD,Current,26/04/2026,沙田,634,賢者威楓,8,14,草地,A,1200,好/快,6,52,3.3,布文,,1101,126,包裝天王,利高八斗,星光大道
HAD,Current,22/04/2026,跑馬地,632,哪吒,7,12,草地,B,1800,好/快,7,66,29,潘明輝,B,1070,121,豐辰,祥勝將軍,奔放
HAD,Current,22/04/2026,跑馬地,631,飛來閃耀,8,12,草地,B,1000,好/快,6,62,28,黃寶妮,,1146,111,領航君子,馬力,富心星
HAD,Current,22/04/2026,跑馬地,628,勤德皆備,7,12,草地,B,1200,好/快,11,50,15,布文,,1179,125,銳目,團長好,競駿非凡
