trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
HDA,Current,29/04/2026,跑馬地,653,魅力知耀,2,12,草地,C,1650,好,3,60,5.6,田泰安,B/XB,1237,118,穿甲金鷹,魅力知耀,凡凡有餘
HDA,Current,29/04/2026,跑馬地,651,天星,7,10,草地,C,1000,好,7,82,8.9,班德禮,B,1106,115,天天同樂,好評如潮,顏色之皇
HDA,Current,29/04/2026,跑馬地,648,星威心得,7,12,草地,C,1200,好/黏,4,50,19,班德禮,CP-/B2,1013,125,紅愛舍,勝在當下,跨境駿馬
HDA,Current,29/04/2026,跑馬地,647,禾道威,6,12,草地,C,2200,好/黏,5,44,2.6,潘頓,CP/TT,1206,122,佰勝金龍,雙贏,富喜來
HDA,Current,29/04/2026,跑馬地,646,可靠大師,1,12,草地,C,1200,好/黏,4,53,2.5,潘頓,B/TT,1084,129,可靠大師,友得盈,至合拍
HDA,Current,29/04/2026,跑馬地,645,滿洛城,1,12,草地,C,1800,好/黏,9,37,5.4,班德禮,CP-/B1,1029,134,滿洛城,揚威四海,富裕君子
HDA,Current,26/04/2026,沙田,644,風雲武士,7,14,草地,A,1400,好/快,5,102,178,班德禮,CP2,1152,132,時時歡聲,韋金主,千帆駒
HDA,Current,26/04/2026,沙田,643,紫荊拼搏,6,14,草地,A,1600,好/快,3,66,5.8,班德禮,,1026,124,火悟空,開心勇駒,安都
HDA,Current,26/04/2026,沙田,642,球星,6,8,草地,A,2000,好/快,3,102,104,布文,B-/CP2/TT,1128,126,浪漫勇士,蒙面舞會,同工之妙
HDA,Current,26/04/2026,沙田,641,心雄雄,7,14,草地,A,1400,好/快,14,61,13,韋紀力,B/TT,991,118,三軍勇將,喜蓮勁感,一世美麗
HDA,Current,26/04/2026,沙田,639,飲杯,14,14,草地,A,1200,好/快,11,79,55,麥道朗,B/TT,1232,135,增強,傑出雷霆,幸運糖
HDA,Current,26/04/2026,沙田,638,嘉應高昇,1,8,草地,A,1200,好/快,3,140,1,潘頓,,1143,126,嘉應高昇,里見夢境,精算暴雪
HDA,Current,26/04/2026,沙田,638,好友心得,7,8,草地,A,1200,好/快,1,107,410,班德禮,BO-/B1/TT,1205,126,嘉應高昇,里見夢境,精算暴雪
HDA,Current,26/04/2026,沙田,637,孤風潛影,14,14,草地,A,1400,好/快,12,59,285,黃智弘,CP,1020,131,勁勇皇駒,嵐臣,星光快驅
HDA,Current,26/04/2026,沙田,636,幸福約定,4,14,草地,A,1200,好/快,5,52,10,麥道朗,,1089,125,堅先生,天天更好,實力加
HDA,Current,26/04/2026,沙田,635,都靈冠星,3,14,草地,A,1600,好/快,4,60,8.7,潘頓,SR,1026,135,大回報,旌採,都靈冠星
HDA,Current,22/04/2026,跑馬地,633,多威心得,11,12,草地,B,1200,好/快,2,73,161,班德禮,CP,1010,131,快活英雄,志滿同行,金牌活力
HDA,Current,22/04/2026,跑馬地,632,中國心,5,12,草地,B,1800,好/快,2,70,7.7,楊明綸,,1098,125,豐辰,祥勝將軍,奔放
HDA,Current,22/04/2026,跑馬地,629,天外富天,9,12,草地,B,1200,好/快,2,52,25,班德禮,,1203,128,雷神太保,過關勇士,伶俐驫駒
HDA,Current,22/04/2026,跑馬地,628,銳目,1,12,草地,B,1200,好/快,2,51,2.3,潘頓,CP,1058,126,銳目,團長好,競駿非凡
HDA,Current,19/04/2026,沙田,619,艾莉奧,7,14,全天候,,1650,好,8,51,36,班德禮,B/TT,1215,126,花開,林寶精神,盛勢威楓
HDA,Current,19/04/2026,沙田,618,飛躍星伴,12,14,草地,C+3,1600,好/快,14,50,286,霍宏聲,CP,1163,125,超開心,睿智多寶,瑞祺威楓
HDA,Current,19/04/2026,沙田,617,共創歡欣,3,14,草地,C+3,1400,好/快,1,52,12,艾道拿,TT,1301,127,洪才,有情有義,共創歡欣
HDA,Current,19/04/2026,沙田,616,喜行,12,14,草地,C+3,1000,好/快,13,41,31,班德禮,B/TT,1111,116,勝萬金,支付之父,日出東方
HDA,Current,19/04/2026,沙田,614,古惑大師,14,14,全天候,,1800,好,12,32,51,艾道拿,CP/TT,1123,127,領創動力,風起雲湧,開心三多
HDA,Current,15/04/2026,跑馬地,613,天外迎天,6,12,草地,A,1200,好,10,69,9.2,潘頓,B,1133,126,嘉應勇將,關鍵所在,棒棒糖
HDA,Current,15/04/2026,跑馬地,612,榮利雙收,1,11,草地,A,1650,好,7,59,6,班德禮,B,1120,118,榮利雙收,浪漫鬥士,穿甲金鷹
HDA,Current,15/04/2026,跑馬地,611,環球英雄,1,12,草地,A,1200,好,12,48,8.2,班德禮,,1116,123,環球英雄,當家精彩,星運少爵
