trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
LFC,Current,29/04/2026,跑馬地,653,瑪瑙,5,12,草地,C,1650,好,10,76,19,梁家俊,V-/B2,1155,134,穿甲金鷹,魅力知耀,凡凡有餘
LFC,Current,29/04/2026,跑馬地,652,香港仔,6,12,草地,C,1200,好,3,64,6.1,梁家俊,CP/TT,1207,120,踏雪尋梅,東來欣賞,泰泰精神
LFC,Current,29/04/2026,跑馬地,651,天天同樂,1,10,草地,C,1000,好,4,95,6,霍宏聲,TT,1068,125,天天同樂,好評如潮,顏色之皇
LFC,Current,29/04/2026,跑馬地,650,越駿齊歡,4,12,草地,C,1650,好,10,55,61,梁家俊,H1/TT,1101,131,暴風之子,勁進駒,快搏
LFC,Current,29/04/2026,跑馬地,649,方圓星,8,12,草地,C,1200,好,5,55,49,布浩榮,CP/H/TT1,1065,131,電玩精英,巴閉王,銳高
LFC,Current,29/04/2026,跑馬地,648,勝在當下,2,12,草地,C,1200,好/黏,7,42,4.6,田泰安,B,1086,117,紅愛舍,勝在當下,跨境駿馬
LFC,Current,26/04/2026,沙田,644,極上紗瓏,4,14,草地,A,1400,好/快,4,85,2.8,潘明輝,,1171,115,時時歡聲,韋金主,千帆駒
LFC,Current,26/04/2026,沙田,643,八仟財陞,12,14,草地,A,1600,好/快,14,62,33,田泰安,,1086,120,火悟空,開心勇駒,安都
LFC,Current,26/04/2026,沙田,642,數字天文,7,8,草地,A,2000,好/快,4,103,23,梁家俊,XB,1243,126,浪漫勇士,蒙面舞會,同工之妙
LFC,Current,26/04/2026,沙田,641,超勁赤兔,11,14,草地,A,1400,好/快,10,70,6.2,袁幸堯,PC-/H/P2/TT,1150,117,三軍勇將,喜蓮勁感,一世美麗
LFC,Current,26/04/2026,沙田,639,耀寶,7,14,草地,A,1200,好/快,1,73,68,周俊樂,XB/TT,1122,127,增強,傑出雷霆,幸運糖
LFC,Current,26/04/2026,沙田,639,龍虎精神,12,14,草地,A,1200,好/快,7,64,264,梁家俊,XB/TT,1131,122,增強,傑出雷霆,幸運糖
LFC,Current,26/04/2026,沙田,637,幸運威龍,6,14,草地,A,1400,好/快,2,50,10,潘明輝,CP/TT,1342,125,勁勇皇駒,嵐臣,星光快驅
LFC,Current,26/04/2026,沙田,636,天天更好,2,14,草地,A,1200,好/快,8,48,6.2,巴度,H/P/TT,1141,121,堅先生,天天更好,實力加
LFC,Current,26/04/2026,沙田,635,大輝煌,11,14,草地,A,1600,好/快,10,52,30,梁家俊,CP/TT,1220,127,大回報,旌採,都靈冠星
LFC,Current,26/04/2026,沙田,634,活力輝煌,14,14,草地,A,1200,好/快,9,52,271,周俊樂,H-/XB/TT,1160,124,包裝天王,利高八斗,星光大道
LFC,Current,22/04/2026,跑馬地,631,馬力,2,12,草地,B,1000,好/快,2,79,5.3,潘頓,XB/TT,1146,135,領航君子,馬力,富心星
LFC,Current,22/04/2026,跑馬地,630,美麗登場,4,12,草地,B,1000,好/快,8,54,2.7,潘頓,,1195,129,皇者有利,鴻圖新星,天火同人
LFC,Current,22/04/2026,跑馬地,627,本領非凡,2,12,草地,B,1650,好/快,5,58,7.7,何澤堯,TT,1057,134,贏玥,本領非凡,得意佳作
