trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
LKW,Current,29/04/2026,跑馬地,653,雙星報喜,7,12,草地,C,1650,好,7,61,11,班德禮,CP,1249,119,穿甲金鷹,魅力知耀,凡凡有餘
LKW,Current,29/04/2026,跑馬地,652,合夥飛馳,5,12,草地,C,1200,好,8,61,104,楊明綸,XB,1079,116,踏雪尋梅,東來欣賞,泰泰精神
LKW,Current,29/04/2026,跑馬地,651,勇敢巨星,8,10,草地,C,1000,好,3,87,18,楊明綸,XB,1092,117,天天同樂,好評如潮,顏色之皇
LKW,Current,29/04/2026,跑馬地,650,勁進駒,2,12,草地,C,1650,好,12,59,9.4,潘頓,CP,1012,135,暴風之子,勁進駒,快搏
LKW,Current,29/04/2026,跑馬地,649,巴閉王,2,12,草地,C,1200,好,6,58,3.7,黃寶妮,CP/XB,1009,127,電玩精英,巴閉王,銳高
LKW,Current,29/04/2026,跑馬地,648,勇敢孖寶,8,12,草地,C,1200,好/黏,8,42,21,何澤堯,B,1154,119,紅愛舍,勝在當下,跨境駿馬
LKW,Current,29/04/2026,跑馬地,646,君至酷,11,12,草地,C,1200,好/黏,12,52,80,楊明綸,SR1,1135,128,可靠大師,友得盈,至合拍
LKW,Current,26/04/2026,沙田,644,包裝天將,13,14,草地,A,1400,好/快,13,105,58,霍宏聲,B-,1123,135,時時歡聲,韋金主,千帆駒
LKW,Current,26/04/2026,沙田,643,黃金騎士,11,14,草地,A,1600,好/快,10,67,7.1,紀仁安,XB,1156,125,火悟空,開心勇駒,安都
LKW,Current,26/04/2026,沙田,641,哈羅威,10,14,草地,A,1400,好/快,13,61,17,黃寶妮,V/XB,1109,111,三軍勇將,喜蓮勁感,一世美麗
LKW,Current,26/04/2026,沙田,640,百賀飛駒,2,14,草地,A,1600,好/快,14,108,37,韋紀力,,1102,126,祝願,百賀飛駒,港邊小區
LKW,Current,26/04/2026,沙田,640,禪勝輝煌,8,14,草地,A,1600,好/快,9,106,214,班德禮,B/XB,1180,126,祝願,百賀飛駒,港邊小區
LKW,Current,26/04/2026,沙田,640,合夥奔馳,9,14,草地,A,1600,好/快,11,113,115,奧爾民,XB,1120,126,祝願,百賀飛駒,港邊小區
LKW,Current,26/04/2026,沙田,639,傑出雷霆,2,14,草地,A,1200,好/快,6,63,8.4,何澤堯,H1,1183,119,增強,傑出雷霆,幸運糖
LKW,Current,26/04/2026,沙田,637,勁勇皇駒,1,14,草地,A,1400,好/快,4,54,6.1,何澤堯,B/XB,1076,129,勁勇皇駒,嵐臣,星光快驅
LKW,Current,26/04/2026,沙田,634,開心孖寶,7,14,草地,A,1200,好/快,3,58,28,艾道拿,B/TT,1126,132,包裝天王,利高八斗,星光大道
LKW,Current,22/04/2026,跑馬地,632,智勇名駒,8,12,草地,B,1800,好/快,1,72,29,黃寶妮,B/TT,1186,120,豐辰,祥勝將軍,奔放
LKW,Current,22/04/2026,跑馬地,630,尚旋,10,12,草地,B,1000,好/快,3,50,158,何澤堯,XB,1034,125,皇者有利,鴻圖新星,天火同人
LKW,Current,22/04/2026,跑馬地,629,紅錢到,6,12,草地,B,1200,好/快,9,54,11,霍宏聲,H/XB/CP1,1175,130,雷神太保,過關勇士,伶俐驫駒
LKW,Current,22/04/2026,跑馬地,627,同心,11,12,草地,B,1650,好/快,8,55,51,霍宏聲,XB1,1118,131,贏玥,本領非凡,得意佳作
LKW,Current,22/04/2026,跑馬地,625,快活同盟,9,12,草地,B,1200,好/快,12,40,95,奧爾民,XB/CP1,1225,135,獵寶勤,添喜運,戰騎飛
LKW,Current,19/04/2026,沙田,624,天將龍駒,8,14,草地,C+3,1800,好/快,11,96,11,巫顯東,,1191,129,海上大軍,嘉應傳承,春風萬里
LKW,Current,19/04/2026,沙田,623,手機錶勁,1,12,草地,C+3,1200,好/快,6,65,3.9,潘頓,XB,1125,122,手機錶勁,千杯不醉,嘉應奇兵
LKW,Current,19/04/2026,沙田,622,開心三寶,12,12,草地,C+3,1400,好/快,10,69,8.9,霍宏聲,XB,1128,125,首飾天空,大眾福星,超輕鬆
LKW,Current,19/04/2026,沙田,618,江南勇士,4,14,草地,C+3,1600,好/快,7,41,22,蔡明紹,B/TT,1086,116,超開心,睿智多寶,瑞祺威楓
LKW,Current,19/04/2026,沙田,617,超拍檔,12,14,草地,C+3,1400,好/快,12,58,12,周俊樂,CP-/B1,1233,131,洪才,有情有義,共創歡欣
LKW,Current,19/04/2026,沙田,615,巴閉佬,8,12,全天候,,1200,好,12,36,25,奧爾民,CP/XB,1173,132,魅力星,爆熱,城中勇士
LKW,Current,15/04/2026,跑馬地,612,好實力,5,11,草地,A,1650,好,8,74,8.8,霍宏聲,TT,1078,133,榮利雙收,浪漫鬥士,穿甲金鷹
LKW,Current,15/04/2026,跑馬地,611,彩虹七色,4,12,草地,A,1200,好,1,54,4.1,潘頓,B/TT,1064,129,環球英雄,當家精彩,星運少爵
LKW,Current,15/04/2026,跑馬地,610,歷勝,9,10,草地,A,1200,好,8,52,40,楊明綸,H1/TT1,1158,127,勇霸龍,快樂神駒,馬達
LKW,Current,15/04/2026,跑馬地,609,做好自己,2,11,草地,A,1650,好,5,69,3.7,霍宏聲,XB/TT,1025,125,一起美麗,做好自己,知道穩勝
LKW,Current,15/04/2026,跑馬地,607,鬆啲,12,12,草地,A,1650,好,8,55,73,楊明綸,TT,1068,130,凡凡有餘,時間寶,爆竹
LKW,Current,15/04/2026,跑馬地,606,龍又生,6,12,草地,A,1650,好,7,25,3.3,潘頓,B/XB,994,122,富裕君子,東方寶寶,小皇爺
LKW,Current,12/04/2026,沙田,604,閃耀天河,4,12,草地,C,1200,好,5,81,5.2,巴度,XB,1080,116,翠紅,扶搖勢勁,競駿輝煌
LKW,Current,12/04/2026,沙田,603,興馳千里,2,11,草地,C,1200,好,8,72,11,楊明綸,,1076,128,煌上,興馳千里,競駿皇者
LKW,Current,12/04/2026,沙田,601,活力拍檔,1,12,草地,C,1600,好,4,65,5.4,何澤堯,TT,1186,123,活力拍檔,英駿飛駒,魅力知耀
LKW,Current,12/04/2026,沙田,599,櫻花酒杯,3,12,草地,C,1200,好,3,60,1.7,何澤堯,TT,1171,135,精英高球,應龍飛影,櫻花酒杯
LKW,Current,12/04/2026,沙田,598,龍之悅,4,12,草地,C,1200,好,5,58,4.4,楊明綸,H/TT,1118,133,輝灑自如,辣得準,華麗再贏
LKW,Current,12/04/2026,沙田,597,龍傲綾羅,5,14,草地,C,1400,好,8,51,2.1,潘頓,,1190,126,開心老闆,醒目先駒,創寶駒
LKW,Current,08/04/2026,跑馬地,592,安康萬里,12,12,草地,C+3,1200,好,6,73,16,周俊樂,B/TT,1154,130,精彩駿將,富國兄弟,晶晶日上
LKW,Current,08/04/2026,跑馬地,591,雙星報喜,7,12,草地,C+3,1650,好,7,63,13,巴度,CP,1236,118,銀亮奔騰,滿心星,紫辰之星
LKW,Current,08/04/2026,跑馬地,590,快樂共濟,5,12,草地,C+3,1200,好,3,52,6.3,何澤堯,XB,1130,127,富心星,電玩精英,跨境駿馬
LKW,Current,08/04/2026,跑馬地,589,開心孖寶,9,12,草地,C+3,1200,好,10,60,32,艾道拿,B/TT,1106,135,你知我得,朗日自強,三強
LKW,Current,08/04/2026,跑馬地,588,勁進駒,2,12,草地,C+3,1650,好,8,58,3.9,潘頓,CP,1011,134,喜馬,勁進駒,榮利雙收
