trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
MKL,Current,29/04/2026,跑馬地,652,開心指數,9,12,草地,C,1200,好,12,78,8.6,布文,TT,1190,133,踏雪尋梅,東來欣賞,泰泰精神
MKL,Current,29/04/2026,跑馬地,649,銳高,3,12,草地,C,1200,好,2,40,9.6,蔡明紹,B-/TT,1195,116,電玩精英,巴閉王,銳高
MKL,Current,29/04/2026,跑馬地,648,朗日自強,5,12,草地,C,1200,好/黏,10,53,16,周俊樂,V/TT,1288,126,紅愛舍,勝在當下,跨境駿馬
MKL,Current,29/04/2026,跑馬地,647,雙贏,2,12,草地,C,2200,好/黏,7,51,14,何澤堯,V/XB/TT,1136,129,佰勝金龍,雙贏,富喜來
MKL,Current,29/04/2026,跑馬地,646,皇帝英豪,8,12,草地,C,1200,好/黏,3,47,5.1,何澤堯,SR/TT,1070,123,可靠大師,友得盈,至合拍
MKL,Current,29/04/2026,跑馬地,645,鼓浪飛凡,6,12,草地,C,1800,好/黏,4,16,40,鍾易禮,B/TT,1092,113,滿洛城,揚威四海,富裕君子
MKL,Current,26/04/2026,沙田,644,英雄豪傑,14,14,草地,A,1400,好/快,10,81,160,黃寶妮,B/TT,1222,108,時時歡聲,韋金主,千帆駒
MKL,Current,26/04/2026,沙田,641,潮州精神,12,14,草地,A,1400,好/快,12,77,67,巴度,B2/TT,1193,134,三軍勇將,喜蓮勁感,一世美麗
MKL,Current,26/04/2026,沙田,640,金鑽貴人,11,14,草地,A,1600,好/快,4,123,5.8,梁家俊,,1203,126,祝願,百賀飛駒,港邊小區
MKL,Current,26/04/2026,沙田,639,綫路滿貫,5,14,草地,A,1200,好/快,3,79,37,黃寶妮,TT,1158,128,增強,傑出雷霆,幸運糖
MKL,Current,26/04/2026,沙田,637,機械之星,7,14,草地,A,1400,好/快,10,59,8.9,布文,CP-/B1,1045,134,勁勇皇駒,嵐臣,星光快驅
MKL,Current,26/04/2026,沙田,636,領駿輝煌,10,14,草地,A,1200,好/快,6,52,51,周俊樂,TT1,1173,123,堅先生,天天更好,實力加
MKL,Current,22/04/2026,跑馬地,633,志滿同行,2,12,草地,B,1200,好/快,4,77,3.4,潘頓,SR/TT,1157,135,快活英雄,志滿同行,金牌活力
MKL,Current,22/04/2026,跑馬地,631,品德寶寶,6,12,草地,B,1000,好/快,11,69,9.2,巴度,V/TT,1291,125,領航君子,馬力,富心星
MKL,Current,22/04/2026,跑馬地,630,電子好好,11,12,草地,B,1000,好/快,10,59,126,梁家俊,TT,1251,134,皇者有利,鴻圖新星,天火同人
MKL,Current,22/04/2026,跑馬地,628,良駒好友,6,12,草地,B,1200,好/快,4,51,10,何澤堯,B/TT,1185,126,銳目,團長好,競駿非凡
MKL,Current,19/04/2026,沙田,624,錶之宇宙,11,14,草地,C+3,1800,好/快,4,92,3.5,潘頓,B/TT,1281,127,海上大軍,嘉應傳承,春風萬里
MKL,Current,19/04/2026,沙田,623,官金騏,8,12,草地,C+3,1200,好/快,7,62,5.6,艾兆禮,,1136,119,手機錶勁,千杯不醉,嘉應奇兵
MKL,Current,19/04/2026,沙田,621,錶之極光,2,9,全天候,,1200,好,4,80,3.1,布文,V/TT,1253,130,德心知遇,錶之極光,天福
MKL,Current,19/04/2026,沙田,620,起舞奜奜,5,12,全天候,,1200,好,8,51,4,艾兆禮,V,1089,126,觀眾之力,穿甲戰鷹,光年程祥
MKL,Current,19/04/2026,沙田,619,花開,1,14,全天候,,1650,好,3,48,22,艾兆禮,B,1060,123,花開,林寶精神,盛勢威楓
MKL,Current,19/04/2026,沙田,618,熒光,14,14,草地,C+3,1600,好/快,5,60,212,黃智弘,TT,1076,132,超開心,睿智多寶,瑞祺威楓
MKL,Current,19/04/2026,沙田,616,馬運高,6,14,草地,C+3,1000,好/快,3,52,6.5,潘明輝,TT1,1209,127,勝萬金,支付之父,日出東方
MKL,Current,19/04/2026,沙田,614,閃耀威龍,9,14,全天候,,1800,好,7,38,24,蔡明紹,B/TT,1100,133,領創動力,風起雲湧,開心三多
MKL,Current,15/04/2026,跑馬地,606,魔法速遞,9,12,草地,A,1650,好,12,35,6.6,布文,XB,1101,132,富裕君子,東方寶寶,小皇爺
MKL,Current,12/04/2026,沙田,604,自強不息,12,12,草地,C,1200,好,2,95,59,黃寶妮,B/TT,1114,123,翠紅,扶搖勢勁,競駿輝煌
MKL,Current,12/04/2026,沙田,602,確好勁,10,12,草地,C,1400,好,6,64,3.3,周俊樂,H/TT,1096,120,重情重義,安泰,亨驥
MKL,Current,12/04/2026,沙田,600,金津寶駒,12,14,草地,C,1400,好,12,50,283,何澤堯,,1187,125,豐功偉績,哥倫布,自動自覺
MKL,Current,12/04/2026,沙田,598,紅海風帆,8,12,草地,C,1200,好,1,41,8.9,黃寶妮,TT,1152,109,輝灑自如,辣得準,華麗再贏
MKL,Current,12/04/2026,沙田,597,金運齊來,9,14,草地,C,1400,好,1,48,145,梁家俊,,1153,123,開心老闆,醒目先駒,創寶駒
MKL,Current,12/04/2026,沙田,596,籐王駒,11,14,草地,C,1600,好,11,38,33,何澤堯,CP/TT,1087,134,金鑽精靈,威威父子,極速之子
MKL,Current,12/04/2026,沙田,595,鼓浪飛凡,7,14,草地,C,1400,好,14,18,161,鍾易禮,B/TT,1093,113,劍無情,怡昌奇兵,順善寶
MKL,Current,08/04/2026,跑馬地,589,朗日自強,2,12,草地,C+3,1200,好,1,52,5.3,黃寶妮,V/TT,1292,120,你知我得,朗日自強,三強
MKL,Current,08/04/2026,跑馬地,587,怪獸波士,11,12,草地,C+3,1000,好,12,46,184,何澤堯,TT1,1038,121,財將,美麗登場,巴閉王
MKL,Current,08/04/2026,跑馬地,586,佳福駒,5,12,草地,C+3,1650,好,1,53,35,何澤堯,B/TT,1229,130,上浦福旺,隨緣得勝,耀昌勝世
MKL,Current,08/04/2026,跑馬地,585,輕鬆大少,3,12,草地,C+3,1200,好,2,33,4.6,周俊樂,B/TT,1004,123,有情有義,千杯,輕鬆大少
MKL,Current,06/04/2026,沙田,582,金鑽貴人,1,14,草地,B+2,1600,好,10,122,3.9,梁家俊,,1194,123,金鑽貴人,祝願,遨遊氣泡
MKL,Current,06/04/2026,沙田,577,機械之星,2,14,草地,B+2,1400,好,7,59,13,布文,CP,1047,134,文明福星,機械之星,明亮天下
MKL,Current,06/04/2026,沙田,575,機械騎士,3,14,草地,B+2,1200,好,11,34,29,黃寶妮,B/TT,1100,122,紅旺繽紛,果然僥倖,機械騎士
MKL,Current,06/04/2026,沙田,574,閃電小子,2,14,草地,B+2,1000,好,5,60,1.5,潘頓,TT,1074,135,飛來霸,閃電小子,極速神影
MKL,Current,01/04/2026,沙田,573,紅海勁,10,14,全天候,,1650,好,2,60,53,黃寶妮,B/TT,1144,108,將睿,精英雄心,安泰
MKL,Current,01/04/2026,沙田,572,錶之極光,2,10,全天候,,1200,好,10,78,6,布文,V/TT,1257,128,樂勝天下,錶之極光,友愛心得
MKL,Current,01/04/2026,沙田,572,電子好好,6,10,全天候,,1200,好,9,60,36,黃寶妮,TT,1244,108,樂勝天下,錶之極光,友愛心得
MKL,Current,01/04/2026,沙田,571,良駒好友,5,12,全天候,,1200,好,8,52,33,梁家俊,B/TT,1180,127,八駿福昇,勇者無敵,天天耍樂
MKL,Current,01/04/2026,沙田,570,起舞奜奜,2,12,全天候,,1200,好,12,49,4.8,艾兆禮,V,1081,124,贏得自然,起舞奜奜,飛輪霸
MKL,Current,01/04/2026,沙田,567,花開,9,14,全天候,,1650,好,2,50,23,潘明輝,B,1052,126,風繼續吹,奮鬥心,火神神樂
MKL,Current,01/04/2026,沙田,566,閃耀威龍,12,14,全天候,,1650,好,13,40,29,潘明輝,B/TT,1092,135,光輝歲月,大利好運,朗日雪峰
MKL,Current,29/03/2026,沙田,563,開心指數,3,13,草地,A+3,1200,好/快,11,78,6.3,潘頓,TT1,1184,135,扶搖勢勁,增強,開心指數
MKL,Current,29/03/2026,沙田,562,錶之星河,2,10,草地,A+3,1200,好/快,2,92,10,布文,TT,1184,129,競駿輝煌,錶之星河,燈胆將軍
MKL,Current,29/03/2026,沙田,560,君子,13,14,草地,A+3,1200,好/快,6,56,258,鍾易禮,CP/H/TT,1160,132,天天更好,銳目,烈焰光芒
MKL,Current,29/03/2026,沙田,559,種得好,12,14,草地,A+3,1400,好/快,12,50,94,梁家俊,,1117,126,勁勇皇駒,馬上盈,綫路萬里
MKL,Current,29/03/2026,沙田,556,雙贏,5,12,草地,A+3,2000,好/快,9,52,22,何澤堯,V/XB/TT,1140,128,同益善,風火恆雲,禾道威
MKL,Current,29/03/2026,沙田,555,志善思源,13,14,草地,A+3,1400,好/快,4,57,157,何澤堯,H/TT,1181,134,盛勢威楓,龍傲綾羅,文武全能
MKL,Previous,16/07/2025,跑馬地,847,騰龍四海,6,12,草地,B,1200,好/快,8,80,5.5,潘頓,B,1178,135,至尊瑰寶,勇霸龍,維港激流
MKL,Previous,16/07/2025,跑馬地,846,自強不息,11,12,草地,B,1200,好/快,8,83,67,鍾易禮,TT,1090,113,美麗第一,好友心得,晨曦儷人
MKL,Previous,16/07/2025,跑馬地,844,超平凡,12,12,草地,B,1650,好/快,10,58,50,賀銘年,CP/TT,1140,133,奔妙星,北海盜,爭金奪冠
MKL,Previous,16/07/2025,跑馬地,843,綫路光驊,9,12,草地,B,1200,好/快,5,42,4.7,潘明輝,B/TT,1175,118,智勝攻略,可靠大師,鴻圖新星
MKL,Previous,16/07/2025,跑馬地,842,金鑽八十,12,12,草地,B,1800,好/快,7,46,35,黃智弘,B/TT,1135,117,三江飛輪,美麗歡聲,奮鬥心
MKL,Previous,16/07/2025,跑馬地,841,星鑽貴人,11,12,草地,B,1200,好/快,11,52,70,董明朗,TT1,1250,127,星火燎原,星辰千帥,一生好彩
MKL,Previous,16/07/2025,跑馬地,840,良駒好友,4,11,草地,B,1200,好/快,5,48,17,霍宏聲,CP/TT,1180,123,仁仁有餘,紅錢到,東來欣賞
MKL,Previous,16/07/2025,跑馬地,839,威德勇士,10,12,草地,B,1200,好/快,10,35,165,湯普新,,1074,130,伶俐驫駒,快樂奇兵,花好月盈
MKL,Previous,13/07/2025,沙田,838,確好勁,12,14,草地,A,1400,好/快,11,74,43,梁家俊,TT,1107,131,美麗星晨,勇冠群英,泰泰精神
MKL,Previous,13/07/2025,沙田,837,好好飛,7,14,草地,A,1200,好/快,10,63,156,潘明輝,,1147,120,星月飛雲,小鳥天堂,魅力寶駒
MKL,Previous,13/07/2025,沙田,836,傲視同群,13,14,草地,A,1600,好/快,13,75,87,黃寶妮,B/TT,1090,116,大浪圖田,英駿飛駒,增有
MKL,Previous,13/07/2025,沙田,834,紅海風帆,10,14,草地,A,1200,好/快,5,41,7.1,黃寶妮,TT,1167,109,燈胆將軍,勝多多,團結勇士
MKL,Previous,13/07/2025,沙田,829,綫路神驊,1,13,草地,A,1400,好/快,11,40,2.1,潘頓,B/TT,1020,135,綫路神驊,朗日雪峰,快樂老撾
MKL,Previous,09/07/2025,跑馬地,825,銳高,10,12,草地,A,1200,好/快,12,48,8.8,周俊樂,TT,1183,121,祥勝力駒,天外迎天,領航財子
MKL,Previous,09/07/2025,跑馬地,823,都靈勇士,9,12,草地,A,1650,好/快,6,53,26,霍宏聲,XB,1117,128,赤馬雄風,勁進駒,川河首駒
