trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
MWK,Current,29/04/2026,跑馬地,653,翠兒威威,8,12,草地,C,1650,好,12,64,27,周俊樂,CP/TT,1153,121,穿甲金鷹,魅力知耀,凡凡有餘
MWK,Current,29/04/2026,跑馬地,652,喵喵怪,4,12,草地,C,1200,好,4,60,5.3,巴度,CP/SR/TT,1097,115,踏雪尋梅,東來欣賞,泰泰精神
MWK,Current,29/04/2026,跑馬地,651,魔術控制,5,10,草地,C,1000,好,1,89,7.1,田泰安,B2/TT,1072,119,天天同樂,好評如潮,顏色之皇
MWK,Current,29/04/2026,跑馬地,650,浪漫老撾,6,12,草地,C,1650,好,4,59,9.6,布浩榮,CP/TT,1183,135,暴風之子,勁進駒,快搏
MWK,Current,29/04/2026,跑馬地,648,悠然常勝,10,12,草地,C,1200,好/黏,11,50,93,布浩榮,H/P/TT,1018,125,紅愛舍,勝在當下,跨境駿馬
MWK,Current,29/04/2026,跑馬地,647,佰勝金龍,1,12,草地,C,2200,好/黏,6,43,88,梁家俊,BO/TT,1078,121,佰勝金龍,雙贏,富喜來
MWK,Current,29/04/2026,跑馬地,647,揀馬之皇,12,12,草地,C,2200,好/黏,11,52,126,周俊樂,B/TT,1016,128,佰勝金龍,雙贏,富喜來
MWK,Current,29/04/2026,跑馬地,646,凱皇寶,5,12,草地,C,1200,好/黏,8,58,35,梁家俊,V1/TT,1104,134,可靠大師,友得盈,至合拍
MWK,Current,29/04/2026,跑馬地,645,快樂之友,7,12,草地,C,1800,好/黏,12,36,58,梁家俊,CP/TT,1039,133,滿洛城,揚威四海,富裕君子
MWK,Current,26/04/2026,沙田,644,會當凌,10,14,草地,A,1400,好/快,14,88,48,周俊樂,TT,1177,118,時時歡聲,韋金主,千帆駒
MWK,Current,26/04/2026,沙田,643,風將,10,14,草地,A,1600,好/快,4,76,19,薛凱華,H/TT,1099,134,火悟空,開心勇駒,安都
MWK,Current,26/04/2026,沙田,641,加州熱浪,5,14,草地,A,1400,好/快,7,61,25,田泰安,V/XB/TT,1110,118,三軍勇將,喜蓮勁感,一世美麗
MWK,Current,26/04/2026,沙田,639,幸運糖,3,14,草地,A,1200,好/快,12,61,23,巴度,TT,1182,117,增強,傑出雷霆,幸運糖
MWK,Current,26/04/2026,沙田,637,嵐臣,2,14,草地,A,1400,好/快,7,55,11,布浩榮,CP1,1154,130,勁勇皇駒,嵐臣,星光快驅
MWK,Current,26/04/2026,沙田,636,超和平,8,14,草地,A,1200,好/快,1,59,2.4,梁家俊,TT,1079,132,堅先生,天天更好,實力加
MWK,Current,22/04/2026,跑馬地,633,非凡豪傑,6,12,草地,B,1200,好/快,12,74,53,布文,XB/CP1/TT,1012,132,快活英雄,志滿同行,金牌活力
MWK,Current,22/04/2026,跑馬地,630,妙玲瓏,12,12,草地,B,1000,好/快,9,40,83,巴度,B/TT,1140,116,皇者有利,鴻圖新星,天火同人
MWK,Current,22/04/2026,跑馬地,629,小魔怪,4,12,草地,B,1200,好/快,7,47,5.8,梁家俊,H/TT,1133,123,雷神太保,過關勇士,伶俐驫駒
MWK,Current,22/04/2026,跑馬地,628,幸運愉快,5,12,草地,B,1200,好/快,12,52,4.5,潘明輝,H/TT,1100,127,銳目,團長好,競駿非凡
MWK,Current,22/04/2026,跑馬地,627,贏玥,1,12,草地,B,1650,好/快,7,50,6.2,布浩榮,B/TT,1160,126,贏玥,本領非凡,得意佳作
MWK,Current,22/04/2026,跑馬地,626,幸運福星,7,11,草地,B,1650,好/快,12,37,67,黃智弘,CP/TT,1076,130,焦點,神駒馬靈,風雲
MWK,Current,22/04/2026,跑馬地,625,快樂寶寶,5,12,草地,B,1200,好/快,7,35,10,梁家俊,H/TT1,1043,130,獵寶勤,添喜運,戰騎飛
MWK,Current,19/04/2026,沙田,623,小磁怪,10,12,草地,C+3,1200,好/快,3,64,70,田泰安,CP-/SR1/XB1/TT1,1249,121,手機錶勁,千杯不醉,嘉應奇兵
MWK,Current,19/04/2026,沙田,622,和光同塵,5,12,草地,C+3,1400,好/快,1,63,93,蔡明紹,B/TT,1047,119,首飾天空,大眾福星,超輕鬆
