trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
NM,Current,29/04/2026,跑馬地,653,穿甲金鷹,1,12,草地,C,1650,好,4,65,2.8,潘頓,B,1059,123,穿甲金鷹,魅力知耀,凡凡有餘
NM,Current,29/04/2026,跑馬地,652,駿跑得,11,12,草地,C,1200,好,7,80,30,霍宏聲,,1137,135,踏雪尋梅,東來欣賞,泰泰精神
NM,Current,29/04/2026,跑馬地,651,年少多好,10,10,草地,C,1000,好,6,79,10,蔡明紹,SR/V/TT,1062,115,天天同樂,好評如潮,顏色之皇
NM,Current,29/04/2026,跑馬地,648,祥勝力駒,6,12,草地,C,1200,好/黏,1,50,7.3,霍宏聲,B,1101,125,紅愛舍,勝在當下,跨境駿馬
NM,Current,26/04/2026,沙田,644,晒冷,9,14,草地,A,1400,好/快,3,89,39,希威森,,1085,119,時時歡聲,韋金主,千帆駒
NM,Current,26/04/2026,沙田,643,一生好彩,5,14,草地,A,1600,好/快,6,76,11,周俊樂,XB,1186,132,火悟空,開心勇駒,安都
NM,Current,26/04/2026,沙田,640,祝願,1,14,草地,A,1600,好/快,10,121,5.4,布文,XB,1011,126,祝願,百賀飛駒,港邊小區
NM,Current,26/04/2026,沙田,640,白鷺金剛,4,14,草地,A,1600,好/快,5,107,9.8,麥道朗,,1131,126,祝願,百賀飛駒,港邊小區
NM,Current,26/04/2026,沙田,637,部族高手,4,14,草地,A,1400,好/快,13,48,4.5,周俊樂,TT,1239,121,勁勇皇駒,嵐臣,星光快驅
NM,Current,26/04/2026,沙田,636,鋁神,6,14,草地,A,1200,好/快,7,54,20,奧爾民,XB1/TT-,1106,127,堅先生,天天更好,實力加
NM,Current,26/04/2026,沙田,635,綫路福將,7,14,草地,A,1600,好/快,12,49,9.9,周俊樂,TT,1168,122,大回報,旌採,都靈冠星
NM,Current,22/04/2026,跑馬地,632,祥勝將軍,2,12,草地,B,1800,好/快,11,62,3,潘頓,XB,1097,119,豐辰,祥勝將軍,奔放
NM,Current,22/04/2026,跑馬地,629,天下寵兒,8,12,草地,B,1200,好/快,11,45,17,周俊樂,TT,1097,120,雷神太保,過關勇士,伶俐驫駒
