trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
RW,Current,29/04/2026,跑馬地,653,椒椒醒,12,12,草地,C,1650,好,5,64,77,蔡明紹,,1214,122,穿甲金鷹,魅力知耀,凡凡有餘
RW,Current,29/04/2026,跑馬地,649,雷神太保,4,12,草地,C,1200,好,8,51,2.5,潘頓,,1083,127,電玩精英,巴閉王,銳高
RW,Current,29/04/2026,跑馬地,648,佳運發,11,12,草地,C,1200,好/黏,3,46,30,黃寶妮,,1165,114,紅愛舍,勝在當下,跨境駿馬
RW,Current,29/04/2026,跑馬地,647,夢照發,5,12,草地,C,2200,好/黏,12,41,4.7,巴度,,1145,119,佰勝金龍,雙贏,富喜來
RW,Current,26/04/2026,沙田,639,冷娃,4,14,草地,A,1200,好/快,13,73,2.8,潘頓,CP/TT,1112,129,增強,傑出雷霆,幸運糖
RW,Current,26/04/2026,沙田,637,星光快驅,3,14,草地,A,1400,好/快,8,46,54,艾道拿,CP2,1083,121,勁勇皇駒,嵐臣,星光快驅
RW,Current,26/04/2026,沙田,636,金創福威,9,14,草地,A,1200,好/快,10,55,76,楊明綸,B/TT,1304,128,堅先生,天天更好,實力加
RW,Current,26/04/2026,沙田,635,大回報,1,14,草地,A,1600,好/快,3,51,3.6,巴度,H/TT,1112,126,大回報,旌採,都靈冠星
RW,Current,26/04/2026,沙田,634,馬馳登,4,14,草地,A,1200,好/快,2,60,9.4,薛凱華,CP-/TT,1193,134,包裝天王,利高八斗,星光大道
RW,Current,22/04/2026,跑馬地,633,快活英雄,1,12,草地,B,1200,好/快,6,68,14,巴度,B/TT,1203,126,快活英雄,志滿同行,金牌活力
RW,Current,22/04/2026,跑馬地,630,萬眾開心,6,12,草地,B,1000,好/快,5,41,17,艾兆禮,P/TT,1190,116,皇者有利,鴻圖新星,天火同人
RW,Current,22/04/2026,跑馬地,629,雷神太保,1,12,草地,B,1200,好/快,1,44,2.2,潘頓,CP-,1067,120,雷神太保,過關勇士,伶俐驫駒
RW,Current,22/04/2026,跑馬地,627,極速滿貫,9,12,草地,B,1650,好/快,2,46,17,希威森,B2,1057,122,贏玥,本領非凡,得意佳作
RW,Current,22/04/2026,跑馬地,625,跑得好快,12,12,草地,B,1200,好/快,9,39,12,布文,PC-/TT,1168,134,獵寶勤,添喜運,戰騎飛
RW,Current,19/04/2026,沙田,623,有備而戰,9,12,草地,C+3,1200,好/快,11,65,152,楊明綸,TT,1205,122,手機錶勁,千杯不醉,嘉應奇兵
RW,Current,19/04/2026,沙田,620,活得健康,12,12,全天候,,1200,好,5,45,240,鍾易禮,CP-/B1/TT,1231,118,觀眾之力,穿甲戰鷹,光年程祥
RW,Current,19/04/2026,沙田,618,睿智多寶,2,14,草地,C+3,1600,好/快,6,55,5.7,艾道拿,V/TT,1224,130,超開心,睿智多寶,瑞祺威楓
RW,Current,19/04/2026,沙田,617,超智多寶,10,14,草地,C+3,1400,好/快,4,42,69,楊明綸,B/TT,1190,117,洪才,有情有義,共創歡欣
RW,Current,19/04/2026,沙田,615,城中勇士,3,12,全天候,,1200,好,8,30,18,黃寶妮,B/TT,1103,119,魅力星,爆熱,城中勇士
RW,Current,15/04/2026,跑馬地,611,潮流勇駒,10,12,草地,A,1200,好,10,52,71,布文,,1155,127,環球英雄,當家精彩,星運少爵
RW,Current,15/04/2026,跑馬地,610,勇霸龍,1,10,草地,A,1200,好,11,60,7.5,布文,B2/TT,1233,135,勇霸龍,快樂神駒,馬達
RW,Current,15/04/2026,跑馬地,608,夢照發,3,12,草地,A,1800,好,6,40,7.7,艾兆禮,,1164,115,香港神駒,竣誠駒,夢照發
RW,Current,15/04/2026,跑馬地,607,極速滿貫,9,12,草地,A,1650,好,4,48,28,奧爾民,,1060,123,凡凡有餘,時間寶,爆竹
RW,Current,12/04/2026,沙田,603,怡昌光輝,6,11,草地,C,1200,好,2,64,12,巴度,CP/TT,1212,120,煌上,興馳千里,競駿皇者
RW,Current,12/04/2026,沙田,599,笑必勝,6,12,草地,C,1200,好,4,52,13,艾道拿,TT1,1068,127,精英高球,應龍飛影,櫻花酒杯
RW,Current,12/04/2026,沙田,597,創寶駒,3,14,草地,C,1400,好,9,54,4.4,艾道拿,B/TT,1168,129,開心老闆,醒目先駒,創寶駒
RW,Current,12/04/2026,沙田,596,不假外求,5,14,草地,C,1600,好,14,15,48,巫顯東,B/TT,1083,113,金鑽精靈,威威父子,極速之子
RW,Current,08/04/2026,跑馬地,593,赤海,11,12,草地,C+3,1200,好,12,72,8.9,潘頓,CP1/TT,1113,130,俏眼光,人和家興,喵喵怪
RW,Current,08/04/2026,跑馬地,592,椒椒醒,11,12,草地,C+3,1200,好,1,66,24,巴度,B-/XB-,1198,125,精彩駿將,富國兄弟,晶晶日上
RW,Current,08/04/2026,跑馬地,590,佳運發,12,12,草地,C+3,1200,好,11,48,102,黃寶妮,,1178,116,富心星,電玩精英,跨境駿馬
RW,Current,08/04/2026,跑馬地,589,星光快驅,10,12,草地,C+3,1200,好,7,48,17,艾兆禮,B-/TT-,1090,123,你知我得,朗日自強,三強
