trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
SCS,Current,29/04/2026,跑馬地,653,凡凡有餘,3,12,草地,C,1650,好,6,66,12,布浩榮,XB/TT,1210,124,穿甲金鷹,魅力知耀,凡凡有餘
SCS,Current,29/04/2026,跑馬地,650,上浦福旺,10,12,草地,C,1650,好,9,54,8.1,鍾易禮,CP/TT,1055,128,暴風之子,勁進駒,快搏
SCS,Current,29/04/2026,跑馬地,649,有盈勇士,6,12,草地,C,1200,好,3,47,16,鍾易禮,B/TT,1129,121,電玩精英,巴閉王,銳高
SCS,Current,29/04/2026,跑馬地,648,閃電星福,9,12,草地,C,1200,好/黏,12,45,66,金誠剛,H-/TT,1127,120,紅愛舍,勝在當下,跨境駿馬
SCS,Current,29/04/2026,跑馬地,647,富喜來,3,12,草地,C,2200,好/黏,8,45,12,艾道拿,B/TT,1110,123,佰勝金龍,雙贏,富喜來
SCS,Current,29/04/2026,跑馬地,646,至合拍,3,12,草地,C,1200,好/黏,7,52,12,周俊樂,TT,1053,126,可靠大師,友得盈,至合拍
SCS,Current,26/04/2026,沙田,642,浪漫勇士,1,8,草地,A,2000,好/快,5,136,1.3,麥道朗,TT,1164,126,浪漫勇士,蒙面舞會,同工之妙
SCS,Current,26/04/2026,沙田,636,大勇勝,11,14,草地,A,1200,好/快,4,52,30,希威森,TT1,1108,125,堅先生,天天更好,實力加
SCS,Current,26/04/2026,沙田,634,包裝天王,1,14,草地,A,1200,好/快,8,48,3.3,潘頓,TT1,1133,122,包裝天王,利高八斗,星光大道
SCS,Current,22/04/2026,跑馬地,633,好節拍,10,12,草地,B,1200,好/快,11,75,18,周俊樂,CP/TT,1184,131,快活英雄,志滿同行,金牌活力
SCS,Current,22/04/2026,跑馬地,631,贏完又贏,12,12,草地,B,1000,好/快,8,65,132,巫顯東,TT,1089,119,領航君子,馬力,富心星
SCS,Current,22/04/2026,跑馬地,630,皇者有利,1,12,草地,B,1000,好/快,12,59,6.8,黃智弘,TT,1082,131,皇者有利,鴻圖新星,天火同人
SCS,Current,22/04/2026,跑馬地,629,過關勇士,2,12,草地,B,1200,好/快,4,41,5.2,希威森,B/TT,989,117,雷神太保,過關勇士,伶俐驫駒
