trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
SJJ,Current,29/04/2026,跑馬地,652,泰泰精神,3,12,草地,C,1200,好,9,61,16,田泰安,,1058,116,踏雪尋梅,東來欣賞,泰泰精神
SJJ,Current,29/04/2026,跑馬地,651,星際快車,6,10,草地,C,1000,好,9,105,13,艾道拿,B,1139,135,天天同樂,好評如潮,顏色之皇
SJJ,Current,29/04/2026,跑馬地,648,跨境駿馬,3,12,草地,C,1200,好/黏,5,60,2.8,潘頓,B,1148,135,紅愛舍,勝在當下,跨境駿馬
SJJ,Current,29/04/2026,跑馬地,645,幸運同行,4,12,草地,C,1800,好/黏,5,33,3.6,布文,B,1014,130,滿洛城,揚威四海,富裕君子
SJJ,Current,26/04/2026,沙田,644,至尊高超,6,14,草地,A,1400,好/快,9,81,12,韋紀力,H,1019,115,時時歡聲,韋金主,千帆駒
SJJ,Current,26/04/2026,沙田,643,安都,3,14,草地,A,1600,好/快,8,74,5.5,韋紀力,E/TT,1152,132,火悟空,開心勇駒,安都
SJJ,Current,26/04/2026,沙田,641,一世美麗,3,14,草地,A,1400,好/快,11,71,3.4,潘頓,H,1219,128,三軍勇將,喜蓮勁感,一世美麗
SJJ,Current,26/04/2026,沙田,640,紅運帝王,14,14,草地,A,1600,好/快,8,114,89,艾兆禮,B1,1176,126,祝願,百賀飛駒,港邊小區
SJJ,Current,26/04/2026,沙田,639,健康快車,11,14,草地,A,1200,好/快,2,73,11,艾兆禮,E,1132,129,增強,傑出雷霆,幸運糖
SJJ,Current,26/04/2026,沙田,638,精算暴雪,3,8,草地,A,1200,好/快,7,113,345,艾道拿,P,1119,126,嘉應高昇,里見夢境,精算暴雪
SJJ,Current,26/04/2026,沙田,638,驕陽明駒,6,8,草地,A,1200,好/快,6,122,135,布文,,1144,126,嘉應高昇,里見夢境,精算暴雪
SJJ,Current,22/04/2026,跑馬地,633,真心傳奇,9,12,草地,B,1200,好/快,7,77,25,布浩榮,,981,135,快活英雄,志滿同行,金牌活力
SJJ,Current,22/04/2026,跑馬地,630,鴻圖新星,2,12,草地,B,1000,好/快,1,52,7.8,布文,E,1074,127,皇者有利,鴻圖新星,天火同人
SJJ,Current,22/04/2026,跑馬地,628,眼健康,8,12,草地,B,1200,好/快,1,44,17,艾兆禮,B/TT,1081,119,銳目,團長好,競駿非凡
SJJ,Current,22/04/2026,跑馬地,626,魅力知福,5,11,草地,B,1650,好/快,7,36,28,金誠剛,B/TT,1139,132,焦點,神駒馬靈,風雲
SJJ,Current,22/04/2026,跑馬地,625,獵寶勤,1,12,草地,B,1200,好/快,1,36,4.7,艾兆禮,B/TT,1051,131,獵寶勤,添喜運,戰騎飛
SJJ,Current,19/04/2026,沙田,624,海上大軍,1,14,草地,C+3,1800,好/快,8,75,15,田泰安,,977,115,海上大軍,嘉應傳承,春風萬里
SJJ,Current,19/04/2026,沙田,623,綠野飛馳,6,12,草地,C+3,1200,好/快,12,77,2.8,艾道拿,B1/TT,1127,134,手機錶勁,千杯不醉,嘉應奇兵
SJJ,Current,19/04/2026,沙田,622,首飾天空,1,12,草地,C+3,1400,好/快,5,79,4.8,布文,,1118,135,首飾天空,大眾福星,超輕鬆
SJJ,Current,19/04/2026,沙田,621,德心知遇,1,9,全天候,,1200,好,2,63,14,田泰安,E/PC/TT,1194,115,德心知遇,錶之極光,天福
SJJ,Current,19/04/2026,沙田,617,競駿傳奇,7,14,草地,C+3,1400,好/快,8,41,139,鍾易禮,B,1133,114,洪才,有情有義,共創歡欣
SJJ,Current,19/04/2026,沙田,616,步步合拍,10,14,草地,C+3,1000,好/快,2,52,57,布文,,1186,127,勝萬金,支付之父,日出東方
SJJ,Current,19/04/2026,沙田,615,魅力星,1,12,全天候,,1200,好,2,34,14,田泰安,H/P/TT,1184,130,魅力星,爆熱,城中勇士
SJJ,Current,19/04/2026,沙田,614,大利好運,5,14,全天候,,1800,好,8,33,6.6,布文,E/PC/TT,1096,128,領創動力,風起雲湧,開心三多
SJJ,Current,15/04/2026,跑馬地,613,福星小子,8,12,草地,A,1200,好,12,69,7.9,艾兆禮,,998,126,嘉應勇將,關鍵所在,棒棒糖
SJJ,Current,15/04/2026,跑馬地,611,八仟好運,7,12,草地,A,1200,好,2,58,8.3,艾兆禮,,1097,133,環球英雄,當家精彩,星運少爵
SJJ,Current,15/04/2026,跑馬地,609,一起美麗,1,11,草地,A,1650,好,7,79,5,潘頓,,1219,135,一起美麗,做好自己,知道穩勝
SJJ,Current,15/04/2026,跑馬地,608,安可,8,12,草地,A,1800,好,9,60,3,潘頓,,1061,135,香港神駒,竣誠駒,夢照發
SJJ,Current,15/04/2026,跑馬地,607,先到先得,6,12,草地,A,1650,好,2,49,6.9,艾道拿,B,1156,124,凡凡有餘,時間寶,爆竹
SJJ,Current,15/04/2026,跑馬地,605,鄉村樂韻,5,12,草地,A,1000,好,5,38,14,奧爾民,E,1153,135,喆喆友福,銀亮濠俠,辣得金
SJJ,Current,12/04/2026,沙田,604,競駿輝煌,3,12,草地,C,1200,好,7,91,6,布文,B,1154,126,翠紅,扶搖勢勁,競駿輝煌
SJJ,Current,12/04/2026,沙田,603,跨境寶馬,5,11,草地,C,1200,好,10,79,3.9,奧爾民,B1/TT,1232,135,煌上,興馳千里,競駿皇者
SJJ,Current,12/04/2026,沙田,602,安泰,2,12,草地,C,1400,好,8,68,6.6,潘頓,P-/XB,1077,126,重情重義,安泰,亨驥
SJJ,Current,12/04/2026,沙田,601,安都,8,12,草地,C,1600,好,1,74,2.8,艾兆禮,E/TT,1162,132,活力拍檔,英駿飛駒,魅力知耀
SJJ,Current,12/04/2026,沙田,600,豐功偉績,1,14,草地,C,1400,好,9,42,14,巴度,H,1181,117,豐功偉績,哥倫布,自動自覺
SJJ,Current,12/04/2026,沙田,598,辣得準,2,12,草地,C,1200,好,11,60,3.2,艾兆禮,,1092,135,輝灑自如,辣得準,華麗再贏
SJJ,Current,12/04/2026,沙田,595,心愛的,12,14,草地,C,1400,好,7,39,34,艾兆禮,E,1133,134,劍無情,怡昌奇兵,順善寶
SJJ,Current,08/04/2026,跑馬地,593,俏眼光,1,12,草地,C+3,1200,好,5,75,3.4,布文,H,1096,133,俏眼光,人和家興,喵喵怪
SJJ,Current,08/04/2026,跑馬地,592,泰泰精神,4,12,草地,C+3,1200,好,8,63,9.5,艾兆禮,,1057,122,精彩駿將,富國兄弟,晶晶日上
SJJ,Current,08/04/2026,跑馬地,590,跨境駿馬,3,12,草地,C+3,1200,好,4,60,3.2,潘頓,B,1136,135,富心星,電玩精英,跨境駿馬
SJJ,Current,06/04/2026,沙田,584,安帝,3,11,草地,B+2,2000,好,1,68,14,艾兆禮,TT,1042,123,友瑩光,奔放,安帝
