trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
SWY,Current,29/04/2026,跑馬地,652,智勝一籌,12,12,草地,C,1200,好,10,65,52,蔡明紹,XB/TT,1041,120,踏雪尋梅,東來欣賞,泰泰精神
SWY,Current,29/04/2026,跑馬地,648,笑盈喜,12,12,草地,C,1200,好/黏,9,56,62,奧爾民,,1130,131,紅愛舍,勝在當下,跨境駿馬
SWY,Current,29/04/2026,跑馬地,645,皇金風速,10,12,草地,C,1800,好/黏,11,25,34,楊明綸,,1043,122,滿洛城,揚威四海,富裕君子
SWY,Current,26/04/2026,沙田,644,千帆駒,3,14,草地,A,1400,好/快,6,83,4,田泰安,XB/TT,1146,115,時時歡聲,韋金主,千帆駒
SWY,Current,26/04/2026,沙田,639,威力飛騰,13,14,草地,A,1200,好/快,14,64,361,鍾易禮,,1190,118,增強,傑出雷霆,幸運糖
SWY,Current,26/04/2026,沙田,637,文采風流,10,14,草地,A,1400,好/快,1,54,45,莫艾誠,TT,1072,129,勁勇皇駒,嵐臣,星光快驅
SWY,Current,26/04/2026,沙田,636,經典多寶,14,14,草地,A,1200,好/快,14,52,238,艾兆禮,SR/TT,1055,125,堅先生,天天更好,實力加
SWY,Current,26/04/2026,沙田,634,彪形勇將,6,14,草地,A,1200,好/快,12,52,55,奧爾民,H1/P1,1132,126,包裝天王,利高八斗,星光大道
SWY,Current,22/04/2026,跑馬地,632,星價,12,12,草地,B,1800,好/快,8,64,139,希威森,CP-/TT,1210,119,豐辰,祥勝將軍,奔放
SWY,Current,22/04/2026,跑馬地,631,友駿同心,11,12,草地,B,1000,好/快,1,65,20,田泰安,SR-/TT1,1149,121,領航君子,馬力,富心星
SWY,Current,22/04/2026,跑馬地,627,多利神駒,4,12,草地,B,1650,好/快,12,42,11,田泰安,TT,1040,118,贏玥,本領非凡,得意佳作
SWY,Current,19/04/2026,沙田,623,新力好,5,12,草地,C+3,1200,好/快,5,63,16,班德禮,TT,1174,120,手機錶勁,千杯不醉,嘉應奇兵
SWY,Current,19/04/2026,沙田,622,臻至辰,4,12,草地,C+3,1400,好/快,2,67,17,奧爾民,B/TT,1074,123,首飾天空,大眾福星,超輕鬆
