trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
TKH,Current,29/04/2026,跑馬地,650,定數,8,12,草地,C,1650,好,11,55,43,霍宏聲,B/XB/TT,1143,131,暴風之子,勁進駒,快搏
TKH,Current,29/04/2026,跑馬地,649,瑰麗人生,9,12,草地,C,1200,好,10,44,97,楊明綸,B/TT,1074,120,電玩精英,巴閉王,銳高
TKH,Current,29/04/2026,跑馬地,646,友得盈,2,12,草地,C,1200,好/黏,2,41,15,巫顯東,B/TT,1148,115,可靠大師,友得盈,至合拍
TKH,Current,26/04/2026,沙田,640,小鳥天堂,10,14,草地,A,1600,好/快,2,103,7.1,潘頓,TT,1190,126,祝願,百賀飛駒,港邊小區
TKH,Current,26/04/2026,沙田,636,杰遜仔,13,14,草地,A,1200,好/快,9,52,153,布文,XB1/TT-,1006,125,堅先生,天天更好,實力加
TKH,Current,26/04/2026,沙田,635,隼風雲,8,14,草地,A,1600,好/快,1,43,14,班德禮,B,1137,118,大回報,旌採,都靈冠星
TKH,Current,26/04/2026,沙田,634,幸運二十,11,14,草地,A,1200,好/快,10,55,75,霍宏聲,B-,1042,129,包裝天王,利高八斗,星光大道
TKH,Current,22/04/2026,跑馬地,629,前衛火影,10,12,草地,B,1200,好/快,3,44,43,金誠剛,B/TT,1069,120,雷神太保,過關勇士,伶俐驫駒
TKH,Current,22/04/2026,跑馬地,628,洛河,10,12,草地,B,1200,好/快,9,41,34,巴度,CP/TT,1190,117,銳目,團長好,競駿非凡
TKH,Current,22/04/2026,跑馬地,627,寶成智星,12,12,草地,B,1650,好/快,4,40,6.5,鍾易禮,B-/CP1/TT,1087,114,贏玥,本領非凡,得意佳作
TKH,Current,22/04/2026,跑馬地,626,風雲,3,11,草地,B,1650,好/快,3,30,17,楊明綸,CP/XB,1179,126,焦點,神駒馬靈,風雲
TKH,Current,22/04/2026,跑馬地,625,戰騎飛,3,12,草地,B,1200,好/快,3,30,28,楊明綸,B-/TT,1088,125,獵寶勤,添喜運,戰騎飛
TKH,Current,19/04/2026,沙田,620,常嚐發財,8,12,全天候,,1200,好,10,56,7.1,黃寶妮,B,1115,124,觀眾之力,穿甲戰鷹,光年程祥
TKH,Current,19/04/2026,沙田,618,君達得,9,14,草地,C+3,1600,好/快,9,47,4.4,袁幸堯,TT,1128,112,超開心,睿智多寶,瑞祺威楓
TKH,Current,19/04/2026,沙田,614,怪獸叉燒,6,14,全天候,,1800,好,4,39,11,潘明輝,TT,1175,134,領創動力,風起雲湧,開心三多
TKH,Current,15/04/2026,跑馬地,606,勁爽,4,12,草地,A,1650,好,11,23,7.4,楊明綸,CP,1140,120,富裕君子,東方寶寶,小皇爺
TKH,Current,12/04/2026,沙田,602,閃光燈,9,12,草地,C,1400,好,11,63,27,班德禮,TT,1056,121,重情重義,安泰,亨驥
TKH,Current,12/04/2026,沙田,600,大浪園田,9,14,草地,C,1400,好,6,40,114,楊明綸,CP/XB/TT,1075,115,豐功偉績,哥倫布,自動自覺
TKH,Current,12/04/2026,沙田,599,魯班精神,12,12,草地,C,1200,好,8,58,46,霍宏聲,B/TT,1214,133,精英高球,應龍飛影,櫻花酒杯
TKH,Current,12/04/2026,沙田,597,瑰麗人生,13,14,草地,C,1400,好,7,47,143,金誠剛,V-/B2/TT,1074,122,開心老闆,醒目先駒,創寶駒
TKH,Current,08/04/2026,跑馬地,588,一風雲,8,12,草地,C+3,1650,好,6,51,181,梁家俊,B1/TT1,1252,127,喜馬,勁進駒,榮利雙收
TKH,Current,08/04/2026,跑馬地,587,友得盈,6,12,草地,C+3,1000,好,5,43,16,班德禮,B/TT,1138,118,財將,美麗登場,巴閉王
TKH,Current,06/04/2026,沙田,578,金快飛飛,7,14,草地,B+2,1200,好,5,44,13,金誠剛,SR/TT,1093,120,千杯不醉,同喜,利高八斗
TKH,Current,06/04/2026,沙田,577,文明福星,1,14,草地,B+2,1400,好,1,43,14,班德禮,BO/H,1122,118,文明福星,機械之星,明亮天下
TKH,Current,06/04/2026,沙田,576,隼風雲,5,13,草地,B+2,1600,好,1,45,18,班德禮,CP-/B1,1131,124,大回報,天蓬貓,紅衣醒目
TKH,Current,06/04/2026,沙田,575,皇金合,4,14,草地,B+2,1200,好,7,36,3.9,袁幸堯,B,1190,121,紅旺繽紛,果然僥倖,機械騎士
TKH,Current,01/04/2026,沙田,569,開心宇宙,1,14,全天候,,1800,好,3,54,7,梁家俊,P,1205,130,開心宇宙,精明選擇,有派頭
TKH,Current,01/04/2026,沙田,568,常嚐發財,3,12,全天候,,1200,好,3,57,9,黃寶妮,B,1112,125,偵探傳奇,伶俐驫駒,常嚐發財
TKH,Current,01/04/2026,沙田,566,幻影旋風,8,14,全天候,,1650,好,10,26,12,班德禮,V,1093,121,光輝歲月,大利好運,朗日雪峰
