trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
TYS,Current,29/04/2026,跑馬地,651,燭光晚餐,4,10,草地,C,1000,好,2,78,7.2,巴度,H,1149,115,天天同樂,好評如潮,顏色之皇
TYS,Current,29/04/2026,跑馬地,650,暴風之子,1,12,草地,C,1650,好,7,55,11,蔡明紹,B,1118,131,暴風之子,勁進駒,快搏
TYS,Current,29/04/2026,跑馬地,649,領袖勁力,7,12,草地,C,1200,好,7,49,72,梁家俊,XB1/TT,1098,125,電玩精英,巴閉王,銳高
TYS,Current,29/04/2026,跑馬地,648,英雄豪邁,4,12,草地,C,1200,好/黏,6,41,31,巴度,B/TT,1072,117,紅愛舍,勝在當下,跨境駿馬
TYS,Current,29/04/2026,跑馬地,646,廚神,7,12,草地,C,1200,好/黏,9,54,22,奧爾民,P-/CP2,1155,130,可靠大師,友得盈,至合拍
TYS,Current,26/04/2026,沙田,643,天然數字,7,14,草地,A,1600,好/快,9,69,36,布浩榮,B2,1122,127,火悟空,開心勇駒,安都
TYS,Current,26/04/2026,沙田,641,丞匡掠影,8,14,草地,A,1400,好/快,5,70,60,布浩榮,B,1234,127,三軍勇將,喜蓮勁感,一世美麗
TYS,Current,26/04/2026,沙田,639,飛馬座,8,14,草地,A,1200,好/快,8,70,7.7,布浩榮,TT,1147,126,增強,傑出雷霆,幸運糖
TYS,Current,26/04/2026,沙田,636,天寶威威,12,14,草地,A,1200,好/快,12,52,102,蔡明紹,TT,1194,125,堅先生,天天更好,實力加
TYS,Current,22/04/2026,跑馬地,632,豐辰,1,12,草地,B,1800,好/快,9,64,10,巴度,H,1131,119,豐辰,祥勝將軍,奔放
TYS,Current,22/04/2026,跑馬地,631,燭光晚餐,4,12,草地,B,1000,好/快,10,78,7.9,奧爾民,H,1139,134,領航君子,馬力,富心星
TYS,Current,22/04/2026,跑馬地,626,電訊驕陽,10,11,草地,B,1650,好/快,10,36,9.7,布浩榮,B,1070,132,焦點,神駒馬靈,風雲
TYS,Current,22/04/2026,跑馬地,625,歷險大將,8,12,草地,B,1200,好/快,5,36,14,布浩榮,B-/TT,1052,131,獵寶勤,添喜運,戰騎飛
TYS,Current,19/04/2026,沙田,623,星火燎原,4,12,草地,C+3,1200,好/快,1,61,146,巫顯東,B,1167,116,手機錶勁,千杯不醉,嘉應奇兵
TYS,Current,19/04/2026,沙田,622,手到齊來,9,12,草地,C+3,1400,好/快,4,61,35,黃寶妮,B-,1246,110,首飾天空,大眾福星,超輕鬆
TYS,Current,19/04/2026,沙田,620,廚神,10,12,全天候,,1200,好,9,56,168,巫顯東,P1/TT-,1156,129,觀眾之力,穿甲戰鷹,光年程祥
TYS,Current,19/04/2026,沙田,619,午夜快車,9,14,全天候,,1650,好,13,43,13,黃寶妮,P,1235,111,花開,林寶精神,盛勢威楓
TYS,Current,19/04/2026,沙田,616,英雄豪邁,8,14,草地,C+3,1000,好/快,1,43,31,楊明綸,B/TT,1080,118,勝萬金,支付之父,日出東方
TYS,Current,15/04/2026,跑馬地,612,電訊巴打,11,11,草地,A,1650,好,4,70,32,黃寶妮,,1138,122,榮利雙收,浪漫鬥士,穿甲金鷹
TYS,Current,15/04/2026,跑馬地,611,巴閉哥,9,12,草地,A,1200,好,6,52,72,黃寶妮,TT,1182,120,環球英雄,當家精彩,星運少爵
TYS,Current,15/04/2026,跑馬地,609,巴閉仔,7,11,草地,A,1650,好,9,62,95,楊明綸,,1040,118,一起美麗,做好自己,知道穩勝
TYS,Current,15/04/2026,跑馬地,608,一支箭,11,12,草地,A,1800,好,8,46,83,黃寶妮,B,1022,114,香港神駒,竣誠駒,夢照發
TYS,Current,15/04/2026,跑馬地,605,銀亮濠俠,2,12,草地,A,1000,好,1,33,3.4,鍾易禮,V,1074,128,喆喆友福,銀亮濠俠,辣得金
TYS,Current,12/04/2026,沙田,599,無比小子,7,12,草地,C,1200,好,2,52,98,奧爾民,H-,1168,127,精英高球,應龍飛影,櫻花酒杯
TYS,Current,12/04/2026,沙田,596,海洋帝君,14,14,草地,C,1600,好,12,32,175,楊明綸,P-,1012,128,金鑽精靈,威威父子,極速之子
TYS,Current,12/04/2026,沙田,595,本能,13,14,草地,C,1400,好,10,37,116,梁家俊,B,1103,132,劍無情,怡昌奇兵,順善寶
TYS,Current,08/04/2026,跑馬地,593,星火燎原,10,12,草地,C+3,1200,好,2,63,145,巫顯東,B,1171,119,俏眼光,人和家興,喵喵怪
TYS,Current,08/04/2026,跑馬地,592,傑出漢子,10,12,草地,C+3,1200,好,9,72,43,何澤堯,B,1112,131,精彩駿將,富國兄弟,晶晶日上
TYS,Current,08/04/2026,跑馬地,591,天然數字,10,12,草地,C+3,1650,好,12,71,41,何澤堯,B-,1120,126,銀亮奔騰,滿心星,紫辰之星
TYS,Current,08/04/2026,跑馬地,587,領袖勁力,8,12,草地,C+3,1000,好,1,51,165,梁家俊,B-/TT2,1107,126,財將,美麗登場,巴閉王
TYS,Current,08/04/2026,跑馬地,585,歷險大將,8,12,草地,C+3,1200,好,1,37,5.7,奧爾民,B2/TT,1059,129,有情有義,千杯,輕鬆大少
TYS,Current,06/04/2026,沙田,584,豐辰,6,11,草地,B+2,2000,好,5,66,9.8,巴度,H,1133,121,友瑩光,奔放,安帝
TYS,Current,06/04/2026,沙田,581,鑽石星空,8,10,草地,B+2,1400,好,9,75,26,田泰安,TT,1216,133,千帆駒,一世美麗,超勁赤兔
TYS,Current,06/04/2026,沙田,579,手到齊來,5,12,草地,B+2,1000,好,10,63,9.7,黃寶妮,B,1256,113,會長之寶,好評如潮,幸運糖
TYS,Current,06/04/2026,沙田,578,廚神,13,14,草地,B+2,1200,好,9,58,211,鍾易禮,CP-/TT,1175,132,千杯不醉,同喜,利高八斗
TYS,Current,06/04/2026,沙田,574,天寶威威,6,14,草地,B+2,1000,好,11,52,30,田泰安,TT1,1187,127,飛來霸,閃電小子,極速神影
TYS,Current,01/04/2026,沙田,573,電訊巴打,14,14,全天候,,1650,好,7,72,16,鍾易禮,,1138,120,將睿,精英雄心,安泰
TYS,Current,01/04/2026,沙田,567,午夜快車,6,14,全天候,,1650,好,12,44,10,鍾易禮,P,1229,118,風繼續吹,奮鬥心,火神神樂
TYS,Current,01/04/2026,沙田,566,電訊驕陽,7,14,全天候,,1650,好,11,38,19,何澤堯,B,1062,133,光輝歲月,大利好運,朗日雪峰
TYS,Current,01/04/2026,沙田,565,銀亮濠俠,2,12,全天候,,1200,好,8,33,11,鍾易禮,V,1082,127,爆熱,銀亮濠俠,魅力星
TYS,Current,29/03/2026,沙田,564,巴閉仔,10,14,草地,A+3,1600,好/快,6,64,110,鍾易禮,,1045,119,黃金騎士,安都,中國心
TYS,Current,29/03/2026,沙田,563,星火燎原,12,13,草地,A+3,1200,好/快,5,65,172,巫顯東,B,1166,120,扶搖勢勁,增強,開心指數
TYS,Current,29/03/2026,沙田,560,巴閉哥,14,14,草地,A+3,1200,好/快,9,55,65,何澤堯,TT,1180,133,天天更好,銳目,烈焰光芒
TYS,Previous,16/07/2025,跑馬地,843,電訊驕陽,10,12,草地,B,1200,好/快,1,45,6.8,田泰安,B,1041,121,智勝攻略,可靠大師,鴻圖新星
TYS,Previous,16/07/2025,跑馬地,841,星火燎原,1,12,草地,B,1200,好/快,3,45,5.1,梁家俊,B,1139,120,星火燎原,星辰千帥,一生好彩
TYS,Previous,16/07/2025,跑馬地,839,銀亮濠俠,11,12,草地,B,1200,好/快,12,34,98,奧爾民,CP-/V1/TT-,1073,129,伶俐驫駒,快樂奇兵,花好月盈
TYS,Previous,13/07/2025,沙田,837,手到齊來,6,14,草地,A,1200,好/快,11,66,9.8,黃智弘,B,1230,118,星月飛雲,小鳥天堂,魅力寶駒
TYS,Previous,13/07/2025,沙田,836,幸運派彩,4,14,草地,A,1600,好/快,11,72,7,奧爾民,TT,1114,123,大浪圖田,英駿飛駒,增有
TYS,Previous,13/07/2025,沙田,831,豐辰,3,14,草地,A,1400,好/快,7,49,5.3,奧爾民,H,1110,124,十二神將,葳莉非凡,豐辰
TYS,Previous,09/07/2025,跑馬地,827,廚神,11,12,草地,A,1200,好/快,1,63,7.3,蔡明紹,CP,1153,120,金牌活力,駿奕快車,中環精英
TYS,Previous,09/07/2025,跑馬地,824,燭光晚餐,2,11,草地,A,1000,好/快,2,64,4.8,楊明綸,H,1125,119,狀元及第,燭光晚餐,路路勁
TYS,Previous,09/07/2025,跑馬地,821,海洋帝君,6,12,草地,A,1200,好/快,2,56,124,巫顯東,B/TT,1001,129,維港激流,智勝攻略,獵寶勤
TYS,Previous,09/07/2025,跑馬地,820,傳承者,6,12,草地,A,1650,好/快,2,27,11,蔡明紹,B,1067,122,新幹線,領創動力,魔法速遞
TYS,Previous,09/07/2025,跑馬地,819,中華威威,8,12,草地,A,1000,好/快,6,31,7.8,奧爾民,B,1250,124,大番薯,天分高,謙謙君子
TYS,Previous,05/07/2025,沙田,810,海洋帝君,8,12,全天候,,1200,好,12,56,138,蔡明紹,B/TT,1011,131,勁先生,日日獎,囍眼光
TYS,Previous,05/07/2025,沙田,809,東方寶寶,2,12,全天候,,1200,好,6,27,12,潘明輝,P,1086,121,五福星,東方寶寶,旋風飛颺
TYS,Previous,01/07/2025,沙田,801,手到齊來,1,12,草地,C,1200,好,8,59,5.4,奧爾民,B,1241,134,手到齊來,加州本事,喜勝駿駒
TYS,Previous,01/07/2025,沙田,798,傳承者,8,14,草地,C,1800,好,5,29,32,巫顯東,B,1070,122,金德義,同寶寶,凱旋七福
TYS,Previous,28/06/2025,沙田,792,勁騷,14,14,草地,B,1200,好,7,44,108,巫顯東,CP-/H,1125,117,幸運多彩,魅力知福,實力派
