trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
WDJ,Current,29/04/2026,跑馬地,652,踏雪尋梅,1,12,草地,C,1200,好,6,69,2.7,潘頓,B/TT,1123,124,踏雪尋梅,東來欣賞,泰泰精神
WDJ,Current,29/04/2026,跑馬地,649,電玩精英,1,12,草地,C,1200,好,1,49,4,班德禮,SR/TT,1084,125,電玩精英,巴閉王,銳高
WDJ,Current,29/04/2026,跑馬地,648,紅愛舍,1,12,草地,C,1200,好/黏,2,54,4.1,布文,B/TT,1166,129,紅愛舍,勝在當下,跨境駿馬
WDJ,Current,29/04/2026,跑馬地,647,蜜蜜送,4,12,草地,C,2200,好/黏,2,48,16,霍宏聲,B-/SR2,1164,126,佰勝金龍,雙贏,富喜來
WDJ,Current,29/04/2026,跑馬地,645,綻放的心,12,12,草地,C,1800,好/黏,3,38,19,金誠剛,B/XB,1039,135,滿洛城,揚威四海,富裕君子
WDJ,Current,26/04/2026,沙田,644,韋金主,2,14,草地,A,1400,好/快,1,88,7.7,巴度,B,1307,118,時時歡聲,韋金主,千帆駒
WDJ,Current,26/04/2026,沙田,643,星幻,13,14,草地,A,1600,好/快,12,73,27,布文,,1092,131,火悟空,開心勇駒,安都
WDJ,Current,26/04/2026,沙田,639,星月飛雲,6,14,草地,A,1200,好/快,4,74,7.4,莫雷拉,B-/CP2,1140,130,增強,傑出雷霆,幸運糖
WDJ,Current,26/04/2026,沙田,635,家傳之寶,4,14,草地,A,1600,好/快,6,54,33,楊明綸,E/SR/TT,1054,129,大回報,旌採,都靈冠星
WDJ,Current,26/04/2026,沙田,634,星光大道,3,14,草地,A,1200,好/快,7,52,16,袁幸堯,XB1,1067,116,包裝天王,利高八斗,星光大道
WDJ,Current,22/04/2026,跑馬地,633,撼天鐵翼,5,12,草地,B,1200,好/快,3,64,9.1,艾道拿,B,1181,122,快活英雄,志滿同行,金牌活力
WDJ,Current,22/04/2026,跑馬地,632,紫辰之星,10,12,草地,B,1800,好/快,5,64,15,班德禮,SR/TT,1107,119,豐辰,祥勝將軍,奔放
WDJ,Current,22/04/2026,跑馬地,631,紅逸舍,7,12,草地,B,1000,好/快,7,73,32,布浩榮,B,1130,129,領航君子,馬力,富心星
WDJ,Current,22/04/2026,跑馬地,630,天火同人,3,12,草地,B,1000,好/快,11,52,40,布浩榮,B/TT,1094,127,皇者有利,鴻圖新星,天火同人
WDJ,Current,22/04/2026,跑馬地,629,勝多多,5,12,草地,B,1200,好/快,6,55,61,黃智弘,B,1098,128,雷神太保,過關勇士,伶俐驫駒
WDJ,Current,22/04/2026,跑馬地,628,競駿非凡,3,12,草地,B,1200,好/快,3,60,8.3,布浩榮,CP,1117,135,銳目,團長好,競駿非凡
WDJ,Current,22/04/2026,跑馬地,627,八心之星,6,12,草地,B,1650,好/快,1,48,7.4,梁家俊,XB-/B,1113,124,贏玥,本領非凡,得意佳作
WDJ,Current,22/04/2026,跑馬地,625,天火同德,10,12,草地,B,1200,好/快,6,24,7.8,金誠剛,P-/XB-/TT2,1178,119,獵寶勤,添喜運,戰騎飛
WDJ,Current,19/04/2026,沙田,620,勇者無敵,9,12,全天候,,1200,好,12,44,13,金誠剛,SR/XB/TT,1105,119,觀眾之力,穿甲戰鷹,光年程祥
WDJ,Current,19/04/2026,沙田,618,家傳之寶,5,14,草地,C+3,1600,好/快,4,56,150,楊明綸,E/SR/TT,1056,131,超開心,睿智多寶,瑞祺威楓
WDJ,Current,15/04/2026,跑馬地,611,當家精彩,2,12,草地,A,1200,好,8,60,10,艾道拿,CP,1066,135,環球英雄,當家精彩,星運少爵
WDJ,Current,15/04/2026,跑馬地,608,蜜蜜送,9,12,草地,A,1800,好,7,50,26,希威森,B,1175,125,香港神駒,竣誠駒,夢照發
WDJ,Current,15/04/2026,跑馬地,607,至高心得,10,12,草地,A,1650,好,7,43,33,班德禮,E/SR/XB,1017,118,凡凡有餘,時間寶,爆竹
WDJ,Current,12/04/2026,沙田,601,星幻,6,12,草地,C,1600,好,7,73,96,布文,B-/E-/TT-,1083,131,活力拍檔,英駿飛駒,魅力知耀
WDJ,Current,12/04/2026,沙田,601,喜豐年,10,12,草地,C,1600,好,8,64,162,梁家俊,H-/SR/XB2/TT-,1134,122,活力拍檔,英駿飛駒,魅力知耀
WDJ,Current,12/04/2026,沙田,598,威威神駒,10,12,草地,C,1200,好,3,52,175,奧爾民,CP,1063,127,輝灑自如,辣得準,華麗再贏
WDJ,Current,12/04/2026,沙田,596,金鑽精靈,1,14,草地,C,1600,好,3,37,4.8,艾道拿,,1172,133,金鑽精靈,威威父子,極速之子
WDJ,Current,12/04/2026,沙田,595,迅意,11,14,草地,C,1400,好,4,37,10,巴度,B/TT,1193,132,劍無情,怡昌奇兵,順善寶
WDJ,Current,12/04/2026,沙田,594,銀騎士,4,6,草地,C,1000,好,3,,12,希威森,,1102,126,通情達理,雙劍合璧,精英奪冠
WDJ,Current,08/04/2026,跑馬地,593,撼天鐵翼,7,12,草地,C+3,1200,好,7,66,20,艾道拿,B,1186,124,俏眼光,人和家興,喵喵怪
