trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
YCH,Current,29/04/2026,跑馬地,649,不勞而獲,11,12,草地,C,1200,好,9,43,70,田泰安,XB-/TT,1081,119,電玩精英,巴閉王,銳高
YCH,Current,29/04/2026,跑馬地,646,精益大師,6,12,草地,C,1200,好/黏,10,43,8.6,班德禮,B2/TT,1101,119,可靠大師,友得盈,至合拍
YCH,Current,29/04/2026,跑馬地,645,揚威四海,2,12,草地,C,1800,好/黏,2,38,17,蔡明紹,B,1075,135,滿洛城,揚威四海,富裕君子
YCH,Current,26/04/2026,沙田,641,不同世界,14,14,草地,A,1400,好/快,8,70,76,何澤堯,,1087,127,三軍勇將,喜蓮勁感,一世美麗
YCH,Current,26/04/2026,沙田,638,舉步生風,4,8,草地,A,1200,好/快,2,122,199,麥道朗,B2/TT,1178,126,嘉應高昇,里見夢境,精算暴雪
YCH,Current,26/04/2026,沙田,637,大才,8,14,草地,A,1400,好/快,5,51,28,艾兆禮,,1076,126,勁勇皇駒,嵐臣,星光快驅
YCH,Current,26/04/2026,沙田,636,駿美一生,7,14,草地,A,1200,好/快,13,47,39,艾道拿,TT,1011,121,堅先生,天天更好,實力加
YCH,Current,26/04/2026,沙田,635,最好玩,10,14,草地,A,1600,好/快,11,42,99,蔡明紹,TT,1174,117,大回報,旌採,都靈冠星
YCH,Current,26/04/2026,沙田,634,高明豐勝,12,14,草地,A,1200,好/快,11,52,96,何澤堯,TT1,1235,126,包裝天王,利高八斗,星光大道
YCH,Current,22/04/2026,跑馬地,631,價值傳承,5,12,草地,B,1000,好/快,9,72,7.5,布文,B,1137,128,領航君子,馬力,富心星
YCH,Current,22/04/2026,跑馬地,629,戀愛狂,11,12,草地,B,1200,好/快,5,57,55,艾道拿,P-/TT,1140,133,雷神太保,過關勇士,伶俐驫駒
YCH,Current,22/04/2026,跑馬地,627,耀昌勝世,10,12,草地,B,1650,好/快,3,45,6.9,巴度,,1176,121,贏玥,本領非凡,得意佳作
YCH,Current,22/04/2026,跑馬地,626,神燦金剛,8,11,草地,B,1650,好/快,5,34,26,艾道拿,TT,1149,130,焦點,神駒馬靈,風雲
YCH,Current,19/04/2026,沙田,623,抱百嶺,12,12,草地,C+3,1200,好/快,9,60,233,鍾易禮,,1010,115,手機錶勁,千杯不醉,嘉應奇兵
YCH,Current,19/04/2026,沙田,621,偵探傳奇,7,9,全天候,,1200,好,6,67,2.7,莫雷拉,B/TT,1192,118,德心知遇,錶之極光,天福
YCH,Current,19/04/2026,沙田,620,愛國者,11,12,全天候,,1200,好,11,60,182,楊明綸,B1/TT,1110,135,觀眾之力,穿甲戰鷹,光年程祥
YCH,Current,19/04/2026,沙田,616,支付之父,2,14,草地,C+3,1000,好/快,14,52,16,艾道拿,TT1,1111,127,勝萬金,支付之父,日出東方
YCH,Current,19/04/2026,沙田,615,謙謙君子,4,12,全天候,,1200,好,3,21,5.6,蔡明紹,B/TT,1043,117,魅力星,爆熱,城中勇士
YCH,Current,19/04/2026,沙田,614,香港精神,10,14,全天候,,1800,好,3,36,24,金誠剛,B/TT,1064,131,領創動力,風起雲湧,開心三多
YCH,Current,15/04/2026,跑馬地,611,快又醒,12,12,草地,A,1200,好,9,49,243,黃智弘,B/TT,1054,121,環球英雄,當家精彩,星運少爵
YCH,Current,15/04/2026,跑馬地,608,揚威四海,7,12,草地,A,1800,好,11,40,133,蔡明紹,SR-/B2,1060,115,香港神駒,竣誠駒,夢照發
YCH,Current,15/04/2026,跑馬地,606,小皇爺,3,12,草地,A,1650,好,3,35,39,周俊樂,B-/TT1,1057,130,富裕君子,東方寶寶,小皇爺
YCH,Current,15/04/2026,跑馬地,605,發光發亮,9,12,草地,A,1000,好,8,18,28,蔡明紹,B,1050,115,喆喆友福,銀亮濠俠,辣得金
YCH,Current,15/04/2026,跑馬地,605,運來勇士,12,12,草地,A,1000,好,9,37,56,黃寶妮,XB/B2/TT,1111,127,喆喆友福,銀亮濠俠,辣得金
YCH,Current,12/04/2026,沙田,602,亨驥,3,12,草地,C,1400,好,4,65,6.5,何澤堯,TT,1073,123,重情重義,安泰,亨驥
YCH,Current,12/04/2026,沙田,599,豪邁先登,11,12,草地,C,1200,好,7,52,50,巴度,TT1,1013,127,精英高球,應龍飛影,櫻花酒杯
YCH,Current,12/04/2026,沙田,598,杭至尊,7,12,草地,C,1200,好,9,51,14,艾道拿,TT,1229,126,輝灑自如,辣得準,華麗再贏
YCH,Current,12/04/2026,沙田,597,最好玩,11,14,草地,C,1400,好,6,44,52,蔡明紹,TT,1168,119,開心老闆,醒目先駒,創寶駒
YCH,Current,12/04/2026,沙田,595,鑽得勝,4,14,草地,C,1400,好,3,38,13,布文,E1,1021,133,劍無情,怡昌奇兵,順善寶
YCH,Current,12/04/2026,沙田,594,通情達理,1,6,草地,C,1000,好,4,,2.2,潘頓,,1061,126,通情達理,雙劍合璧,精英奪冠
YCH,Current,08/04/2026,跑馬地,592,富國兄弟,2,12,草地,C+3,1200,好,7,61,7.4,蔡明紹,TT,1123,120,精彩駿將,富國兄弟,晶晶日上
YCH,Current,08/04/2026,跑馬地,591,優才,5,12,草地,C+3,1650,好,10,70,37,艾兆禮,P-/TT,1073,125,銀亮奔騰,滿心星,紫辰之星
YCH,Current,08/04/2026,跑馬地,590,靖哥哥,10,12,草地,C+3,1200,好,8,46,37,周俊樂,TT,1097,119,富心星,電玩精英,跨境駿馬
YCH,Current,08/04/2026,跑馬地,589,神異金剛,8,12,草地,C+3,1200,好,11,50,161,周俊樂,E/TT,959,123,你知我得,朗日自強,三強
YCH,Current,08/04/2026,跑馬地,588,寫我其誰,7,12,草地,C+3,1650,好,10,48,172,鍾易禮,TT,1012,122,喜馬,勁進駒,榮利雙收
YCH,Current,08/04/2026,跑馬地,586,耀昌勝世,3,12,草地,C+3,1650,好,2,46,7.2,巴度,,1163,123,上浦福旺,隨緣得勝,耀昌勝世
YCH,Current,08/04/2026,跑馬地,585,神燦金剛,9,12,草地,C+3,1200,好,4,36,44,艾道拿,CP-/TT,1145,128,有情有義,千杯,輕鬆大少
YCH,Current,06/04/2026,沙田,584,榮駿大道,11,11,草地,B+2,2000,好,8,72,5,周俊樂,B/TT,1138,125,友瑩光,奔放,安帝
YCH,Current,06/04/2026,沙田,582,舉步生風,5,14,草地,B+2,1600,好,11,122,5.7,潘頓,B-/TT,1170,123,金鑽貴人,祝願,遨遊氣泡
YCH,Current,06/04/2026,沙田,577,韋少寶,4,14,草地,B+2,1400,好,14,46,70,周俊樂,TT,1042,121,文明福星,機械之星,明亮天下
YCH,Current,06/04/2026,沙田,577,不勞而獲,13,14,草地,B+2,1400,好,11,46,114,巴度,B-/XB/TT,1083,121,文明福星,機械之星,明亮天下
YCH,Current,06/04/2026,沙田,576,好運年,9,13,草地,B+2,1600,好,6,49,13,潘明輝,,1077,128,大回報,天蓬貓,紅衣醒目
YCH,Current,06/04/2026,沙田,576,趣盈,12,13,草地,B+2,1600,好,5,44,165,鍾易禮,H/TT,1008,121,大回報,天蓬貓,紅衣醒目
YCH,Current,06/04/2026,沙田,575,發光發亮,7,14,草地,B+2,1200,好,9,20,19,蔡明紹,XB-/B/TT-,1052,115,紅旺繽紛,果然僥倖,機械騎士
YCH,Current,06/04/2026,沙田,574,文明戰士,11,14,草地,B+2,1000,好,4,52,12,周俊樂,,1179,125,飛來霸,閃電小子,極速神影
YCH,Current,01/04/2026,沙田,573,優才,6,14,全天候,,1650,好,1,70,9.1,班德禮,P2/TT,1072,120,將睿,精英雄心,安泰
YCH,Current,01/04/2026,沙田,570,贏得自然,1,12,全天候,,1200,好,4,52,18,周俊樂,B-/V1,1129,125,贏得自然,起舞奜奜,飛輪霸
