trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
YPF,Current,29/04/2026,跑馬地,653,一定掂,11,12,草地,C,1650,好,9,77,6.9,布文,,1099,135,穿甲金鷹,魅力知耀,凡凡有餘
YPF,Current,29/04/2026,跑馬地,652,高士威勁,7,12,草地,C,1200,好,11,67,37,班德禮,CP2,1025,122,踏雪尋梅,東來欣賞,泰泰精神
YPF,Current,29/04/2026,跑馬地,650,大數據,11,12,草地,C,1650,好,8,45,25,田泰安,V,1132,121,暴風之子,勁進駒,快搏
YPF,Current,29/04/2026,跑馬地,649,你知我寶,5,12,草地,C,1200,好,11,52,18,布文,TT,1139,128,電玩精英,巴閉王,銳高
YPF,Current,29/04/2026,跑馬地,647,君智盛,10,12,草地,C,2200,好/黏,9,41,11,金誠剛,CP/XB,1126,119,佰勝金龍,雙贏,富喜來
YPF,Current,26/04/2026,沙田,643,火悟空,1,14,草地,A,1600,好/快,13,68,6.8,艾兆禮,B1,1220,126,火悟空,開心勇駒,安都
YPF,Current,26/04/2026,沙田,641,大文豪,13,14,草地,A,1400,好/快,9,69,239,班德禮,V1,1155,126,三軍勇將,喜蓮勁感,一世美麗
YPF,Current,26/04/2026,沙田,640,遨遊氣泡,5,14,草地,A,1600,好/快,12,130,15,周俊樂,CP-/B1,1243,126,祝願,百賀飛駒,港邊小區
YPF,Current,26/04/2026,沙田,640,陽光勇士,6,14,草地,A,1600,好/快,3,112,22,布浩榮,,1106,126,祝願,百賀飛駒,港邊小區
YPF,Current,26/04/2026,沙田,636,千杯敬典,5,14,草地,A,1200,好/快,11,58,20,袁幸堯,,1135,121,堅先生,天天更好,實力加
YPF,Current,26/04/2026,沙田,635,旌採,2,14,草地,A,1600,好/快,8,51,3.4,布文,B,1103,126,大回報,旌採,都靈冠星
YPF,Current,26/04/2026,沙田,634,利高八斗,2,14,草地,A,1200,好/快,1,52,4.8,田泰安,TT,1102,126,包裝天王,利高八斗,星光大道
YPF,Current,22/04/2026,跑馬地,633,包裝明將,4,12,草地,B,1200,好/快,1,61,3.3,金誠剛,CP-/B2,1120,119,快活英雄,志滿同行,金牌活力
YPF,Current,22/04/2026,跑馬地,632,勁大威猛,11,12,草地,B,1800,好/快,12,65,40,田泰安,B2,1021,120,豐辰,祥勝將軍,奔放
YPF,Current,22/04/2026,跑馬地,628,平天雄,12,12,草地,B,1200,好/快,10,51,159,金誠剛,,1204,126,銳目,團長好,競駿非凡
YPF,Current,22/04/2026,跑馬地,627,得意佳作,3,12,草地,B,1650,好/快,9,48,23,周俊樂,TT,1099,122,贏玥,本領非凡,得意佳作
