trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
YTP,Previous,16/07/2025,跑馬地,846,風再起時,6,12,草地,B,1200,好/快,1,81,6.5,蔡明紹,B/XB/TT,1257,115,美麗第一,好友心得,晨曦儷人
YTP,Previous,16/07/2025,跑馬地,844,安都,8,12,草地,B,1650,好/快,8,59,7.4,布文,V/TT,1187,134,奔妙星,北海盜,爭金奪冠
YTP,Previous,16/07/2025,跑馬地,842,翠兒威威,6,12,草地,B,1800,好/快,4,50,7.5,周俊樂,B/TT-,1124,124,三江飛輪,美麗歡聲,奮鬥心
YTP,Previous,16/07/2025,跑馬地,839,伶俐驫駒,1,12,草地,B,1200,好/快,7,28,7.7,霍宏聲,B/TT,1125,123,伶俐驫駒,快樂奇兵,花好月盈
YTP,Previous,13/07/2025,沙田,837,哪吒,12,14,草地,A,1200,好/快,3,64,110,湯普新,TT,1106,121,星月飛雲,小鳥天堂,魅力寶駒
YTP,Previous,13/07/2025,沙田,836,飛輪步,12,14,草地,A,1600,好/快,1,83,15,霍宏聲,TT,1170,134,大浪圖田,英駿飛駒,增有
YTP,Previous,13/07/2025,沙田,834,團結勇士,3,14,草地,A,1200,好/快,10,53,20,蔡明紹,TT,1154,131,燈胆將軍,勝多多,團結勇士
YTP,Previous,13/07/2025,沙田,833,銳一,3,14,草地,A,1400,好/快,8,42,9.1,班德禮,CP/TT,1106,118,精算激流,做好自己,銳一
YTP,Previous,13/07/2025,沙田,832,肥仔精神,4,14,草地,A,1600,好/快,14,45,57,班德禮,V/TT,1157,120,開心宇宙,準輝煌,加州星皓
YTP,Previous,13/07/2025,沙田,831,時尚歡欣,6,14,草地,A,1400,好/快,4,60,4,周俊樂,CP/TT,1165,133,十二神將,葳莉非凡,豐辰
YTP,Previous,13/07/2025,沙田,830,風采人生,4,14,草地,A,1200,好/快,4,46,7,霍宏聲,B,1116,123,亨驥,藍爵爺,佳運發
YTP,Previous,09/07/2025,跑馬地,827,中環精英,3,12,草地,A,1200,好/快,8,61,10,班德禮,TT,1153,118,金牌活力,駿奕快車,中環精英
YTP,Previous,09/07/2025,跑馬地,822,瑤瑤日上,3,12,草地,A,1000,好/快,4,44,3.5,巴度,,1157,120,幸運二十,天火同人,瑤瑤日上
YTP,Previous,09/07/2025,跑馬地,820,歌舞團,11,12,草地,A,1650,好/快,10,40,108,周俊樂,TT,1033,133,新幹線,領創動力,魔法速遞
YTP,Previous,09/07/2025,跑馬地,819,嘉應威風,11,12,草地,A,1000,好/快,4,35,20,潘明輝,B/H,1107,128,大番薯,天分高,謙謙君子
YTP,Previous,05/07/2025,沙田,818,不同世界,6,14,草地,C+3,1400,好/快,11,72,10,周俊樂,CP,1103,128,同樣美麗,錶之星河,定數
YTP,Previous,05/07/2025,沙田,817,風再起時,5,11,草地,C+3,1200,好/快,8,81,10,梁家俊,B/XB/TT,1268,120,舞林密碼,人和家興,愛馬善
YTP,Previous,05/07/2025,沙田,816,晶晶日上,7,12,草地,C+3,1200,好/快,1,80,8.9,霍宏聲,B,1221,135,時時歡欣,正氣青驅,天星
YTP,Previous,05/07/2025,沙田,815,極靈,11,13,草地,C+3,1800,好/快,9,46,196,蔡明紹,B,1165,121,火焰閃爍,年年友福,架勢奇爸
YTP,Previous,05/07/2025,沙田,813,安都,1,14,草地,C+3,1400,好/快,4,53,5.8,布文,V/TT,1195,128,安都,多彩多姿,博愛先鋒
YTP,Previous,05/07/2025,沙田,811,幻影旋風,13,14,草地,C+3,1600,好/快,9,37,74,湯普新,B/TT-,1111,132,佳福駒,駿彩飛馳,無極勇將
YTP,Previous,05/07/2025,沙田,810,怡勁力,5,12,全天候,,1200,好,1,48,9.7,周俊樂,TT,1240,121,勁先生,日日獎,囍眼光
YTP,Previous,05/07/2025,沙田,809,逆市奇爸,5,12,全天候,,1200,好,4,38,18,霍宏聲,CP/TT,1259,132,五福星,東方寶寶,旋風飛颺
YTP,Previous,05/07/2025,沙田,808,隋我同來,5,12,草地,C+3,1200,好/快,5,,32,賀銘年,TT1,1150,121,豐功偉績,光年程祥,華夏俊馬
YTP,Previous,01/07/2025,沙田,807,光年八十,12,14,草地,C,1600,好,12,65,22,湯普新,B/TT,1259,122,元朗精英,昭易搵,本領輝煌
YTP,Previous,01/07/2025,沙田,805,精算特殊,5,14,草地,C,1600,好,14,45,11,巴度,V/TT,1083,122,彭玥,紅衣醒目,禾道威
YTP,Previous,01/07/2025,沙田,803,肥仔精神,6,14,草地,C,1400,好,4,46,8.6,巴度,V/TT,1158,121,百勝威龍,美麗邂逅,一定掂
YTP,Previous,01/07/2025,沙田,802,飛輪步,10,12,草地,C,1400,好,9,83,40,潘明輝,TT,1164,119,光年魅力,米奇,得道猴王
YTP,Previous,01/07/2025,沙田,799,團結勇士,7,14,草地,C,1000,好,4,53,7.1,奧爾民,TT,1159,133,銀河勇士,金滙千帥,官金騏
YTP,Previous,28/06/2025,沙田,797,飛馬先生,13,14,草地,B,1400,好,8,65,21,艾兆禮,,1187,123,自力更生,美麗星晨,一起美麗
YTP,Previous,28/06/2025,沙田,795,銳一,7,13,草地,B,1400,好,7,42,7.1,潘明輝,CP/TT,1108,117,同心同樂,一生好彩,糖不甩
YTP,Previous,28/06/2025,沙田,793,翠兒威威,6,13,全天候,,1650,濕慢,4,52,8.8,班德禮,B1/TT,1132,127,川河型駒,風繼續吹,閃耀威龍
YTP,Previous,28/06/2025,沙田,792,瑤瑤日上,10,14,草地,B,1200,好,14,44,15,潘明輝,,1175,119,幸運多彩,魅力知福,實力派
YTP,Previous,28/06/2025,沙田,791,雙贏,4,12,草地,B,2000,好,1,47,1.9,潘頓,B-/XB/V1/TT,1121,124,三江飛輪,管之友,步風雷
YTP,Previous,28/06/2025,沙田,791,盈利寶馬,12,12,草地,B,2000,好,2,46,36,霍宏聲,B1,1076,123,三江飛輪,管之友,步風雷
YTP,Previous,28/06/2025,沙田,790,豬膶燒賣,14,14,草地,B,1200,好,7,52,169,湯普新,CP,1114,127,合夥飛馳,嫡愛好,金創福威
YTP,Previous,28/06/2025,沙田,788,伶俐驫駒,2,14,草地,B,1200,好,3,27,4.2,艾兆禮,CP-/B2/TT,1131,120,勝多多,伶俐驫駒,巧眼光
